inec_provincia_id,provincia,poblacion,lat,lng,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019
1,Azuay,881394,-2.8974140000000004,-79.004481,361,301,311,316,354,336,351,349,336,306,327,302
2,Bolívar,209933,-1.6055560000000002,-79.003056,73,75,81,55,68,74,68,66,76,61,71,58
4,Carchi,186869,0.81218,-77.71633,62,58,59,59,62,60,58,67,64,66,66,56
3,Cañar,281396,-2.733333,-78.833333,94,96,94,74,84,101,113,117,84,97,86,59
6,Chimborazo,524004,-1.674347,-78.648294,200,193,228,178,192,189,190,214,219,202,185,171
5,Cotopaxi,488716,-0.933333,-78.616667,164,128,171,150,156,135,190,170,175,146,159,148
7,El Oro,715751,-3.2666670000000004,-79.966667,265,250,291,234,263,228,229,257,284,244,269,221
8,Esmeraldas,591083,1.05,-79.2,157,132,167,154,125,141,149,128,143,152,134,121
20,Galápagos,33042,-0.7999999999999999,-89.4,5,7,0,4,2,2,2,4,3,4,7,4
9,Guayas,4387434,-2.183333,-79.883333,1979,1793,1934,1879,1725,1669,1715,1773,1703,1704,1690,1711
10,Imbabura,476257,0.362678,-78.130667,203,158,152,158,192,162,159,191,169,158,148,147
11,Loja,521154,-3.9833330000000005,-79.2,201,215,200,189,196,190,200,209,202,202,218,173
12,Los Ríos,921763,-1.8,-79.533333,317,300,338,331,306,299,279,299,307,295,302,249
13,Manabí,1562079,-1.056181,-80.455217,608,553,585,565,461,509,528,543,553,586,578,488
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,41,30,56,49,43,38,26,41,43,44,40,51
15,Napo,133705,-0.989,-77.8159,33,26,36,45,31,49,41,30,26,28,29,25
22,Orellana,161338,-0.466667,-76.966667,29,38,44,35,34,31,39,40,29,33,29,28
16,Pastaza,114202,-1.066667,-78.001111,20,29,27,28,24,18,33,20,25,22,29,28
17,Pichincha,3228233,-0.218611,-78.509722,1230,1009,1106,1019,1077,1116,1132,1122,1102,1064,1085,1152
24,Santa Elena,401178,-2.2267,-80.8583,119,108,114,110,102,97,120,121,130,76,107,92
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,225,153,240,199,182,154,162,174,190,166,145,170
21,Sucumbíos,230503,0.08472200000000002,-76.882778,56,58,45,67,42,53,48,45,55,57,52,44
18,Tungurahua,590600,-1.241667,-78.619722,239,199,268,243,228,215,230,245,256,236,223,198
19,Zamora Chinchipe,120416,-4.12,-78.8,25,21,23,18,11,25,16,20,20,27,31,16
