inec_provincia_id,provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,-2.897414000000000,-79.00448100000000,71,89,78,83,78,65,77,68,86,79,74,61,65,76,75,73,72,84,88,70,84,65,85,82,71,81,65,71,86,93,76,79,87,80,80,92,80,53,83,76,69,65,67,69,60,97,83,71,78,79,80,49
02,Bolívar,-1.605556000000000,-79.00305600000000,23,8,18,19,12,21,21,19,17,21,24,11,16,17,6,13,17,7,15,24,12,18,18,20,10,20,16,13,21,14,14,15,14,15,14,20,19,16,16,13,13,17,14,13,20,22,15,12,16,16,11,11
04,Carchi,0.8121800000000000,-77.71633000000000,15,15,14,16,9,16,13,18,12,9,10,17,16,12,14,15,15,13,22,10,10,12,14,17,17,10,18,13,11,10,10,12,19,17,20,11,13,19,14,14,10,14,21,18,15,15,13,16,15,7,22,10
03,Cañar,-2.733333000000000,-78.83333300000000,16,26,19,22,21,28,24,22,19,22,31,18,16,21,18,18,15,15,21,18,17,26,25,23,18,24,22,24,30,26,23,25,31,24,32,19,23,15,18,19,21,16,28,24,21,15,21,21,18,17,10,11
06,Chimborazo,-1.674347000000000,-78.64829400000001,41,51,46,35,45,58,53,42,44,78,39,49,41,55,30,46,38,31,52,40,38,57,43,41,47,41,49,44,38,35,62,51,49,44,40,53,49,59,46,47,39,41,42,53,42,42,56,37,52,37,47,24
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,42,36,37,31,38,37,27,38,24,46,38,30,42,34,37,25,37,47,39,36,31,28,34,29,30,34,47,44,43,41,38,36,38,37,43,52,33,36,43,29,26,42,27,41,44,37,33,36,35,42,34,27
07,El Oro,-3.266667000000000,-79.96666700000000,59,60,60,53,74,44,69,51,82,68,55,56,77,72,55,42,47,58,41,65,76,53,59,45,52,60,52,45,54,63,46,53,56,59,69,57,81,66,58,55,58,60,43,66,65,51,63,73,53,58,51,44
08,Esmeraldas,1.050000000000000,-79.20000000000000,39,35,35,38,26,34,39,31,27,44,38,32,39,38,37,37,37,26,23,30,30,31,29,46,38,18,39,33,34,37,20,29,34,26,33,46,25,30,26,36,34,29,35,43,36,26,31,29,34,44,20,15
20,Galápagos,-0.8000000000000000,-89.40000000000001,1,2,1,0,2,1,2,0,3,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,2,1,1,1,1,0,0,0,2,3,0,1,0,2,0,2,0,3,1,3,0,0
09,Guayas,-2.183333000000000,-79.88333299999999,367,458,420,475,471,484,465,416,400,419,449,459,433,423,429,451,428,439,374,392,389,380,402,393,388,385,421,370,370,392,395,387,428,392,403,390,409,417,366,384,399,381,374,390,377,374,425,406,397,402,391,392
10,Imbabura,0.3626780000000000,-78.13066700000000,45,46,46,37,47,37,33,46,43,39,29,29,36,44,44,28,36,29,44,49,46,38,39,39,42,34,41,32,37,34,41,35,44,49,44,42,40,36,40,31,47,36,32,30,37,42,29,39,32,39,39,21
11,Loja,-3.983333000000000,-79.20000000000000,44,38,35,54,49,48,59,54,67,51,39,42,37,38,38,46,53,46,45,40,43,50,45,40,42,49,46,41,53,40,53,63,44,45,33,59,40,40,49,45,35,37,55,53,63,48,53,45,31,57,55,18
12,Los Ríos,-1.800000000000000,-79.53333300000000,66,83,62,74,63,81,79,67,80,91,75,75,60,78,69,86,72,82,58,77,71,71,62,68,79,63,70,44,66,67,71,72,65,64,71,70,65,71,78,66,66,63,77,54,68,85,69,71,60,67,56,51
13,Manabí,-1.056181000000000,-80.45521700000000,116,128,157,132,143,150,107,150,136,126,145,134,127,123,142,131,132,108,105,111,96,123,131,107,116,110,125,110,121,126,118,135,118,109,131,134,127,123,124,125,151,127,121,161,144,122,128,134,117,132,120,78
14,Morona Santiago,-2.300000000000000,-78.11666700000001,7,6,9,10,9,5,10,11,7,17,10,13,13,11,14,11,10,15,8,10,8,7,9,10,6,11,8,7,6,4,6,11,8,12,7,7,6,17,8,17,10,8,5,12,12,12,8,5,11,18,12,8
15,Napo,-0.9890000000000000,-77.81590000000000,16,5,6,2,11,5,4,6,9,7,7,7,11,14,8,6,16,10,4,7,7,8,6,8,16,15,10,9,8,9,10,4,9,5,7,7,4,4,10,8,7,7,5,6,8,6,6,9,10,4,5,1
22,Orellana,-0.4666670000000000,-76.96666700000000,3,7,7,10,4,11,7,10,12,10,12,10,8,5,6,13,8,9,10,8,7,4,4,7,11,8,8,13,13,2,10,5,5,12,12,6,5,11,6,2,12,11,7,4,8,8,6,5,4,7,6,10
16,Pastaza,-1.066667000000000,-78.00111099999999,3,4,5,6,5,7,5,7,10,5,5,7,7,4,7,7,10,4,7,5,4,5,1,5,3,8,5,3,7,12,9,3,4,6,5,6,4,5,8,4,8,3,5,7,4,7,9,8,5,8,6,6
17,Pichincha,-0.2186110000000000,-78.50972200000000,237,292,291,288,234,265,249,245,244,239,258,256,254,250,209,227,252,261,224,239,253,263,236,255,268,275,257,255,268,250,236,254,239,264,271,259,275,242,247,234,236,275,224,239,273,246,249,246,261,292,276,248
24,Santa Elena,-2.226700000000000,-80.85830000000000,29,21,26,26,29,29,27,28,26,23,31,28,18,31,27,20,21,27,25,20,27,24,18,23,22,24,30,28,29,26,19,27,29,28,32,35,28,25,34,19,11,21,18,20,25,17,27,29,18,35,18,18
23,Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,49,57,53,46,36,38,40,38,47,41,70,57,46,47,43,47,49,43,39,40,39,46,31,40,39,32,33,37,39,36,39,38,41,46,31,36,51,38,57,29,39,38,31,47,28,38,37,32,46,44,40,28
21,Sucumbíos,0.08472200000000001,-76.88277800000000,15,14,12,8,13,11,18,17,10,8,6,18,9,23,10,12,17,19,7,10,5,11,16,12,10,10,14,16,8,5,9,7,14,10,11,19,12,12,10,8,13,13,16,15,13,11,13,9,9,14,14,6
18,Tungurahua,-1.241667000000000,-78.61972200000000,58,47,56,57,54,49,44,50,55,67,58,65,50,43,67,59,61,39,57,52,53,48,38,59,52,58,59,56,56,38,63,61,54,50,49,70,53,62,52,53,41,62,55,50,62,49,58,44,40,55,40,50
19,Zamora Chinchipe,-4.120000000000000,-78.80000000000000,4,6,6,6,5,5,3,7,7,3,2,6,9,5,3,3,6,2,6,2,2,2,4,5,8,6,5,0,6,5,2,4,5,4,5,7,5,5,3,8,4,4,4,9,7,12,9,1,7,2,6,1
