inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
07,El Oro,0702,Arenillas,-3.550000000000000,-80.06000000000000,6,9,5,9,11,4,6,7,8,3,8,9
07,El Oro,0703,Atahualpa,-2.900000000000000,-78.93333300000000,1,5,7,0,1,1,1,2,0,3,0,3
07,El Oro,0704,Balsas,-3.762600000000000,-79.82530000000000,1,0,0,0,3,0,4,1,2,2,3,3
07,El Oro,0705,Chilla,-3.450000000000000,-79.58000000000000,1,1,0,0,1,0,0,1,2,0,0,0
07,El Oro,0706,El Guabo,-3.238800000000000,-79.82920000000000,11,13,21,16,18,9,13,15,19,15,12,13
07,El Oro,0707,Huaquillas,-3.481380000000000,-80.24320700000000,17,12,24,18,11,10,11,11,12,17,18,10
07,El Oro,0714,Las Lajas,-3.785000000000000,-80.06166700000000,2,1,1,2,2,0,1,0,2,0,0,0
07,El Oro,0701,Machala,-3.266667000000000,-79.96666700000000,132,127,134,106,134,139,113,147,140,126,153,117
07,El Oro,0708,Marcabelí,-3.786000000000000,-79.89780000000000,4,3,1,1,2,0,2,3,1,3,2,1
07,El Oro,0709,Pasaje,-3.326900000000000,-79.80490000000000,32,25,27,29,19,20,13,22,23,29,22,24
07,El Oro,0710,Piñas,-3.666667000000000,-79.65000000000001,16,19,24,21,24,17,32,23,28,21,17,22
07,El Oro,0711,Portovelo,-3.720000000000000,-79.62000000000000,8,1,5,1,2,5,2,1,7,6,6,1
07,El Oro,0712,Santa Rosa,-3.452222000000000,-79.96166700000001,24,25,33,22,22,16,29,13,29,13,23,14
07,El Oro,0713,Zaruma,-3.433333000000000,-79.59999999999999,10,9,9,9,13,7,2,11,11,6,5,4
08,Esmeraldas,0806,Atacames,0.8666670000000000,-79.83333300000000,6,6,11,7,8,9,10,4,11,8,9,9
08,Esmeraldas,0802,Eloy Alfaro,1.250000000000000,-79,4,6,5,8,4,4,4,6,2,5,2,7
08,Esmeraldas,0801,Esmeraldas,1.050000000000000,-79.20000000000000,104,79,103,91,80,92,91,79,86,97,84,73
08,Esmeraldas,0803,Muisne,0.6067000000000000,-80.01830000000000,4,5,8,5,2,1,1,4,8,6,1,1
08,Esmeraldas,0804,Quinindé,0.3300000000000000,-79.48000000000000,27,24,25,31,19,20,30,21,25,28,27,22
08,Esmeraldas,0807,Rioverde,1.060200000000000,-79.40440000000000,5,4,8,2,2,4,3,1,1,1,8,3
08,Esmeraldas,0805,San Lorenzo,1.265800000000000,-78.84139999999999,7,8,7,10,10,11,10,13,10,7,3,6
20,Galápagos,2002,Isabela,-0.4724000000000000,-90.68110000000000,0,1,0,0,0,0,1,1,0,0,2,0
20,Galápagos,2001,San Cristóbal,-0.8000000000000000,-89.40000000000001,2,4,0,0,0,0,0,1,0,3,2,1
20,Galápagos,2003,Santa Cruz,-0.6333330000000000,-90.36666700000001,3,2,0,4,2,2,1,2,3,1,3,3
09,Guayas,0902,Alfredo Baquerizo Moreno,-1.916667000000000,-79.51666700000000,3,5,6,10,12,8,6,4,5,10,15,2
09,Guayas,0903,Balao,-2.910000000000000,-79.81000000000000,5,3,7,4,7,4,2,4,8,3,4,7
09,Guayas,0904,Balzar,-1.360000000000000,-79.90000000000001,23,25,15,16,19,19,15,26,21,17,22,19
09,Guayas,0905,Colimes,-1.550000000000000,-80.01666700000000,12,10,11,4,6,7,9,4,4,10,6,3
09,Guayas,0923,Coronel Marcelino Maridueña,-2.200000000000000,-79.42000000000000,1,0,5,0,0,1,4,0,2,2,3,2
09,Guayas,0906,Daule,-1.866667000000000,-79.98333300000000,50,39,65,45,56,40,42,47,48,43,45,45
09,Guayas,0907,Durán,-2.166667000000000,-79.83333300000000,52,45,62,40,50,38,44,54,47,52,61,45
09,Guayas,0909,El Triunfo,-2.330000000000000,-79.40000000000001,10,11,10,15,16,19,22,26,16,9,12,15
09,Guayas,0908,Empalme,-1.046111000000000,-79.63361100000000,23,21,25,27,23,21,35,17,19,11,22,18
09,Guayas,0927,General Antonio Elizalde,-2.200000000000000,-79.17000000000000,2,2,4,3,1,1,5,3,1,1,1,0
09,Guayas,0901,Guayaquil,-2.183333000000000,-79.88333299999999,1520,1367,1469,1444,1303,1277,1319,1361,1310,1317,1288,1321
09,Guayas,0928,Isidro Ayora,-1.883333000000000,-80.16666700000000,3,4,0,2,1,3,3,5,1,3,4,3
09,Guayas,0924,Lomas de Sargentillo,-1.883333000000000,-80.08333300000000,5,9,4,15,12,1,10,7,3,2,3,4
09,Guayas,0910,Milagro,-2.126944000000000,-79.59916699999999,100,98,96,97,84,85,69,78,70,75,70,78
09,Guayas,0911,Naranjal,-2.672800000000000,-79.61499999999999,19,24,16,22,15,23,17,27,14,24,13,15
09,Guayas,0912,Naranjito,-2.173000000000000,-79.46710000000000,25,11,7,10,10,9,12,11,12,10,9,13
09,Guayas,0925,Nobol,-1.916671000000000,-80.01153900000000,5,7,6,4,6,3,7,9,7,9,5,7
09,Guayas,0913,Palestina,-1.626300000000000,-79.97700000000000,6,5,9,4,3,3,6,3,7,6,7,7
09,Guayas,0914,Pedro Carbo,-1.833333000000000,-80.23333300000000,26,22,15,17,17,11,7,6,18,15,15,14
09,Guayas,0921,Playas,-2.623330000000000,-80.38750000000000,16,20,18,16,17,21,15,20,10,19,21,18
09,Guayas,0919,Salitre,-1.829444000000000,-79.81555600000000,27,12,23,20,24,22,16,15,15,16,19,15
09,Guayas,0916,Samborondón,-2.183333000000000,-79.88333299999999,18,21,21,26,17,23,27,17,21,17,16,23
09,Guayas,0920,San Jacinto De Yaguachi,-2.120000000000000,-79.69000000000000,11,16,14,18,6,14,7,13,17,12,11,17
