inec_provincia_id,provincia,poblacion,lat,lng,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019
01,Azuay,881394,-2.8974140000000004,-79.004481,318,288,291,283,334,308,313,326,319,286,297,279
02,Bolívar,209933,-1.6055560000000002,-79.003056,88,92,97,81,89,93,87,74,92,82,91,78
04,Carchi,186869,0.81218,-77.71633,68,69,69,66,58,67,71,72,72,79,77,61
03,Cañar,281396,-2.733333,-78.833333,122,113,103,92,93,124,123,131,98,109,98,67
06,Chimborazo,524004,-1.674347,-78.648294,224,192,234,182,207,202,213,225,230,213,190,183
05,Cotopaxi,488716,-0.933333,-78.616667,191,151,199,168,170,153,214,190,202,171,180,173
07,El Oro,715751,-3.2666670000000004,-79.966667,262,253,289,248,268,236,243,258,298,246,274,232
08,Esmeraldas,591083,1.05,-79.2,169,143,182,167,140,156,165,149,163,177,154,131
20,Galápagos,33042,-0.7999999999999999,-89.4,8,4,1,3,4,2,4,3,2,3,6,5
09,Guayas,4387434,-2.183333,-79.883333,1873,1692,1846,1768,1639,1568,1628,1669,1618,1599,1603,1630
10,Imbabura,476257,0.362678,-78.130667,217,166,164,171,213,182,162,214,179,165,168,164
11,Loja,521154,-3.9833330000000005,-79.2,201,210,203,185,195,192,196,208,194,200,221,179
12,Los Ríos,921763,-1.8,-79.533333,372,357,386,389,348,336,322,342,362,345,342,282
13,Manabí,1562079,-1.056181,-80.455217,651,593,641,608,501,545,566,599,600,616,612,522
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,50,39,65,72,46,47,35,47,47,49,48,49
15,Napo,133705,-0.989,-77.8159,37,25,40,38,37,50,49,34,27,28,29,28
22,Orellana,161338,-0.466667,-76.966667,29,47,49,45,45,37,42,36,30,39,33,30
88,Otro,0,0,0,6,4,5,4,5,5,4,6,6,3,10,5
16,Pastaza,114202,-1.066667,-78.001111,24,38,31,24,29,21,32,22,25,26,36,33
17,Pichincha,3228233,-0.218611,-78.509722,1124,899,1000,930,969,986,1023,1017,1004,972,974,1047
24,Santa Elena,401178,-2.2267,-80.8583,140,120,114,117,110,106,131,136,136,79,124,101
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,192,135,200,183,154,161,149,143,158,155,133,151
21,Sucumbíos,230503,0.08472200000000002,-76.882778,60,60,53,68,50,62,57,50,50,58,53,54
18,Tungurahua,590600,-1.241667,-78.619722,248,205,275,241,234,217,225,263,257,238,218,207
19,Zamora Chinchipe,120416,-4.12,-78.8,32,35,33,26,22,35,24,31,25,38,39,21
