provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,4,3,6,6,3,2,1,2,3,3,5,6
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,6,6,6,3,2,7,5,5,3,3,7,2
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,278,238,242,243,268,269,283,278,256,240,253,245
Azuay,El Pan,-2.786111000000000,-78.66500000000001,2,0,0,0,2,3,1,1,1,1,0,0
Azuay,Girón,-3.159028000000000,-79.14756800000001,5,5,5,5,6,1,8,8,3,4,9,6
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,0,1,0,0,0,0,2,0,3,1,1,0
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,25,23,15,22,19,20,19,20,21,16,14,14
Azuay,Nabón,-3.336060000000000,-79.06368000000001,6,7,6,8,8,4,3,6,7,3,11,7
Azuay,Oña,-3.469640000000000,-79.15431000000000,2,2,1,2,2,1,2,2,2,4,1,2
Azuay,Paute,-2.781800000000000,-78.76000000000001,10,2,10,6,11,7,10,8,10,7,7,8
Azuay,Pucará,-3.233780000000000,-79.46120000000001,2,0,4,1,3,2,2,1,3,6,1,2
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,1,0,0,1,0,1,1,0,0,2,1,0
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,6,5,4,6,15,9,4,7,8,6,10,5
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,0,1,1,2,2,0,2,3,1,1,1,0
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,14,8,11,11,13,10,8,8,15,9,6,5
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,6,6,3,5,3,7,7,3,11,4,2,1
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,8,10,6,2,8,5,3,4,6,3,5,3
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,2,4,7,4,4,3,3,4,4,3,2,1
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,4,6,3,5,3,4,2,4,5,3,5,10
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,39,39,51,32,38,39,38,34,42,40,42,37
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,1,0,2,0,0,1,1,3,0,0,3,0
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,13,10,9,7,12,15,14,14,8,8,12,6
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,7,4,9,6,12,4,4,3,2,5,6,1
Carchi,Espejo,0.6210000000000000,-77.94000000000000,8,2,2,6,7,7,7,3,5,2,5,2
Carchi,Mira,0.5538999999999999,-78.04930000000000,5,5,5,4,0,2,7,7,1,7,4,3
Carchi,Montúfar,0.6100000000000000,-77.84000000000000,7,9,9,6,12,8,4,13,9,11,13,6
Carchi,San Pedro de Huaca,0.6311110000000000,-77.72527800000000,0,3,3,3,1,5,4,4,1,2,4,1
Carchi,Tulcán,0.8121800000000000,-77.71633000000000,35,35,31,34,30,34,32,37,46,39,34,43
Cañar,Azogues,-2.733333000000000,-78.83333300000000,34,39,37,37,47,51,47,52,41,46,37,32
Cañar,Biblían,-2.710000000000000,-78.88000000000000,13,7,7,4,6,13,15,9,7,4,8,4
Cañar,Cañar,-2.483700000000000,-78.97839999999999,21,27,19,17,7,14,20,25,17,21,24,6
Cañar,Déleg,-2.772600000000000,-78.91830000000000,2,2,4,3,0,6,5,3,3,1,3,1
Cañar,El Tambo,-2.508100000000000,-78.92489999999999,3,3,4,1,2,4,3,8,3,6,2,2
Cañar,La Troncal,-2.400000000000000,-79.33000000000000,20,17,22,11,20,12,16,18,12,19,8,14
Cañar,Suscal,-2.436400000000000,-79.05220000000000,1,1,1,1,2,1,7,2,1,0,4,0
Chimborazo,Alausí,-2.200000000000000,-78.84999999999999,15,19,13,13,19,11,15,15,24,14,10,12
Chimborazo,Chambo,-1.733333000000000,-78.58333300000000,3,3,3,4,2,2,4,3,6,2,4,2
Chimborazo,Chunchi,-2.283333000000000,-78.91666700000000,1,9,10,4,6,6,2,1,7,3,3,0
Chimborazo,Colta,-1.700000000000000,-78.75000000000000,10,13,18,23,15,12,15,16,12,12,16,5
Chimborazo,Cumandá,-2.200000000000000,-79.13333299999999,3,3,4,5,2,3,3,3,7,0,5,2
Chimborazo,Guamote,-1.933333000000000,-78.71666700000000,15,11,16,15,10,10,10,16,13,13,11,12
Chimborazo,Guano,-1.583333000000000,-78.63333299999999,11,10,20,12,14,14,8,8,7,12,9,13
Chimborazo,Pallatanga,-1.983333000000000,-78.95000000000000,3,8,8,4,3,7,6,5,1,6,5,3
Chimborazo,Penipe,-1.557300000000000,-78.53959999999999,2,0,2,1,2,2,4,5,5,3,3,5
Chimborazo,Riobamba,-1.674347000000000,-78.64829400000001,137,117,134,97,119,122,123,142,137,137,119,117
Cotopaxi,La Maná,-0.9300000000000000,-79.22000000000000,8,9,9,11,6,14,22,9,18,10,17,7
Cotopaxi,Latacunga,-0.9333330000000000,-78.61666700000001,96,68,102,74,90,70,102,97,112,79,85,85
Cotopaxi,Pangua,-1.133333000000000,-79.06666700000000,5,5,9,9,9,3,4,6,2,4,4,10
Cotopaxi,Pujilí,-0.9500000000000000,-78.69000000000000,19,14,21,18,19,16,21,14,22,23,20,17
Cotopaxi,Salcedo,-1.050000000000000,-78.58333300000000,24,18,17,22,20,21,24,29,13,17,20,18
Cotopaxi,Saquisilí,-0.8300000000000000,-78.67000000000000,7,5,7,11,7,8,9,10,5,8,8,8
Cotopaxi,Sigchos,-0.7000000000000000,-78.88333299999999,5,9,6,5,5,3,8,5,3,5,5,3
El Oro,Arenillas,-3.550000000000000,-80.06000000000000,6,9,5,9,11,4,6,7,8,3,8,9
El Oro,Atahualpa,-2.900000000000000,-78.93333300000000,1,5,7,0,1,1,1,2,0,3,0,3
El Oro,Balsas,-3.762600000000000,-79.82530000000000,1,0,0,0,3,0,4,1,2,2,3,3
El Oro,Chilla,-3.450000000000000,-79.58000000000000,1,1,0,0,1,0,0,1,2,0,0,0
El Oro,El Guabo,-3.238800000000000,-79.82920000000000,11,13,21,16,18,9,13,15,19,15,12,13
El Oro,Huaquillas,-3.481380000000000,-80.24320700000000,17,12,24,18,11,10,11,11,12,17,18,10
El Oro,Las Lajas,-3.785000000000000,-80.06166700000000,2,1,1,2,2,0,1,0,2,0,0,0
El Oro,Machala,-3.266667000000000,-79.96666700000000,132,127,134,106,134,139,113,147,140,126,153,117
El Oro,Marcabelí,-3.786000000000000,-79.89780000000000,4,3,1,1,2,0,2,3,1,3,2,1
El Oro,Pasaje,-3.326900000000000,-79.80490000000000,32,25,27,29,19,20,13,22,23,29,22,24
El Oro,Piñas,-3.666667000000000,-79.65000000000001,16,19,24,21,24,17,32,23,28,21,17,22
El Oro,Portovelo,-3.720000000000000,-79.62000000000000,8,1,5,1,2,5,2,1,7,6,6,1
El Oro,Santa Rosa,-3.452222000000000,-79.96166700000001,24,25,33,22,22,16,29,13,29,13,23,14
El Oro,Zaruma,-3.433333000000000,-79.59999999999999,10,9,9,9,13,7,2,11,11,6,5,4
Esmeraldas,Atacames,0.8666670000000000,-79.83333300000000,6,6,11,7,8,9,10,4,11,8,9,9
Esmeraldas,Eloy Alfaro,1.250000000000000,-79,4,6,5,8,4,4,4,6,2,5,2,7
Esmeraldas,Esmeraldas,1.050000000000000,-79.20000000000000,104,79,103,91,80,92,91,79,86,97,84,73
Esmeraldas,Muisne,0.6067000000000000,-80.01830000000000,4,5,8,5,2,1,1,4,8,6,1,1
Esmeraldas,Quinindé,0.3300000000000000,-79.48000000000000,27,24,25,31,19,20,30,21,25,28,27,22
Esmeraldas,Rioverde,1.060200000000000,-79.40440000000000,5,4,8,2,2,4,3,1,1,1,8,3
Esmeraldas,San Lorenzo,1.265800000000000,-78.84139999999999,7,8,7,10,10,11,10,13,10,7,3,6
Galápagos,Isabela,-0.4724000000000000,-90.68110000000000,0,1,0,0,0,0,1,1,0,0,2,0
Galápagos,San Cristóbal,-0.8000000000000000,-89.40000000000001,2,4,0,0,0,0,0,1,0,3,2,1
Galápagos,Santa Cruz,-0.6333330000000000,-90.36666700000001,3,2,0,4,2,2,1,2,3,1,3,3
Guayas,Alfredo Baquerizo Moreno,-1.916667000000000,-79.51666700000000,3,5,6,10,12,8,6,4,5,10,15,2
Guayas,Balao,-2.910000000000000,-79.81000000000000,5,3,7,4,7,4,2,4,8,3,4,7
Guayas,Balzar,-1.360000000000000,-79.90000000000001,23,25,15,16,19,19,15,26,21,17,22,19
Guayas,Colimes,-1.550000000000000,-80.01666700000000,12,10,11,4,6,7,9,4,4,10,6,3
Guayas,Coronel Marcelino Maridueña,-2.200000000000000,-79.42000000000000,1,0,5,0,0,1,4,0,2,2,3,2
Guayas,Daule,-1.866667000000000,-79.98333300000000,50,39,65,45,56,40,42,47,48,43,45,45
Guayas,Durán,-2.166667000000000,-79.83333300000000,52,45,62,40,50,38,44,54,47,52,61,45
Guayas,El Triunfo,-2.330000000000000,-79.40000000000001,10,11,10,15,16,19,22,26,16,9,12,15
Guayas,Empalme,-1.046111000000000,-79.63361100000000,23,21,25,27,23,21,35,17,19,11,22,18
Guayas,General Antonio Elizalde,-2.200000000000000,-79.17000000000000,2,2,4,3,1,1,5,3,1,1,1,0
Guayas,Guayaquil,-2.183333000000000,-79.88333299999999,1520,1367,1469,1444,1303,1277,1319,1361,1310,1317,1288,1321
Guayas,Isidro Ayora,-1.883333000000000,-80.16666700000000,3,4,0,2,1,3,3,5,1,3,4,3
Guayas,Lomas de Sargentillo,-1.883333000000000,-80.08333300000000,5,9,4,15,12,1,10,7,3,2,3,4
Guayas,Milagro,-2.126944000000000,-79.59916699999999,100,98,96,97,84,85,69,78,70,75,70,78
Guayas,Naranjal,-2.672800000000000,-79.61499999999999,19,24,16,22,15,23,17,27,14,24,13,15
