provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
El Oro,Huaquillas,-3.481380000000000,-80.24320700000000,17,29,53,71,82,92,103,114,126,143,161,171
El Oro,Las Lajas,-3.785000000000000,-80.06166700000000,2,3,4,6,8,8,9,9,11,11,11,11
El Oro,Machala,-3.266667000000000,-79.96666700000000,132,259,393,499,633,772,885,1032,1172,1298,1451,1568
El Oro,Marcabelí,-3.786000000000000,-79.89780000000000,4,7,8,9,11,11,13,16,17,20,22,23
El Oro,Pasaje,-3.326900000000000,-79.80490000000000,32,57,84,113,132,152,165,187,210,239,261,285
El Oro,Piñas,-3.666667000000000,-79.65000000000001,16,35,59,80,104,121,153,176,204,225,242,264
El Oro,Portovelo,-3.720000000000000,-79.62000000000000,8,9,14,15,17,22,24,25,32,38,44,45
El Oro,Santa Rosa,-3.452222000000000,-79.96166700000001,24,49,82,104,126,142,171,184,213,226,249,263
El Oro,Zaruma,-3.433333000000000,-79.59999999999999,10,19,28,37,50,57,59,70,81,87,92,96
Esmeraldas,Atacames,0.8666670000000000,-79.83333300000000,6,12,23,30,38,47,57,61,72,80,89,98
Esmeraldas,Eloy Alfaro,1.250000000000000,-79,4,10,15,23,27,31,35,41,43,48,50,57
Esmeraldas,Esmeraldas,1.050000000000000,-79.20000000000000,104,183,286,377,457,549,640,719,805,902,986,1059
Esmeraldas,Muisne,0.6067000000000000,-80.01830000000000,4,9,17,22,24,25,26,30,38,44,45,46
Esmeraldas,Quinindé,0.3300000000000000,-79.48000000000000,27,51,76,107,126,146,176,197,222,250,277,299
Esmeraldas,Rioverde,1.060200000000000,-79.40440000000000,5,9,17,19,21,25,28,29,30,31,39,42
Esmeraldas,San Lorenzo,1.265800000000000,-78.84139999999999,7,15,22,32,42,53,63,76,86,93,96,102
Galápagos,Isabela,-0.4724000000000000,-90.68110000000000,0,1,1,1,1,1,2,3,3,3,5,5
Galápagos,San Cristóbal,-0.8000000000000000,-89.40000000000001,2,6,6,6,6,6,6,7,7,10,12,13
Galápagos,Santa Cruz,-0.6333330000000000,-90.36666700000001,3,5,5,9,11,13,14,16,19,20,23,26
Guayas,Alfredo Baquerizo Moreno,-1.916667000000000,-79.51666700000000,3,8,14,24,36,44,50,54,59,69,84,86
Guayas,Balao,-2.910000000000000,-79.81000000000000,5,8,15,19,26,30,32,36,44,47,51,58
Guayas,Balzar,-1.360000000000000,-79.90000000000001,23,48,63,79,98,117,132,158,179,196,218,237
Guayas,Colimes,-1.550000000000000,-80.01666700000000,12,22,33,37,43,50,59,63,67,77,83,86
Guayas,Coronel Marcelino Maridueña,-2.200000000000000,-79.42000000000000,1,1,6,6,6,7,11,11,13,15,18,20
Guayas,Daule,-1.866667000000000,-79.98333300000000,50,89,154,199,255,295,337,384,432,475,520,565
Guayas,Durán,-2.166667000000000,-79.83333300000000,52,97,159,199,249,287,331,385,432,484,545,590
Guayas,El Triunfo,-2.330000000000000,-79.40000000000001,10,21,31,46,62,81,103,129,145,154,166,181
Guayas,Empalme,-1.046111000000000,-79.63361100000000,23,44,69,96,119,140,175,192,211,222,244,262
Guayas,General Antonio Elizalde,-2.200000000000000,-79.17000000000000,2,4,8,11,12,13,18,21,22,23,24,24
Guayas,Guayaquil,-2.183333000000000,-79.88333299999999,1520,2887,4356,5800,7103,8380,9699,11060,12370,13687,14975,16296
Guayas,Isidro Ayora,-1.883333000000000,-80.16666700000000,3,7,7,9,10,13,16,21,22,25,29,32
Guayas,Lomas de Sargentillo,-1.883333000000000,-80.08333300000000,5,14,18,33,45,46,56,63,66,68,71,75
Guayas,Milagro,-2.126944000000000,-79.59916699999999,100,198,294,391,475,560,629,707,777,852,922,1000
Guayas,Naranjal,-2.672800000000000,-79.61499999999999,19,43,59,81,96,119,136,163,177,201,214,229
Guayas,Naranjito,-2.173000000000000,-79.46710000000000,25,36,43,53,63,72,84,95,107,117,126,139
Guayas,Nobol,-1.916671000000000,-80.01153900000000,5,12,18,22,28,31,38,47,54,63,68,75
Guayas,Palestina,-1.626300000000000,-79.97700000000000,6,11,20,24,27,30,36,39,46,52,59,66
Guayas,Pedro Carbo,-1.833333000000000,-80.23333300000000,26,48,63,80,97,108,115,121,139,154,169,183
Guayas,Playas,-2.623330000000000,-80.38750000000000,16,36,54,70,87,108,123,143,153,172,193,211
Guayas,Salitre,-1.829444000000000,-79.81555600000000,27,39,62,82,106,128,144,159,174,190,209,224
Guayas,Samborondón,-2.183333000000000,-79.88333299999999,18,39,60,86,103,126,153,170,191,208,224,247
Guayas,San Jacinto De Yaguachi,-2.120000000000000,-79.69000000000000,11,27,41,59,65,79,86,99,116,128,139,156
Guayas,Santa Lucía,-1.713889000000000,-79.98500000000000,12,21,41,55,71,86,100,109,127,145,158,172
Guayas,Simón Bolivar,-2.156667000000000,-79.88750000000000,5,12,18,24,28,29,31,38,47,50,55,61
Imbabura,Antonio Ante,0.3200000000000000,-78.20999999999999,12,27,35,52,66,73,83,101,114,124,134,144
Imbabura,Cotacachi,0.3000000000000000,-78.26666700000000,15,27,42,54,74,85,95,111,124,135,145,158
Imbabura,Ibarra,0.3626780000000000,-78.13066700000000,115,216,305,392,496,591,685,794,897,1005,1092,1179
Imbabura,Otavalo,0.2333330000000000,-78.26666700000000,45,66,98,136,182,219,254,290,323,344,375,406
Imbabura,Pimampiro,0.4000000000000000,-77.97000000000000,12,17,18,19,23,28,33,38,39,43,50,53
Imbabura,San Miguel de Urcuquí,0.5200000000000000,-78.20000000000000,4,8,15,18,22,29,34,41,47,51,54,57
Loja,Calvas,-4.320000000000000,-79.56000000000000,9,17,32,41,54,64,74,80,89,103,114,121
Loja,Catamayo,-3.980000000000000,-79.34999999999999,8,13,15,29,42,59,72,82,86,94,106,113
Loja,Celica,-4.102500000000000,-79.95444400000000,4,7,10,13,18,23,30,34,39,43,45,48
Loja,Chaguarpamba,-3.850000000000000,-79.65000000000001,3,5,9,12,12,13,15,17,20,21,24,26
Loja,Espíndola,-4.583056000000000,-79.42694400000001,7,11,17,21,26,26,35,45,48,57,66,71
Loja,Gonzanamá,-4.231389000000000,-79.43527800000000,8,11,15,16,20,24,29,34,41,44,50,54
Loja,Loja,-3.983333000000000,-79.20000000000000,131,276,397,515,629,747,864,995,1117,1235,1357,1459
Loja,Macará,-4.383333000000000,-79.95000000000000,3,11,17,21,25,29,35,36,43,50,55,61
Loja,Olmedo,-3.934000000000000,-79.64800000000000,2,3,4,4,5,8,8,10,10,14,16,17
Loja,Paltas,-4.050000000000000,-79.65000000000001,12,22,33,41,51,59,68,76,86,91,104,119
Loja,Pindal,-4.116100000000000,-80.10760000000001,1,3,7,7,10,13,17,21,21,23,23,25
Loja,Puyango,-3.870000000000000,-80.09000000000000,2,6,9,14,17,20,28,34,38,43,49,55
Loja,Quilanga,-4.298000000000000,-79.39860000000000,0,1,1,4,4,7,7,10,11,11,13,14
Loja,Saraguro,-3.625300000000000,-79.24110000000000,9,21,33,45,61,67,72,83,101,114,128,134
Loja,Sozoranga,-4.327778000000000,-79.78972200000000,1,7,10,11,14,14,15,17,20,24,29,30
Loja,Zapotillo,-4.386360000000000,-80.24360000000000,1,2,7,11,13,18,22,26,32,37,43,48
