inec_provincia_id,provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,-2.897414000000000,-79.00448100000000,71,160,238,321,399,464,541,609,695,774,848,909,974,1050,1125,1198,1270,1354,1442,1512,1596,1661,1746,1828,1899,1980,2045,2116,2202,2295,2371,2450,2537,2617,2697,2789,2869,2922,3005,3081,3150,3215,3282,3351,3411,3508,3591,3662,3740,3819,3899,3948
02,Bolívar,-1.605556000000000,-79.00305600000000,23,31,49,68,80,101,122,141,158,179,203,214,230,247,253,266,283,290,305,329,341,359,377,397,407,427,443,456,477,491,505,520,534,549,563,583,602,618,634,647,660,677,691,704,724,746,761,773,789,805,816,827
04,Carchi,0.8121800000000000,-77.71633000000000,15,30,44,60,69,85,98,116,128,137,147,164,180,192,206,221,236,249,271,281,291,303,317,334,351,361,379,392,403,413,423,435,454,471,491,502,515,534,548,562,572,586,607,625,640,655,668,684,699,706,728,738
03,Cañar,-2.733333000000000,-78.83333300000000,16,42,61,83,104,132,156,178,197,219,250,268,284,305,323,341,356,371,392,410,427,453,478,501,519,543,565,589,619,645,668,693,724,748,780,799,822,837,855,874,895,911,939,963,984,999,1020,1041,1059,1076,1086,1097
06,Chimborazo,-1.674347000000000,-78.64829400000001,41,92,138,173,218,276,329,371,415,493,532,581,622,677,707,753,791,822,874,914,952,1009,1052,1093,1140,1181,1230,1274,1312,1347,1409,1460,1509,1553,1593,1646,1695,1754,1800,1847,1886,1927,1969,2022,2064,2106,2162,2199,2251,2288,2335,2359
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,42,78,115,146,184,221,248,286,310,356,394,424,466,500,537,562,599,646,685,721,752,780,814,843,873,907,954,998,1041,1082,1120,1156,1194,1231,1274,1326,1359,1395,1438,1467,1493,1535,1562,1603,1647,1684,1717,1753,1788,1830,1864,1891
07,El Oro,-3.266667000000000,-79.96666700000000,59,119,179,232,306,350,419,470,552,620,675,731,808,880,935,977,1024,1082,1123,1188,1264,1317,1376,1421,1473,1533,1585,1630,1684,1747,1793,1846,1902,1961,2030,2087,2168,2234,2292,2347,2405,2465,2508,2574,2639,2690,2753,2826,2879,2937,2988,3032
08,Esmeraldas,1.050000000000000,-79.20000000000000,39,74,109,147,173,207,246,277,304,348,386,418,457,495,532,569,606,632,655,685,715,746,775,821,859,877,916,949,983,1020,1040,1069,1103,1129,1162,1208,1233,1263,1289,1325,1359,1388,1423,1466,1502,1528,1559,1588,1622,1666,1686,1701
20,Galápagos,-0.8000000000000000,-89.40000000000001,1,3,4,4,6,7,9,9,12,12,12,12,12,13,14,15,16,16,17,17,18,18,19,19,19,20,21,21,21,21,23,24,25,26,27,27,27,27,29,32,32,33,33,35,35,37,37,40,41,44,44,44
09,Guayas,-2.183333000000000,-79.88333299999999,367,825,1245,1720,2191,2675,3140,3556,3956,4375,4824,5283,5716,6139,6568,7019,7447,7886,8260,8652,9041,9421,9823,10216,10604,10989,11410,11780,12150,12542,12937,13324,13752,14144,14547,14937,15346,15763,16129,16513,16912,17293,17667,18057,18434,18808,19233,19639,20036,20438,20829,21221
