provincia,poblacion,total,nuevas,lat,lng,semana
El Oro,715751,1028,594,-3.266667000000000,-79.96666700000000,2
Esmeraldas,591083,175,105,1.050000000000000,-79.20000000000000,2
Galápagos,33042,216,149,-0.7999999999999999,-89.40000000000001,2
Guayas,4387434,2273,1165,-2.183333000000000,-79.88333299999999,2
Imbabura,476257,662,460,0.3626780000000000,-78.13066700000000,2
Loja,521154,581,415,-3.983333000000000,-79.20000000000000,2
Los Ríos,921763,451,276,-1.800000000000000,-79.53333300000000,2
Manabí,1562079,1205,708,-1.056181000000000,-80.45521700000000,2
Morona Santiago,196535,281,174,-2.300000000000000,-78.11666700000001,2
Napo,133705,131,75,-0.9890000000000000,-77.81590000000000,2
Orellana,161338,39,26,-0.4666670000000000,-76.96666700000000,2
Pastaza,114202,45,31,-1.066667000000000,-78.00111099999999,2
Pichincha,3228233,5252,3367,-0.2186110000000000,-78.50972200000000,2
Santa Elena,401178,250,167,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,511151,423,278,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,230503,60,32,0.08472200000000002,-76.88277800000000,2
Tungurahua,590600,733,435,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,120416,46,30,-4.120000000000000,-78.80000000000000,2
Azuay,881394,1568,600,-2.897414000000000,-79.00448100000000,3
Bolívar,209933,318,162,-1.605556000000000,-79.00305600000000,3
Carchi,186869,1006,544,0.8121800000000000,-77.71633000000000,3
Cañar,281396,422,207,-2.733333000000000,-78.83333300000000,3
Chimborazo,524004,787,259,-1.674347000000000,-78.64829400000001,3
Cotopaxi,488716,1077,389,-0.9333330000000000,-78.61666700000001,3
El Oro,715751,1573,545,-3.266667000000000,-79.96666700000000,3
Esmeraldas,591083,301,126,1.050000000000000,-79.20000000000000,3
Galápagos,33042,288,72,-0.7999999999999999,-89.40000000000001,3
Guayas,4387434,3219,946,-2.183333000000000,-79.88333299999999,3
Imbabura,476257,1042,380,0.3626780000000000,-78.13066700000000,3
Loja,521154,947,366,-3.983333000000000,-79.20000000000000,3
Los Ríos,921763,758,307,-1.800000000000000,-79.53333300000000,3
Manabí,1562079,1784,579,-1.056181000000000,-80.45521700000000,3
Morona Santiago,196535,390,109,-2.300000000000000,-78.11666700000001,3
Napo,133705,194,63,-0.9890000000000000,-77.81590000000000,3
Orellana,161338,48,9,-0.4666670000000000,-76.96666700000000,3
Pastaza,114202,85,40,-1.066667000000000,-78.00111099999999,3
Pichincha,3228233,8451,3199,-0.2186110000000000,-78.50972200000000,3
Santa Elena,401178,308,58,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,511151,680,257,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,230503,151,91,0.08472200000000002,-76.88277800000000,3
Tungurahua,590600,1197,464,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,120416,84,38,-4.120000000000000,-78.80000000000000,3
Azuay,881394,2229,661,-2.897414000000000,-79.00448100000000,4
Bolívar,209933,498,180,-1.605556000000000,-79.00305600000000,4
Carchi,186869,1361,355,0.8121800000000000,-77.71633000000000,4
Cañar,281396,611,189,-2.733333000000000,-78.83333300000000,4
Chimborazo,524004,1006,219,-1.674347000000000,-78.64829400000001,4
Cotopaxi,488716,1402,325,-0.9333330000000000,-78.61666700000001,4
El Oro,715751,2059,486,-3.266667000000000,-79.96666700000000,4
Esmeraldas,591083,393,92,1.050000000000000,-79.20000000000000,4
Galápagos,33042,325,37,-0.7999999999999999,-89.40000000000001,4
Guayas,4387434,4210,991,-2.183333000000000,-79.88333299999999,4
Imbabura,476257,1389,347,0.3626780000000000,-78.13066700000000,4
Loja,521154,1395,448,-3.983333000000000,-79.20000000000000,4
Los Ríos,921763,1104,346,-1.800000000000000,-79.53333300000000,4
Manabí,1562079,2459,675,-1.056181000000000,-80.45521700000000,4
Morona Santiago,196535,477,87,-2.300000000000000,-78.11666700000001,4
Napo,133705,259,65,-0.9890000000000000,-77.81590000000000,4
Orellana,161338,80,32,-0.4666670000000000,-76.96666700000000,4
Pastaza,114202,105,20,-1.066667000000000,-78.00111099999999,4
Pichincha,3228233,11778,3327,-0.2186110000000000,-78.50972200000000,4
Santa Elena,401178,374,66,-2.226700000000000,-80.85830000000000,4
Sto. Domingo Tsáchilas,511151,854,174,-0.2541670000000000,-79.17194400000000,4
Sucumbíos,230503,209,58,0.08472200000000002,-76.88277800000000,4
Tungurahua,590600,1516,319,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,120416,121,37,-4.120000000000000,-78.80000000000000,4
Azuay,881394,2566,337,-2.897414000000000,-79.00448100000000,5
Bolívar,209933,637,139,-1.605556000000000,-79.00305600000000,5
Carchi,186869,1539,178,0.8121800000000000,-77.71633000000000,5
Cañar,281396,740,129,-2.733333000000000,-78.83333300000000,5
Chimborazo,524004,1151,145,-1.674347000000000,-78.64829400000001,5
Cotopaxi,488716,1668,266,-0.9333330000000000,-78.61666700000001,5
El Oro,715751,2541,482,-3.266667000000000,-79.96666700000000,5
Esmeraldas,591083,519,126,1.050000000000000,-79.20000000000000,5
Galápagos,33042,348,23,-0.7999999999999999,-89.40000000000001,5
Guayas,4387434,5000,790,-2.183333000000000,-79.88333299999999,5
Imbabura,476257,1764,375,0.3626780000000000,-78.13066700000000,5
Loja,521154,1618,223,-3.983333000000000,-79.20000000000000,5
Los Ríos,921763,1366,262,-1.800000000000000,-79.53333300000000,5
Manabí,1562079,2943,484,-1.056181000000000,-80.45521700000000,5
Morona Santiago,196535,514,37,-2.300000000000000,-78.11666700000001,5
Napo,133705,281,22,-0.9890000000000000,-77.81590000000000,5
Orellana,161338,102,22,-0.4666670000000000,-76.96666700000000,5
Pastaza,114202,125,20,-1.066667000000000,-78.00111099999999,5
Pichincha,3228233,14447,2669,-0.2186110000000000,-78.50972200000000,5
Santa Elena,401178,409,35,-2.226700000000000,-80.85830000000000,5
Sto. Domingo Tsáchilas,511151,1107,253,-0.2541670000000000,-79.17194400000000,5
Sucumbíos,230503,246,37,0.08472200000000002,-76.88277800000000,5
Tungurahua,590600,1892,376,-1.241667000000000,-78.61972200000000,5
Zamora Chinchipe,120416,145,24,-4.120000000000000,-78.80000000000000,5
Azuay,881394,2952,386,-2.897414000000000,-79.00448100000000,6
Bolívar,209933,802,165,-1.605556000000000,-79.00305600000000,6
Carchi,186869,1684,145,0.8121800000000000,-77.71633000000000,6
Cañar,281396,856,116,-2.733333000000000,-78.83333300000000,6
Chimborazo,524004,1302,151,-1.674347000000000,-78.64829400000001,6
Cotopaxi,488716,1885,217,-0.9333330000000000,-78.61666700000001,6
El Oro,715751,3162,621,-3.266667000000000,-79.96666700000000,6
Esmeraldas,591083,674,155,1.050000000000000,-79.20000000000000,6
Galápagos,33042,362,14,-0.7999999999999999,-89.40000000000001,6
Guayas,4387434,6130,1130,-2.183333000000000,-79.88333299999999,6
Imbabura,476257,2034,270,0.3626780000000000,-78.13066700000000,6
Loja,521154,1944,326,-3.983333000000000,-79.20000000000000,6
Los Ríos,921763,1702,336,-1.800000000000000,-79.53333300000000,6
Manabí,1562079,3765,822,-1.056181000000000,-80.45521700000000,6
Morona Santiago,196535,582,68,-2.300000000000000,-78.11666700000001,6
Napo,133705,367,86,-0.9890000000000000,-77.81590000000000,6
Orellana,161338,165,63,-0.4666670000000000,-76.96666700000000,6
Pastaza,114202,151,26,-1.066667000000000,-78.00111099999999,6
Pichincha,3228233,17773,3326,-0.2186110000000000,-78.50972200000000,6
Santa Elena,401178,468,59,-2.226700000000000,-80.85830000000000,6
Sto. Domingo Tsáchilas,511151,1233,126,-0.2541670000000000,-79.17194400000000,6
Sucumbíos,230503,280,34,0.08472200000000002,-76.88277800000000,6
Tungurahua,590600,2159,267,-1.241667000000000,-78.61972200000000,6
Zamora Chinchipe,120416,177,32,-4.120000000000000,-78.80000000000000,6
Azuay,881394,3296,344,-2.897414000000000,-79.00448100000000,7
Bolívar,209933,979,177,-1.605556000000000,-79.00305600000000,7
Carchi,186869,1763,79,0.8121800000000000,-77.71633000000000,7
Cañar,281396,928,72,-2.733333000000000,-78.83333300000000,7
Chimborazo,524004,1447,145,-1.674347000000000,-78.64829400000001,7
Cotopaxi,488716,2022,137,-0.9333330000000000,-78.61666700000001,7
El Oro,715751,3630,468,-3.266667000000000,-79.96666700000000,7
Esmeraldas,591083,810,136,1.050000000000000,-79.20000000000000,7
Galápagos,33042,368,6,-0.7999999999999999,-89.40000000000001,7
Guayas,4387434,7163,1033,-2.183333000000000,-79.88333299999999,7
Imbabura,476257,2163,129,0.3626780000000000,-78.13066700000000,7
Loja,521154,2310,366,-3.983333000000000,-79.20000000000000,7
Los Ríos,921763,2098,396,-1.800000000000000,-79.53333300000000,7
Manabí,1562079,4291,526,-1.056181000000000,-80.45521700000000,7
Morona Santiago,196535,611,29,-2.300000000000000,-78.11666700000001,7
Napo,133705,418,51,-0.9890000000000000,-77.81590000000000,7
Orellana,161338,180,15,-0.4666670000000000,-76.96666700000000,7
Pastaza,114202,160,9,-1.066667000000000,-78.00111099999999,7
Pichincha,3228233,20624,2851,-0.2186110000000000,-78.50972200000000,7
Santa Elena,401178,588,120,-2.226700000000000,-80.85830000000000,7
Sto. Domingo Tsáchilas,511151,1418,185,-0.2541670000000000,-79.17194400000000,7
Sucumbíos,230503,311,31,0.08472200000000002,-76.88277800000000,7
Tungurahua,590600,2277,118,-1.241667000000000,-78.61972200000000,7
Zamora Chinchipe,120416,204,27,-4.120000000000000,-78.80000000000000,7
Azuay,881394,3598,302,-2.897414000000000,-79.00448100000000,8
Bolívar,209933,1294,315,-1.605556000000000,-79.00305600000000,8
Carchi,186869,2001,238,0.8121800000000000,-77.71633000000000,8
Cañar,281396,1020,92,-2.733333000000000,-78.83333300000000,8
Chimborazo,524004,1710,263,-1.674347000000000,-78.64829400000001,8
Cotopaxi,488716,2367,345,-0.9333330000000000,-78.61666700000001,8
El Oro,715751,4187,557,-3.266667000000000,-79.96666700000000,8
Esmeraldas,591083,1017,207,1.050000000000000,-79.20000000000000,8
Galápagos,33042,387,19,-0.7999999999999999,-89.40000000000001,8
Guayas,4387434,8721,1558,-2.183333000000000,-79.88333299999999,8
Imbabura,476257,2484,321,0.3626780000000000,-78.13066700000000,8
Loja,521154,2676,366,-3.983333000000000,-79.20000000000000,8
Los Ríos,921763,2624,526,-1.800000000000000,-79.53333300000000,8
Manabí,1562079,5397,1106,-1.056181000000000,-80.45521700000000,8
Morona Santiago,196535,663,52,-2.300000000000000,-78.11666700000001,8
Napo,133705,492,74,-0.9890000000000000,-77.81590000000000,8
Orellana,161338,205,25,-0.4666670000000000,-76.96666700000000,8
Pastaza,114202,220,60,-1.066667000000000,-78.00111099999999,8
Pichincha,3228233,24602,3978,-0.2186110000000000,-78.50972200000000,8
Santa Elena,401178,694,106,-2.226700000000000,-80.85830000000000,8
Sto. Domingo Tsáchilas,511151,1889,471,-0.2541670000000000,-79.17194400000000,8
Sucumbíos,230503,395,84,0.08472200000000002,-76.88277800000000,8
Tungurahua,590600,2638,361,-1.241667000000000,-78.61972200000000,8
Zamora Chinchipe,120416,260,56,-4.120000000000000,-78.80000000000000,8
Azuay,881394,4017,419,-2.897414000000000,-79.00448100000000,9
Bolívar,209933,1556,262,-1.605556000000000,-79.00305600000000,9
Carchi,186869,2124,123,0.8121800000000000,-77.71633000000000,9
Cañar,281396,1144,124,-2.733333000000000,-78.83333300000000,9
Chimborazo,524004,1929,219,-1.674347000000000,-78.64829400000001,9
Cotopaxi,488716,2572,205,-0.9333330000000000,-78.61666700000001,9
El Oro,715751,4863,676,-3.266667000000000,-79.96666700000000,9
Esmeraldas,591083,1180,163,1.050000000000000,-79.20000000000000,9
Galápagos,33042,395,8,-0.7999999999999999,-89.40000000000001,9
Guayas,4387434,9827,1106,-2.183333000000000,-79.88333299999999,9
Imbabura,476257,2729,245,0.3626780000000000,-78.13066700000000,9
Loja,521154,3007,331,-3.983333000000000,-79.20000000000000,9
Los Ríos,921763,3063,439,-1.800000000000000,-79.53333300000000,9
Manabí,1562079,6663,1266,-1.056181000000000,-80.45521700000000,9
Morona Santiago,196535,726,63,-2.300000000000000,-78.11666700000001,9
Napo,133705,551,59,-0.9890000000000000,-77.81590000000000,9
Orellana,161338,230,25,-0.4666670000000000,-76.96666700000000,9
Pastaza,114202,248,28,-1.066667000000000,-78.00111099999999,9
Pichincha,3228233,26444,1842,-0.2186110000000000,-78.50972200000000,9
Santa Elena,401178,773,79,-2.226700000000000,-80.85830000000000,9
Sto. Domingo Tsáchilas,511151,2268,379,-0.2541670000000000,-79.17194400000000,9
Sucumbíos,230503,474,79,0.08472200000000002,-76.88277800000000,9
Tungurahua,590600,2809,171,-1.241667000000000,-78.61972200000000,9
Zamora Chinchipe,120416,297,37,-4.120000000000000,-78.80000000000000,9
Azuay,881394,4353,336,-2.897414000000000,-79.00448100000000,10
Bolívar,209933,1766,210,-1.605556000000000,-79.00305600000000,10
Carchi,186869,2196,72,0.8121800000000000,-77.71633000000000,10
Cañar,281396,1269,125,-2.733333000000000,-78.83333300000000,10
Chimborazo,524004,2155,226,-1.674347000000000,-78.64829400000001,10
Cotopaxi,488716,2725,153,-0.9333330000000000,-78.61666700000001,10
El Oro,715751,5387,524,-3.266667000000000,-79.96666700000000,10
Esmeraldas,591083,1421,241,1.050000000000000,-79.20000000000000,10
Galápagos,33042,400,5,-0.7999999999999999,-89.40000000000001,10
Guayas,4387434,10940,1113,-2.183333000000000,-79.88333299999999,10
Imbabura,476257,2959,230,0.3626780000000000,-78.13066700000000,10
Loja,521154,3389,382,-3.983333000000000,-79.20000000000000,10
Los Ríos,921763,3381,318,-1.800000000000000,-79.53333300000000,10
Manabí,1562079,7662,999,-1.056181000000000,-80.45521700000000,10
Morona Santiago,196535,788,62,-2.300000000000000,-78.11666700000001,10
Napo,133705,583,32,-0.9890000000000000,-77.81590000000000,10
Orellana,161338,256,26,-0.4666670000000000,-76.96666700000000,10
Pastaza,114202,275,27,-1.066667000000000,-78.00111099999999,10
Pichincha,3228233,28496,2052,-0.2186110000000000,-78.50972200000000,10
Santa Elena,401178,796,23,-2.226700000000000,-80.85830000000000,10
Sto. Domingo Tsáchilas,511151,2560,292,-0.2541670000000000,-79.17194400000000,10
Sucumbíos,230503,548,74,0.08472200000000002,-76.88277800000000,10
Tungurahua,590600,2959,150,-1.241667000000000,-78.61972200000000,10
Zamora Chinchipe,120416,343,46,-4.120000000000000,-78.80000000000000,10
Azuay,881394,4634,281,-2.897414000000000,-79.00448100000000,11
Bolívar,209933,2051,285,-1.605556000000000,-79.00305600000000,11
Carchi,186869,2268,72,0.8121800000000000,-77.71633000000000,11
Cañar,281396,1403,134,-2.733333000000000,-78.83333300000000,11
Chimborazo,524004,2349,194,-1.674347000000000,-78.64829400000001,11
Cotopaxi,488716,2891,166,-0.9333330000000000,-78.61666700000001,11
El Oro,715751,5860,473,-3.266667000000000,-79.96666700000000,11
Esmeraldas,591083,1614,193,1.050000000000000,-79.20000000000000,11
Galápagos,33042,408,8,-0.7999999999999999,-89.40000000000001,11
Guayas,4387434,13069,2129,-2.183333000000000,-79.88333299999999,11
Imbabura,476257,3105,146,0.3626780000000000,-78.13066700000000,11
Loja,521154,3909,520,-3.983333000000000,-79.20000000000000,11
Los Ríos,921763,3886,505,-1.800000000000000,-79.53333300000000,11
Manabí,1562079,8700,1038,-1.056181000000000,-80.45521700000000,11
Morona Santiago,196535,847,59,-2.300000000000000,-78.11666700000001,11
Napo,133705,607,24,-0.9890000000000000,-77.81590000000000,11
Orellana,161338,319,63,-0.4666670000000000,-76.96666700000000,11
Pastaza,114202,305,30,-1.066667000000000,-78.00111099999999,11
Pichincha,3228233,31780,3284,-0.2186110000000000,-78.50972200000000,11
Santa Elena,401178,936,140,-2.226700000000000,-80.85830000000000,11
Sto. Domingo Tsáchilas,511151,2841,281,-0.2541670000000000,-79.17194400000000,11
Sucumbíos,230503,687,139,0.08472200000000002,-76.88277800000000,11
Tungurahua,590600,3094,135,-1.241667000000000,-78.61972200000000,11
Zamora Chinchipe,120416,421,78,-4.120000000000000,-78.80000000000000,11
Azuay,881394,4968,334,-2.897414000000000,-79.00448100000000,12
Bolívar,209933,2325,274,-1.605556000000000,-79.00305600000000,12
Carchi,186869,2346,78,0.8121800000000000,-77.71633000000000,12
Cañar,281396,1513,110,-2.733333000000000,-78.83333300000000,12
Chimborazo,524004,2523,174,-1.674347000000000,-78.64829400000001,12
Cotopaxi,488716,3106,215,-0.9333330000000000,-78.61666700000001,12
El Oro,715751,6417,557,-3.266667000000000,-79.96666700000000,12
Esmeraldas,591083,1784,170,1.050000000000000,-79.20000000000000,12
Galápagos,33042,419,11,-0.7999999999999999,-89.40000000000001,12
Guayas,4387434,14420,1351,-2.183333000000000,-79.88333299999999,12
Imbabura,476257,3370,265,0.3626780000000000,-78.13066700000000,12
Loja,521154,4503,594,-3.983333000000000,-79.20000000000000,12
Los Ríos,921763,4261,375,-1.800000000000000,-79.53333300000000,12
Manabí,1562079,9618,918,-1.056181000000000,-80.45521700000000,12
Morona Santiago,196535,900,53,-2.300000000000000,-78.11666700000001,12
Napo,133705,726,119,-0.9890000000000000,-77.81590000000000,12
Orellana,161338,372,53,-0.4666670000000000,-76.96666700000000,12
Pastaza,114202,319,14,-1.066667000000000,-78.00111099999999,12
Pichincha,3228233,37080,5300,-0.2186110000000000,-78.50972200000000,12
Santa Elena,401178,1004,68,-2.226700000000000,-80.85830000000000,12
Sto. Domingo Tsáchilas,511151,3154,313,-0.2541670000000000,-79.17194400000000,12
Sucumbíos,230503,856,169,0.08472200000000002,-76.88277800000000,12
Tungurahua,590600,3369,275,-1.241667000000000,-78.61972200000000,12
Zamora Chinchipe,120416,515,94,-4.120000000000000,-78.80000000000000,12
Azuay,881394,5353,385,-2.897414000000000,-79.00448100000000,13
Bolívar,209933,2711,386,-1.605556000000000,-79.00305600000000,13
Carchi,186869,2484,138,0.8121800000000000,-77.71633000000000,13
Cañar,281396,1669,156,-2.733333000000000,-78.83333300000000,13
Chimborazo,524004,2781,258,-1.674347000000000,-78.64829400000001,13
Cotopaxi,488716,3401,295,-0.9333330000000000,-78.61666700000001,13
El Oro,715751,7153,736,-3.266667000000000,-79.96666700000000,13
Esmeraldas,591083,2052,268,1.050000000000000,-79.20000000000000,13
Galápagos,33042,431,12,-0.7999999999999999,-89.40000000000001,13
Guayas,4387434,16077,1657,-2.183333000000000,-79.88333299999999,13
Imbabura,476257,3666,296,0.3626780000000000,-78.13066700000000,13
Loja,521154,5264,761,-3.983333000000000,-79.20000000000000,13
Los Ríos,921763,4637,376,-1.800000000000000,-79.53333300000000,13
Manabí,1562079,10417,799,-1.056181000000000,-80.45521700000000,13
Morona Santiago,196535,1024,124,-2.300000000000000,-78.11666700000001,13
Napo,133705,797,71,-0.9890000000000000,-77.81590000000000,13
Orellana,161338,426,54,-0.4666670000000000,-76.96666700000000,13
Pastaza,114202,336,17,-1.066667000000000,-78.00111099999999,13
Pichincha,3228233,40641,3561,-0.2186110000000000,-78.50972200000000,13
Santa Elena,401178,1039,35,-2.226700000000000,-80.85830000000000,13
Sto. Domingo Tsáchilas,511151,3457,303,-0.2541670000000000,-79.17194400000000,13
Sucumbíos,230503,1031,175,0.08472200000000002,-76.88277800000000,13
Tungurahua,590600,3599,230,-1.241667000000000,-78.61972200000000,13
Zamora Chinchipe,120416,621,106,-4.120000000000000,-78.80000000000000,13
Azuay,881394,5830,477,-2.897414000000000,-79.00448100000000,14
Bolívar,209933,2897,186,-1.605556000000000,-79.00305600000000,14
Carchi,186869,2617,133,0.8121800000000000,-77.71633000000000,14
Cañar,281396,1826,157,-2.733333000000000,-78.83333300000000,14
Chimborazo,524004,2990,209,-1.674347000000000,-78.64829400000001,14
Cotopaxi,488716,3624,223,-0.9333330000000000,-78.61666700000001,14
El Oro,715751,7904,751,-3.266667000000000,-79.96666700000000,14
Esmeraldas,591083,2250,198,1.050000000000000,-79.20000000000000,14
Galápagos,33042,440,9,-0.7999999999999999,-89.40000000000001,14
Guayas,4387434,17739,1662,-2.183333000000000,-79.88333299999999,14
Imbabura,476257,3985,319,0.3626780000000000,-78.13066700000000,14
Loja,521154,5840,576,-3.983333000000000,-79.20000000000000,14
Los Ríos,921763,5021,384,-1.800000000000000,-79.53333300000000,14
Manabí,1562079,11390,973,-1.056181000000000,-80.45521700000000,14
Morona Santiago,196535,1144,120,-2.300000000000000,-78.11666700000001,14
Napo,133705,848,51,-0.9890000000000000,-77.81590000000000,14
Orellana,161338,484,58,-0.4666670000000000,-76.96666700000000,14
Pastaza,114202,362,26,-1.066667000000000,-78.00111099999999,14
Pichincha,3228233,44447,3806,-0.2186110000000000,-78.50972200000000,14
Santa Elena,401178,1122,83,-2.226700000000000,-80.85830000000000,14
Sto. Domingo Tsáchilas,511151,3700,243,-0.2541670000000000,-79.17194400000000,14
Sucumbíos,230503,1189,158,0.08472200000000002,-76.88277800000000,14
Tungurahua,590600,3804,205,-1.241667000000000,-78.61972200000000,14
Zamora Chinchipe,120416,750,129,-4.120000000000000,-78.80000000000000,14
Azuay,881394,6372,542,-2.897414000000000,-79.00448100000000,15
Bolívar,209933,3096,199,-1.605556000000000,-79.00305600000000,15
Carchi,186869,2792,175,0.8121800000000000,-77.71633000000000,15
Cañar,281396,1982,156,-2.733333000000000,-78.83333300000000,15
Chimborazo,524004,3219,229,-1.674347000000000,-78.64829400000001,15
Cotopaxi,488716,3941,317,-0.9333330000000000,-78.61666700000001,15
El Oro,715751,8599,695,-3.266667000000000,-79.96666700000000,15
Esmeraldas,591083,2412,162,1.050000000000000,-79.20000000000000,15
Galápagos,33042,453,13,-0.7999999999999999,-89.40000000000001,15
Guayas,4387434,19620,1881,-2.183333000000000,-79.88333299999999,15
Imbabura,476257,4516,531,0.3626780000000000,-78.13066700000000,15
Loja,521154,6396,556,-3.983333000000000,-79.20000000000000,15
Los Ríos,921763,5516,495,-1.800000000000000,-79.53333300000000,15
Manabí,1562079,12439,1049,-1.056181000000000,-80.45521700000000,15
Morona Santiago,196535,1324,180,-2.300000000000000,-78.11666700000001,15
Napo,133705,912,64,-0.9890000000000000,-77.81590000000000,15
Orellana,161338,602,118,-0.4666670000000000,-76.96666700000000,15
Pastaza,114202,390,28,-1.066667000000000,-78.00111099999999,15
Pichincha,3228233,49850,5403,-0.2186110000000000,-78.50972200000000,15
Santa Elena,401178,1293,171,-2.226700000000000,-80.85830000000000,15
Sto. Domingo Tsáchilas,511151,3992,292,-0.2541670000000000,-79.17194400000000,15
Sucumbíos,230503,1363,174,0.08472200000000002,-76.88277800000000,15
Tungurahua,590600,4033,229,-1.241667000000000,-78.61972200000000,15
Zamora Chinchipe,120416,820,70,-4.120000000000000,-78.80000000000000,15
Azuay,881394,6911,539,-2.897414000000000,-79.00448100000000,16
Bolívar,209933,3270,174,-1.605556000000000,-79.00305600000000,16
Carchi,186869,3047,255,0.8121800000000000,-77.71633000000000,16
Cañar,281396,2135,153,-2.733333000000000,-78.83333300000000,16
Chimborazo,524004,3498,279,-1.674347000000000,-78.64829400000001,16
Cotopaxi,488716,4288,347,-0.9333330000000000,-78.61666700000001,16
El Oro,715751,9348,749,-3.266667000000000,-79.96666700000000,16
Esmeraldas,591083,2598,186,1.050000000000000,-79.20000000000000,16
Galápagos,33042,462,9,-0.7999999999999999,-89.40000000000001,16
Guayas,4387434,21376,1756,-2.183333000000000,-79.88333299999999,16
Imbabura,476257,5088,572,0.3626780000000000,-78.13066700000000,16
Loja,521154,6849,453,-3.983333000000000,-79.20000000000000,16
Los Ríos,921763,5889,373,-1.800000000000000,-79.53333300000000,16
Manabí,1562079,13216,777,-1.056181000000000,-80.45521700000000,16
Morona Santiago,196535,1466,142,-2.300000000000000,-78.11666700000001,16
Napo,133705,985,73,-0.9890000000000000,-77.81590000000000,16
Orellana,161338,697,95,-0.4666670000000000,-76.96666700000000,16
Pastaza,114202,499,109,-1.066667000000000,-78.00111099999999,16
Pichincha,3228233,54746,4896,-0.2186110000000000,-78.50972200000000,16
Santa Elena,401178,1397,104,-2.226700000000000,-80.85830000000000,16
Sto. Domingo Tsáchilas,511151,4234,242,-0.2541670000000000,-79.17194400000000,16
Sucumbíos,230503,1556,193,0.08472200000000002,-76.88277800000000,16
Tungurahua,590600,4263,230,-1.241667000000000,-78.61972200000000,16
Zamora Chinchipe,120416,930,110,-4.120000000000000,-78.80000000000000,16
Azuay,881394,7543,632,-2.897414000000000,-79.00448100000000,17
Bolívar,209933,3429,159,-1.605556000000000,-79.00305600000000,17
Carchi,186869,3364,317,0.8121800000000000,-77.71633000000000,17
Cañar,281396,2316,181,-2.733333000000000,-78.83333300000000,17
Chimborazo,524004,3816,318,-1.674347000000000,-78.64829400000001,17
Cotopaxi,488716,4611,323,-0.9333330000000000,-78.61666700000001,17
El Oro,715751,10069,721,-3.266667000000000,-79.96666700000000,17
Esmeraldas,591083,2803,205,1.050000000000000,-79.20000000000000,17
Galápagos,33042,469,7,-0.7999999999999999,-89.40000000000001,17
Guayas,4387434,22836,1460,-2.183333000000000,-79.88333299999999,17
Imbabura,476257,5855,767,0.3626780000000000,-78.13066700000000,17
Loja,521154,7344,495,-3.983333000000000,-79.20000000000000,17
Los Ríos,921763,6222,333,-1.800000000000000,-79.53333300000000,17
Manabí,1562079,13869,653,-1.056181000000000,-80.45521700000000,17
Morona Santiago,196535,1609,143,-2.300000000000000,-78.11666700000001,17
Napo,133705,1188,203,-0.9890000000000000,-77.81590000000000,17
Orellana,161338,842,145,-0.4666670000000000,-76.96666700000000,17
Pastaza,114202,579,80,-1.066667000000000,-78.00111099999999,17
