provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,semana
Azuay,881394,Cuenca,636996,,9,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,3,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,284,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,0,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,10,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,2,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,17,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,4,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,1,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,25,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,0,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,1,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,26,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,6,-2.897414000000000,-79.00448100000000,1
Azuay,881394,Cuenca,636996,,7,-2.897414000000000,-79.00448100000000,1
Bolívar,209933,Guaranda,108763,,6,-1.605556000000000,-79.00305600000000,1
Bolívar,209933,Guaranda,108763,,6,-1.605556000000000,-79.00305600000000,1
Bolívar,209933,Guaranda,108763,,2,-1.605556000000000,-79.00305600000000,1
Bolívar,209933,Guaranda,108763,,7,-1.605556000000000,-79.00305600000000,1
Bolívar,209933,Guaranda,108763,,27,-1.605556000000000,-79.00305600000000,1
Bolívar,209933,Guaranda,108763,,0,-1.605556000000000,-79.00305600000000,1
Bolívar,209933,Guaranda,108763,,9,-1.605556000000000,-79.00305600000000,1
Carchi,186869,Tulcán,102395,,14,0.8121800000000000,-77.71633000000000,1
Carchi,186869,Tulcán,102395,,4,0.8121800000000000,-77.71633000000000,1
Carchi,186869,Tulcán,102395,,10,0.8121800000000000,-77.71633000000000,1
Carchi,186869,Tulcán,102395,,26,0.8121800000000000,-77.71633000000000,1
Carchi,186869,Tulcán,102395,,5,0.8121800000000000,-77.71633000000000,1
Carchi,186869,Tulcán,102395,,88,0.8121800000000000,-77.71633000000000,1
Cañar,281396,Azogues,86276,,24,-2.733333000000000,-78.83333300000000,1
Cañar,281396,Azogues,86276,,4,-2.733333000000000,-78.83333300000000,1
Cañar,281396,Azogues,86276,,17,-2.733333000000000,-78.83333300000000,1
Cañar,281396,Azogues,86276,,1,-2.733333000000000,-78.83333300000000,1
Cañar,281396,Azogues,86276,,1,-2.733333000000000,-78.83333300000000,1
Cañar,281396,Azogues,86276,,7,-2.733333000000000,-78.83333300000000,1
Cañar,281396,Azogues,86276,,1,-2.733333000000000,-78.83333300000000,1
Chimborazo,524004,Riobamba,264048,,11,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,1,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,3,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,12,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,10,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,2,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,4,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,4,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,1,-1.674347000000000,-78.64829400000001,1
Chimborazo,524004,Riobamba,264048,,170,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,Latacunga,205624,,15,-0.9333330000000000,-78.61666700000001,1
Cotopaxi,488716,Latacunga,205624,,90,-0.9333330000000000,-78.61666700000001,1
Cotopaxi,488716,Latacunga,205624,,3,-0.9333330000000000,-78.61666700000001,1
Cotopaxi,488716,Latacunga,205624,,21,-0.9333330000000000,-78.61666700000001,1
Cotopaxi,488716,Latacunga,205624,,66,-0.9333330000000000,-78.61666700000001,1
Cotopaxi,488716,Latacunga,205624,,5,-0.9333330000000000,-78.61666700000001,1
Cotopaxi,488716,Latacunga,205624,,20,-0.9333330000000000,-78.61666700000001,1
El Oro,715751,Machala,289141,,5,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,5,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,2,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,0,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,21,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,8,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,0,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,258,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,0,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,50,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,28,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,10,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,29,-3.266667000000000,-79.96666700000000,1
El Oro,715751,Machala,289141,,18,-3.266667000000000,-79.96666700000000,1
Esmeraldas,591083,Esmeraldas,218727,,2,1.050000000000000,-79.20000000000000,1
Esmeraldas,591083,Esmeraldas,218727,,0,1.050000000000000,-79.20000000000000,1
Esmeraldas,591083,Esmeraldas,218727,,56,1.050000000000000,-79.20000000000000,1
Esmeraldas,591083,Esmeraldas,218727,,0,1.050000000000000,-79.20000000000000,1
Esmeraldas,591083,Esmeraldas,218727,,12,1.050000000000000,-79.20000000000000,1
Esmeraldas,591083,Esmeraldas,218727,,0,1.050000000000000,-79.20000000000000,1
Esmeraldas,591083,Esmeraldas,218727,,0,1.050000000000000,-79.20000000000000,1
Galápagos,33042,San Cristóbal,9667,,2,-0.7999999999999999,-89.40000000000001,1
Galápagos,33042,San Cristóbal,9667,,4,-0.7999999999999999,-89.40000000000001,1
Galápagos,33042,San Cristóbal,9667,,61,-0.7999999999999999,-89.40000000000001,1
Guayas,4387434,Guayaquil,2723665,,0,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,3,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,13,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,7,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,0,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,38,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,89,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,13,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,15,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,11,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,810,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,1,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,1,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,44,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,17,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,3,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,1,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,3,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,12,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,3,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,3,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,12,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,9,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,0,-2.183333000000000,-79.88333299999999,1
Guayas,4387434,Guayaquil,2723665,,0,-2.183333000000000,-79.88333299999999,1
Imbabura,476257,Ibarra,221149,,35,0.3626780000000000,-78.13066700000000,1
Imbabura,476257,Ibarra,221149,,6,0.3626780000000000,-78.13066700000000,1
Imbabura,476257,Ibarra,221149,,102,0.3626780000000000,-78.13066700000000,1
Imbabura,476257,Ibarra,221149,,53,0.3626780000000000,-78.13066700000000,1
Imbabura,476257,Ibarra,221149,,2,0.3626780000000000,-78.13066700000000,1
Imbabura,476257,Ibarra,221149,,4,0.3626780000000000,-78.13066700000000,1
Loja,521154,Loja,274112,,7,-3.983333000000000,-79.20000000000000,1
Loja,521154,Loja,274112,,2,-3.983333000000000,-79.20000000000000,1
Loja,521154,Loja,274112,,0,-3.983333000000000,-79.20000000000000,1
Loja,521154,Loja,274112,,0,-3.983333000000000,-79.20000000000000,1
Loja,521154,Loja,274112,,10,-3.983333000000000,-79.20000000000000,1
Loja,521154,Loja,274112,,0,-3.983333000000000,-79.20000000000000,1
Loja,521154,Loja,274112,,103,-3.983333000000000,-79.20000000000000,1
Loja,521154,Loja,274112,,7,-3.983333000000000,-79.20000000000000,1
