informacion,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021,07/07/2021,08/07/2021,09/07/2021,10/07/2021,11/07/2021,12/07/2021,13/07/2021,14/07/2021,15/07/2021,16/07/2021,17/07/2021,18/07/2021,19/07/2021,20/07/2021,21/07/2021,22/07/2021,23/07/2021,24/07/2021,25/07/2021,26/07/2021,27/07/2021,28/07/2021,29/07/2021,30/07/2021,31/07/2021,01/08/2021,02/08/2021,03/08/2021,04/08/2021,05/08/2021,06/08/2021,07/08/2021,08/08/2021,09/08/2021,10/08/2021,11/08/2021,12/08/2021,13/08/2021,14/08/2021,15/08/2021,16/08/2021,17/08/2021,18/08/2021,19/08/2021,20/08/2021,21/08/2021,22/08/2021,23/08/2021,24/08/2021,25/08/2021,26/08/2021,27/08/2021,28/08/2021,29/08/2021,30/08/2021,31/08/2021,01/09/2021,02/09/2021,03/09/2021,04/09/2021,05/09/2021,06/09/2021,07/09/2021,08/09/2021,09/09/2021,10/09/2021,11/09/2021,12/09/2021,13/09/2021,14/09/2021,15/09/2021,16/09/2021
Administradas (Vacunómetro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cansino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,41,41,41,41,41,41,333,690,1997,2440,2580,3778,8361,14873,21447,26888,33835,39401,49048,65036,78910,97024,115171,128360,138651,158208,177972,199225,216882,233557,242200,248738,261483,274355,285028,294359,303968,305612,306378,312824,320023,326958,332926
Oxford/AstraZeneca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,14,27,1533,5742,10565,12034,17625,29621,37814,44100,44868,44934,44935,45275,45718,47060,51842,54604,57660,59260,62449,63547,67336,69182,71722,72664,73348,79965,86198,91331,127460,164968,200901,235401,268146,292851,319801,348334,366211,369643,369755,374859,384533,389424,395452,406054,408931,409649,413067,416219,421740,426582,431866,437265,493591,493680,493730,493873,495155,498169,509709,521122,537601,552571,567355,582382,596947,604159,606626,612685,618560,628355,638796,654860,670291,687422,705742,732681,783535,834719,874934,899292,908517,951744,1001950,1057875,1111340,1161756,1207814,1225459,1260652,1281174,1289331,1296533,1303423,1311199,1317093,1320581,1325004,1328566,1331319,1333286,1334542,1333998,1335808,1337276,1339179,1342045,1344033,1345361,1347743,1351721,1358364,1364059,1381859,1400620,1410495,1415458,1427979,1439295,1463960,1472528,1481405,1485797,1488815,1495075,1503982,1511736,1538146,1558675,1577650,1589043,1589043,1599177,1609047,1617888,1628259,1634011,1643051,1654953,1665135,1674488,1682409,1691148,1703131,1712496,1726304,1748294,1801032,1827840,1859310,1881041,1895976,1923492,1949520,1953906,1970960,1989534,2002008,2010070,2024842,2038254,2051400,2065278,2081104,2084505,2086223,2100711,2115912,2132439,2146616
Pfizer/BioNTech,17,3008,3811,3848,3848,5116,5876,6580,6802,7090,7090,7132,8520,9721,12357,12465,12468,12469,12469,12471,12471,12476,13999,14418,14459,14459,14459,14459,14536,38165,43468,43469,45346,47106,47118,47567,65728,76436,76533,76537,77006,77028,77053,106463,126191,130156,130329,134941,136645,137403,163502,212033,228805,229550,241068,247258,253377,261193,269900,278869,280830,323204,346627,356210,377544,402189,408638,408971,430039,441597,454161,485914,495445,498104,499631,543313,569030,605216,610932,619587,622475,622489,630886,639625,644198,652236,667691,673228,673555,678702,683038,692005,695897,705122,709873,710198,721966,735301,745155,748627,761291,768715,771824,779028,785069,794105,806782,823598,833144,837925,860445,875538,889301,906550,936711,952389,968097,994020,1011855,1027973,1068739,1110901,1146954,1175046,1176230,1181947,1193667,1204456,1227344,1240151,1246974,1274298,1297889,1321543,1355182,1386623,1403690,1414572,1428213,1439614,1453431,1477465,1508655,1525882,1534391,1544315,1553114,1564975,1597927,1619806,1627651,1629447,1637969,1645165,1653547,1675064,1686491,1692264,1694738,1707231,1716024,1728777,1753850,1772199,1794132,1813690,1902784,2022674,2154846,2284715,2381286,2435325,2467694,2516848,2563011,2610826,2661942,2718924,2794046,2844900,2915697,2974867,3025418,3068833,3115407,3166938,3210522,3271667,3366220,3465357,3578657,3685620,3770607,3843327,3948743,4049313,4156341,4264698,4365703,4427785,4473660,4474912,4550938,4608882,4661362,4720610,4779616,4814247,4878854,4937077,4987881,5033098,5079641,5114333,5142266,5184824,5232273,5274700,5335485,5407153,5454481,5474674,5501774,5518205,5498864,5536383,5577325,5604070,5622610,5647504,5666359,5680484,5690910,5700918,5703577,5704401,5729502,5762540,5803004,5837723
Sinovac,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,5,5,5,5,5,8,8,8,8,9,9,9,15,15,15,17,164,164,164,167,167,193,9292,11533,11533,11533,11669,13481,13534,14363,14363,14363,14364,14414,14416,14417,14419,14421,14421,14422,14469,14473,14477,14477,14486,14491,14495,14497,16058,16244,20823,21618,21619,21622,21766,62016,89137,113577,139162,176470,177411,210346,253344,301025,344790,391812,408727,415679,444146,486779,526821,557781,576279,586904,589675,599937,609082,624541,641235,653118,657358,658194,661513,673884,695857,718224,739358,760731,766049,784734,807396,835114,866967,904344,920559,926972,928882,929631,976289,1025026,1054194,1066754,1069544,1084676,1096630,1115838,1147071,1194031,1216335,1233657,1273652,1317895,1354520,1390798,1429267,1446343,1456412,1484174,1517303,1548660,1569037,1599197,1621390,1627294,1642717,1654273,1664454,1673986,1681930,1684932,1686868,1708359,1743586,1802945,1867513,1947121,2006398,2038180,2093592,2148420,2210747,2309109,2481481,2678805,2837252,3067420,3372531,3724477,4100281,4454809,4687780,4889173,5135504,5383021,5604599,5803152,5989772,6124285,6216221,6322616,6480426,6661105,6856973,7066818,7221206,7309281,7394945,7500374,7603466,7698101,7831071,7987378,8137117,8140386,8433260,8701695,8911123,9039285,9077840,9099209,9398534,9733861,10051409,10317508,10532499,10670450,10759230,10884220,11025934,11146616,11288497,11432820,11536422,11606050,11712932,11810657,11787282,11849055,11902702,11934517,11960678,11996310,12027164,12050963,12071275,12091472,12095046,12097497,12108035,12119590,12130443,12139406
Total,17,3008,3811,3848,3848,5116,5876,6580,6802,7091,7091,7133,8521,9722,12358,12467,12470,12471,12471,12473,12473,12478,14004,14423,14464,14464,14465,14465,14542,38171,43474,43475,45352,47115,47127,47576,65737,76446,76543,76547,77022,77044,77070,106482,126359,130324,130497,135112,136816,137601,172799,223571,240343,241088,252743,260745,266917,275562,284270,293239,295201,337625,361050,370634,391970,416617,423066,423400,444516,456084,468665,501924,515673,523160,526160,575435,614709,659274,675855,686073,689028,689046,697927,747359,780395,817655,861457,907358,910226,951497,999929,1060366,1109869,1168656,1191264,1199225,1246077,1308278,1363307,1433868,1502538,1556520,1596900,1647111,1687002,1738447,1796351,1842927,1860145,1865874,1896817,1933955,1974582,2020226,2082123,2122051,2143795,2191821,2235470,2284827,2362288,2447111,2504778,2595609,2598792,2605308,2663829,2724637,2779707,2816614,2837640,2896575,2947090,3004736,3084635,3177601,3224184,3254855,3314550,3376069,3436306,3507059,3592782,3642516,3678225,3734231,3803098,3897170,4001683,4093937,4148333,4165258,4232430,4301388,4375876,4460390,4530177,4585010,4607065,4676242,4740784,4821053,4917896,5022743,5111729,5168963,5316957,5496098,5694159,5925143,6196053,6448672,6638944,6920076,7272818,7674482,8104268,8517766,8827187,9081816,9402922,9716252,9994076,10253844,10505799,10701718,10842201,11022262,11285941,11590422,11908158,12233843,12477610,12641423,12838802,13053708,13271582,13500986,13755490,13992854,14199861,14204382,14583416,14919957,15191063,15390151,15493907,15559087,15936119,16344434,16728651,17054462,17330176,17521749,17653393,17844396,18071537,18301258,18548846,18814454,19000304,19115351,19296406,19456354,19439277,19573280,19703118,19782795,19842096,19930139,20006132,20067875,20121822,20177462,20188740,20194499,20251072,20318065,20392844,20456671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administradas 2da dosis (Vacunómetro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cansino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,41,41,41,41,41,41,333,690,1997,2440,2580,3778,8361,14873,21447,26888,33835,39401,49048,65036,78910,97024,115171,128360,138651,158208,177972,199225,216882,233557,242200,248738,261483,274355,285028,294359,303968,305612,306378,312824,320023,326958,332926
Oxford/AstraZeneca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,39,39,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,111,111,111,112,112,112,120,1653,1986,2256,4492,8989,12551,17275,18636,19365,19365,20084,20842,21668,22652,22744,22752,22752,22773,22784,22801,22813,22817,22821,22843,22843,22843,22954,23756,23808,23812,24028,39792,53394,64661,75770,87383,90647,91796,95062,99573,107707,115313,125952,131442,135536,141433,149715,170650,182297,188997,191731,193322,197958,203647,211666,218812,223501,234483,239976,244101,246122,247219,248908,250053,254118,256214,257048,259484,261815,263517,264779,265596,266590,267557,268592,269981,272182,273718,274850,277103,280969,287477,293007,310498,329107,338857,343585,356041,367195,379822,388324,397132,401431,404398,410569,419399,427117,434522,442976,447479,450804,450804,460460,469951,478564,488849,494542,503527,515387,525521,534854,542578,551264,563192,572555,586288,607813,656241,682359,713137,734520,749135,776093,801273,821506,837368,854660,866193,873320,885780,897150,908017,919250,932389,935191,936395,946041,955504,964783,972239
Pfizer/BioNTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,42,42,42,42,42,47,1538,1940,1977,1977,1977,1977,2051,3510,3867,3868,3869,4014,4015,4440,5748,6539,6543,6543,6544,6545,6545,6635,6650,6652,6652,6652,6652,6828,12460,19186,19891,19898,21040,21043,21057,26444,31796,35689,35694,36434,36728,36818,47413,60395,62344,62344,64672,67860,67929,77817,85554,87262,87418,104024,111069,115167,117419,120151,121921,121930,129840,137982,142104,149904,164446,169196,169492,174555,178819,185191,188210,196964,201610,201927,212497,223265,231795,233937,244215,247568,248126,248770,249162,249488,249727,250622,250719,250789,252902,254692,256941,258984,260933,262480,264061,267326,270728,272780,274832,278082,282120,284260,284624,285096,291408,300668,313936,321469,326376,334600,340939,349402,359967,378141,389778,398620,409973,420320,431050,453674,483990,501133,509589,519143,527882,539615,572119,593576,601342,603119,611520,618543,626571,647024,658004,663565,666005,678367,687052,698004,720099,731219,735564,737521,742478,745525,748860,751431,753444,754495,755069,756217,757134,758093,759157,760341,761066,761631,762386,763143,764427,766330,769130,774101,778403,791777,817293,843583,860007,872649,885050,903730,963053,1045228,1138243,1233522,1318311,1367061,1401635,1402679,1477735,1534731,1586310,1644603,1703203,1737382,1801561,1859333,1909314,1953793,1999651,2033956,2061618,2103729,2150337,2191942,2252164,2323140,2369870,2388715,2415158,2430886,2441566,2478328,2518602,2544653,2562432,2586471,2604206,2617542,2627171,2636481,2638674,2639421,2644203,2649695,2655020,2659245
Sinovac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,6,6,7,7,11,190,4437,5134,5134,5134,5242,5645,5664,6198,6580,6592,6594,6623,6625,6631,6638,6656,6661,6661,6732,6743,6752,6759,6765,6891,6891,7588,9842,15165,20906,24684,25725,26120,26712,35669,54539,73777,91400,111789,116784,134258,155414,181422,212088,248761,264148,269549,271442,272116,318277,366873,395968,408470,411201,420253,425672,433555,440926,447773,450544,451873,455466,459228,462339,465573,469050,470297,470587,472022,473731,474736,475573,476538,477256,477545,478553,479055,479934,480619,481052,481355,481667,486602,492591,506675,527022,559491,577400,591524,622193,656525,685841,718991,753745,771252,782677,808174,837590,866054,886960,914543,932596,944449,959487,971851,981798,990878,998692,1002852,1005628,1020068,1042852,1081118,1116488,1151633,1177397,1202776,1239273,1271476,1309523,1369083,1477218,1615094,1742392,1745398,2036705,2304281,2513254,2641088,2679591,2700917,3000036,3335077,3652338,3918150,4132836,4270709,4359415,4484229,4625746,4746172,4887803,5031906,5135400,5204717,5310468,5407121,5483915,5540310,5589000,5618596,5643396,5674209,5700193,5720036,5736841,5753263,5756360,5758555,5767662,5777058,5785900,5793159
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,42,42,42,42,42,47,1538,1940,1977,1977,1977,1977,2051,3510,3867,3868,3869,4014,4015,4440,5748,6539,6543,6543,6544,6545,6545,6635,6650,6652,6652,6652,6652,6828,12460,19186,19891,19898,21040,21043,21057,26444,31796,35689,35694,36435,36729,36819,47414,60396,62345,62345,64673,67861,67930,77818,85560,87268,87459,104065,111119,115396,121955,125384,127155,127164,135182,143727,147868,156202,171126,175888,176186,181278,185544,191922,194948,203731,208382,208699,219341,230120,238659,240816,252633,256445,257273,260850,267993,277204,287908,293942,295809,296274,299698,311203,333148,355413,375077,397021,403597,424357,448926,477003,509733,549660,569089,576652,578909,580055,632639,691297,733712,753751,761605,794645,820005,847618,876663,913297,930969,942289,960501,979121,1001096,1034560,1078992,1102872,1115712,1132598,1151328,1185001,1229989,1259111,1270329,1273986,1288031,1301245,1318171,1346455,1362557,1379403,1387648,1409070,1425765,1451898,1496029,1540763,1567082,1585259,1621719,1661534,1696516,1733939,1771968,1791343,1804336,1831948,1863316,1894128,1918299,1948602,1968512,1983183,2002842,2022471,2039232,2067706,2096929,2115810,2127616,2167886,2227340,2304523,2364819,2421414,2463878,2510904,2612934,2736142,2874922,3037168,3238546,3429675,3594872,3598922,3974941,4309296,4578818,4776537,4879776,4944406,5320762,5728292,6111379,6435968,6710639,6901692,7032989,7223294,7448932,7673265,7919350,8183354,8368150,8481218,8659927,8817252,8946212,9072888,9195819,9271642,9327886,9407943,9475904,9530623,9577621,9626101,9635837,9640749,9670730,9702280,9732661,9757569
Población Vacunada,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.26%,0.87%,0.11%,0.11%,0.11%,0.11%,0.11%,0.12%,0.20%,0.22%,0.22%,0.22%,0.23%,0.23%,0.25%,0.32%,0.37%,0.37%,0.37%,0.37%,0.37%,0.37%,0.37%,0.37%,0.37%,0.37%,0.37%,0.37%,0.38%,0.70%,0.11%,0.11%,0.11%,0.12%,0.12%,0.12%,0.15%,0.18%,0.20%,0.20%,0.21%,0.21%,0.21%,0.27%,0.34%,0.35%,0.35%,0.36%,0.38%,0.38%,0.44%,0.48%,0.49%,0.49%,0.59%,0.63%,0.65%,0.69%,0.71%,0.72%,0.72%,0.76%,0.81%,0.83%,0.88%,0.96%,0.99%,0.99%,1.20%,1.50%,1.80%,1.10%,1.15%,1.17%,1.18%,1.24%,1.30%,1.34%,1.36%,1.42%,1.44%,1.45%,1.47%,1.51%,1.56%,1.62%,1.66%,1.67%,1.67%,1.69%,1.75%,1.88%,2.00%,2.11%,2.24%,2.27%,2.39%,2.53%,2.69%,2.87%,3.10%,3.21%,3.25%,3.26%,3.27%,3.56%,3.89%,4.13%,4.25%,4.29%,4.48%,4.62%,4.77%,4.94%,5.14%,5.24%,5.31%,5.41%,5.52%,5.64%,5.83%,6.80%,6.21%,6.29%,6.38%,6.49%,6.68%,6.93%,7.90%,7.16%,7.18%,7.26%,7.33%,7.43%,7.59%,7.68%,7.77%,7.82%,7.94%,8.30%,8.18%,8.43%,8.68%,8.83%,8.93%,9.14%,9.36%,9.56%,9.77%,9.98%,10.90%,10.16%,10.32%,10.50%,10.67%,10.81%,10.98%,11.90%,11.17%,11.28%,11.39%,11.49%,11.65%,11.81%,11.92%,11.99%,12.21%,12.55%,12.98%,13.32%,13.64%,13.88%,14.14%,14.72%,15.41%,16.20%,17.11%,18.24%,19.32%,20.25%,20.27%,22.39%,24.28%,25.79%,26.91%,27.49%,27.85%,29.97%,32.27%,34.43%,36.26%,37.80%,38.88%,39.62%,40.69%,41.96%,43.23%,44.61%,46.10%,47.14%,47.78%,48.78%,49.67%,50.40%,51.11%,51.80%,52.23%,52.55%,53.00%,53.38%,53.69%,53.95%,54.23%,54.28%,54.31%,54.48%,54.66%,54.83%,54.97%
