muestras,muestras_pcr,positivas_total,positivas_probables,muestras_pcr_nuevas,pruebas_rezagadas,muertes_confirmadas,muertes_probables,muertes,muertes_nuevas,positivas,positivas_pcr,positivas_pcr_nuevas,positivas_pcr_mujer,positivas_pcr_hombre,positivas_pcr_hombre_edades_meses,positivas_pcr_hombre_edades_0a4,positivas_pcr_hombre_edades_5a9,positivas_pcr_hombre_edades_10a14,positivas_pcr_hombre_edades_15a19,positivas_pcr_hombre_edades_20a49,positivas_pcr_hombre_edades_50a64,positivas_pcr_hombre_edades_65an,positivas_pcr_mujer_edades_meses,positivas_pcr_mujer_edades_0a4,positivas_pcr_mujer_edades_5a9,positivas_pcr_mujer_edades_10a14,positivas_pcr_mujer_edades_15a19,positivas_pcr_mujer_edades_20a49,positivas_pcr_mujer_edades_50a64,positivas_pcr_mujer_edades_65an,positivas_rapidas,negativas,negativas_pcr,negativas_pcr_nuevas,negativas_rapidas,hospitalizadas_altas,hospitalizadas_estables,hospitalizadas_pronostico_reservadas,msp_hospitalizacion_camas_porcentaje_ocupadas,msp_hospitalizacion_lista_espera,msp_hospitalizacion_camas_asignadas,msp_hospitalizacion_camas_ocupadas,msp_cuidado_intermedio_camas_porcentaje_ocupadas,msp_cuidado_intermedio_lista_espera,msp_cuidado_intermedio_camas_asignadas,msp_cuidado_intermedio_camas_ocupadas,msp_uci_camas_porcentaje_ocupadas,msp_uci_lista_espera,msp_uci_camas_asignadas,msp_uci_camas_ocupadas,rpis_hospitalizacion_camas_porcentaje_ocupadas,rpis_hospitalizacion_lista_espera,rpis_hospitalizacion_camas_asignadas,rpis_hospitalizacion_camas_ocupadas,rpis_cuidado_intermedio_camas_porcentaje_ocupadas,rpis_cuidado_intermedio_lista_espera,rpis_cuidado_intermedio_camas_asignadas,rpis_cuidado_intermedio_camas_ocupadas,rpis_uci_camas_porcentaje_ocupadas,rpis_uci_lista_espera,rpis_uci_camas_asignadas,rpis_uci_camas_ocupadas,rpc_hospitalizacion_camas_porcentaje_ocupadas,rpc_hospitalizacion_lista_espera,rpc_hospitalizacion_camas_asignadas,rpc_hospitalizacion_camas_ocupadas,rpc_cuidado_intermedio_camas_porcentaje_ocupadas,rpc_cuidado_intermedio_lista_espera,rpc_cuidado_intermedio_camas_asignadas,rpc_cuidado_intermedio_camas_ocupadas,rpc_uci_camas_porcentaje_ocupadas,rpc_uci_lista_espera,rpc_uci_camas_asignadas,rpc_uci_camas_ocupadas,created_at
129,129,0,0,0,106,1,0,1,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13/03/2020
206,206,0,0,77,178,2,0,2,1,28,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/03/2020
273,273,0,0,67,236,2,0,2,0,37,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15/03/2020
354,354,0,0,81,296,2,0,2,0,58,58,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/03/2020
762,762,0,0,408,651,2,0,2,0,111,111,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/03/2020
762,762,0,0,0,282,3,0,3,1,168,168,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,312,312,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/03/2020
1153,1153,0,0,391,481,4,0,4,1,260,260,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,412,100,0,3,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/03/2020
1670,1670,0,0,517,711,7,0,7,3,426,426,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,533,121,0,3,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20/03/2020
2051,2051,0,0,381,870,7,0,7,0,532,532,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,649,116,0,3,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21/03/2020
2360,2360,0,0,309,699,14,0,14,7,789,789,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,872,223,0,3,54,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/03/2020
