informacion,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021
Total Muertes,1,2,2,2,2,3,4,7,7,14,18,27,29,34,41,48,58,62,79,174,198,246,318,339,364,402,482,556,608,653,717,779,805,970,1035,1096,1187,1291,1333,1422,1489,1588,1636,1636,1636,1801,2083,2240,2353,2669,2838,2876,2905,2905,3246,3359,3481,3629,3642,3631,3871,3878,3899,4207,4320,4390,4466,4531,4693,4819,4948,5082,5037,5229,5276,5419,5449,5463,5494,5512,5529,5639,5707,5890,5970,6037,6058,6065,6118,6182,6284,6350,6482,6561,6532,6653,6709,6857,6974,7065,7095,7106,7149,7224,7308,7422,7478,7494,7561,7598,7655,7773,7879,7961,7976,8026,8120,8157,8221,8272,8336,8339,8340,8456,8501,8562,8620,8653,8692,8697,8766,8825,8851,8890,8945,8955,8976,9038,9088,9125,9172,9244,9258,9279,9332,9374,9407,9428,9450,9458,9471,9492,9529,9555,9580,9632,9638,9651,9686,9742,9809,9863,9911,9972,9986,10064,10113,10179,10226,10275,10293,10297,10314,10362,10399,10427,10476,10524,10576,10627,10701,10749,10836,10864,10903,10922,10963,10996,11029,11044,11084,11090,11095,11126,11171,11213,11236,11273,11279,11280,11312,11355,11433,11495,11597,11647,11681,11702,11743,12141,12175,12188,12191,12218,12235,12264,12306,12357,12375,12387,12395,12404,12453,12500,12528,12542,12553,12573,12588,12608,12622,12632,12670,12684,12692,12698,12704,12730,12761,12815,12830,12839,12849,12920,12946,12977,12997,13008,13016,13025,13052,13073,13095,13139,13201,13225,13264,13288,13316,13358,13371,13423,13461,13501,13562,13612,13696,13756,13778,13780,13794,13814,13850,13858,13874,13875,13875,13896,13915,13932,13942,13948,13948,13949,13949,13962,13977,13984,13990,13992,13994,14001,14023,14034,14051,14059,14051,14069,14103,14146,14158,14165,14177,14177,14184,14196,14229,14246,14273,14316,14319,14322,14382,14437,14526,14562,14596,14623,14639,14668,14704,14766,14802,14851,14859,14890,14915,14949,14968,14982,15004,15012,15013,15086,15116,15174,15220,15269,15321,15355,15392
Nuevas,0,1,0,0,0,1,1,3,0,7,4,9,2,5,7,7,10,4,17,95,24,48,72,21,25,38,80,74,52,45,64,62,26,165,65,61,91,104,42,89,67,99,48,0,0,165,282,157,113,316,169,38,29,0,341,113,122,148,13,-11,240,7,21,308,113,70,76,65,162,126,129,134,-45,192,47,143,30,14,31,18,17,110,68,183,80,67,21,7,53,64,102,66,132,79,-29,121,56,148,117,91,30,11,43,75,84,114,56,16,67,37,57,118,106,82,15,50,94,37,64,51,64,3,1,116,45,61,58,33,39,5,69,59,26,39,55,10,21,62,50,37,47,72,14,21,53,42,33,21,22,8,13,21,37,26,25,52,6,13,35,56,67,54,48,61,14,78,49,66,47,49,18,4,17,48,37,28,49,48,52,51,74,48,87,28,39,19,41,33,33,15,40,6,5,31,45,42,23,37,6,1,32,43,78,62,102,50,34,21,41,398,34,13,3,27,17,29,42,51,18,12,8,9,49,47,28,14,11,20,15,20,14,10,38,14,8,6,6,26,31,54,15,9,10,71,26,31,20,11,8,9,27,21,22,44,62,24,39,24,28,42,13,52,38,40,61,50,84,60,22,2,14,20,36,8,16,1,0,21,19,17,10,6,0,1,0,13,15,7,6,2,2,7,22,11,17,8,-8,18,34,43,12,7,12,0,7,12,33,17,27,43,3,3,60,55,89,36,34,27,16,29,36,62,36,49,8,31,25,34,19,14,22,8,1,73,30,58,46,49,52,34,37
Muertes,1,2,2,2,2,3,4,7,7,14,18,27,29,34,41,48,58,62,79,98,120,145,172,180,191,220,242,272,297,315,333,355,369,388,403,421,456,474,507,520,537,560,576,576,576,663,871,883,900,1063,1371,1564,1569,1569,1618,1654,1704,1717,2127,2145,2327,2334,2338,2594,2688,2736,2799,2839,2888,2939,3056,3096,3108,3203,3221,3275,3313,3334,3346,3358,3394,3438,3486,3534,3592,3608,3621,3642,3690,3720,3768,3828,3874,3896,3929,3970,4007,4087,4156,4199,4223,4246,4274,4309,4343,4406,4424,4429,4502,4527,4576,4639,4700,4769,4781,4821,4873,4900,4939,4983,5031,5047,5063,5130,5158,5207,5250,5282,5313,5318,5366,5418,5439,5468,5507,5515,5532,5584,5623,5657,5702,5736,5750,5767,5808,5847,5877,5897,5916,5922,5932,5951,5984,6010,6030,6065,6070,6083,6105,6146,6200,6248,6277,6310,6322,6368,6410,6471,6504,6537,6555,6556,6571,6619,6648,6674,6724,6770,6822,6869,6924,6971,7054,7083,7119,7138,7177,7206,7236,7250,7288,7296,7301,7330,7375,7414,7436,7470,7476,7477,7509,7546,7621,7678,7742,7792,7825,7845,7871,7907,7935,7946,7949,7976,7991,8011,8030,8072,8087,8099,8106,8115,8160,8195,8221,8235,8248,8266,8280,8297,8312,8321,8357,8371,8380,8386,8394,8420,8449,8492,8507,8516,8525,8592,8614,8642,8658,8669,8674,8681,8708,8729,8750,8787,8804,8825,8861,8877,8891,8927,8938,8989,9024,9052,9103,9129,9200,9252,9268,9269,9278,9295,9320,9323,9336,9337,9337,9357,9373,9386,9396,9400,9400,9400,9400,9413,9427,9433,9439,9439,9441,9447,9469,9473,9487,9495,9487,9505,9530,9565,9577,9583,9593,9593,9600,9610,9636,9648,9669,9711,9714,9717,9775,9810,9883,9913,9943,9968,9981,10007,10035,10087,10123,10169,10177,10202,10226,10257,10276,10290,10311,10318,10319,10387,10413,10461,10503,10550,10599,10633,10669
Muertes Probables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,78,101,146,159,173,182,240,284,311,338,384,424,436,582,632,675,731,817,826,902,952,1028,1060,1060,1060,1138,1212,1357,1453,1606,1467,1312,1336,1336,1628,1705,1777,1912,1515,1486,1544,1544,1561,1613,1632,1654,1667,1692,1805,1880,1892,1986,1929,2026,2055,2144,2136,2129,2148,2154,2135,2201,2221,2356,2378,2429,2437,2423,2428,2462,2516,2522,2608,2665,2603,2683,2702,2770,2818,2866,2872,2860,2875,2915,2965,3016,3054,3065,3059,3071,3079,3134,3179,3192,3195,3205,3247,3257,3282,3289,3305,3292,3277,3326,3343,3355,3370,3371,3379,3379,3400,3407,3412,3422,3438,3440,3444,3454,3465,3468,3470,3508,3508,3512,3524,3527,3530,3531,3534,3536,3539,3541,3545,3545,3550,3567,3568,3568,3581,3596,3609,3615,3634,3662,3664,3696,3703,3708,3722,3738,3738,3741,3743,3743,3751,3753,3752,3754,3754,3758,3777,3778,3782,3781,3784,3784,3786,3790,3793,3794,3796,3794,3794,3796,3796,3799,3800,3803,3803,3803,3803,3809,3812,3817,3855,3855,3856,3857,3872,4234,4240,4242,4242,4242,4244,4253,4276,4285,4288,4288,4289,4289,4293,4305,4307,4307,4305,4307,4308,4311,4310,4311,4313,4313,4312,4312,4310,4310,4312,4323,4323,4323,4324,4328,4332,4335,4339,4339,4342,4344,4344,4344,4345,4352,4397,4400,4403,4411,4425,4431,4433,4434,4437,4449,4459,4483,4496,4504,4510,4511,4516,4519,4530,4535,4538,4538,4538,4539,4542,4546,4546,4548,4548,4549,4549,4549,4550,4551,4551,4553,4553,4554,4554,4561,4564,4564,4564,4564,4573,4581,4581,4582,4584,4584,4584,4586,4593,4598,4604,4605,4605,4605,4607,4627,4643,4649,4653,4655,4658,4661,4669,4679,4679,4682,4682,4688,4689,4692,4692,4692,4693,4694,4694,4699,4703,4713,4717,4719,4722,4722,4723
