provincia,total,acumuladas,lat,lng,semana
Azuay,87,87,-2.897414000000000,-79.00448100000000,1
Bolívar,21,21,-1.605556000000000,-79.00305600000000,1
Carchi,17,17,0.8121800000000000,-77.71633000000000,1
Cañar,16,16,-2.733333000000000,-78.83333300000000,1
Chimborazo,54,54,-1.674347000000000,-78.64829400000001,1
Cotopaxi,45,45,-0.9333330000000000,-78.61666700000001,1
El Oro,81,81,-3.266667000000000,-79.96666700000000,1
Esmeraldas,31,31,1.050000000000000,-79.20000000000000,1
Galápagos,2,2,-0.7999999999999999,-89.40000000000001,1
Guayas,424,424,-2.183333000000000,-79.88333299999999,1
Imbabura,35,35,0.3626780000000000,-78.13066700000000,1
Loja,50,50,-3.983333000000000,-79.20000000000000,1
Los Ríos,63,63,-1.800000000000000,-79.53333300000000,1
Manabí,117,117,-1.056181000000000,-80.45521700000000,1
Morona Santiago,9,9,-2.300000000000000,-78.11666700000001,1
Napo,6,6,-0.9890000000000000,-77.81590000000000,1
Orellana,4,4,-0.4666670000000000,-76.96666700000000,1
Otro,0,0,0,0,1
Pastaza,4,4,-1.066667000000000,-78.00111099999999,1
Pichincha,294,294,-0.2186110000000000,-78.50972200000000,1
Santa Elena,28,28,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,41,41,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,13,13,0.08472200000000002,-76.88277800000000,1
Tungurahua,51,51,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,3,3,-4.120000000000000,-78.80000000000000,1
Azuay,67,154,-2.897414000000000,-79.00448100000000,2
Bolívar,24,45,-1.605556000000000,-79.00305600000000,2
Carchi,9,26,0.8121800000000000,-77.71633000000000,2
Cañar,21,37,-2.733333000000000,-78.83333300000000,2
Chimborazo,59,113,-1.674347000000000,-78.64829400000001,2
Cotopaxi,41,86,-0.9333330000000000,-78.61666700000001,2
El Oro,53,134,-3.266667000000000,-79.96666700000000,2
Esmeraldas,43,74,1.050000000000000,-79.20000000000000,2
Galápagos,1,3,-0.7999999999999999,-89.40000000000001,2
Guayas,413,837,-2.183333000000000,-79.88333299999999,2
Imbabura,35,70,0.3626780000000000,-78.13066700000000,2
Loja,49,99,-3.983333000000000,-79.20000000000000,2
Los Ríos,68,131,-1.800000000000000,-79.53333300000000,2
Manabí,127,244,-1.056181000000000,-80.45521700000000,2
Morona Santiago,12,21,-2.300000000000000,-78.11666700000001,2
Napo,9,15,-0.9890000000000000,-77.81590000000000,2
Orellana,8,12,-0.4666670000000000,-76.96666700000000,2
Otro,0,0,0,0,2
Pastaza,11,15,-1.066667000000000,-78.00111099999999,2
Pichincha,300,594,-0.2186110000000000,-78.50972200000000,2
Santa Elena,27,55,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,43,84,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,9,22,0.08472200000000002,-76.88277800000000,2
Tungurahua,62,113,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,3,6,-4.120000000000000,-78.80000000000000,2
Azuay,81,235,-2.897414000000000,-79.00448100000000,3
Bolívar,17,62,-1.605556000000000,-79.00305600000000,3
Carchi,10,36,0.8121800000000000,-77.71633000000000,3
