provincia,total,acumuladas,lat,lng,mes
Azuay,360,360,-2.897414000000000,-79.00448100000000,1
Bolívar,91,91,-1.605556000000000,-79.00305600000000,1
Carchi,56,56,0.8121800000000000,-77.71633000000000,1
Cañar,93,93,-2.733333000000000,-78.83333300000000,1
Chimborazo,225,225,-1.674347000000000,-78.64829400000001,1
Cotopaxi,188,188,-0.9333330000000000,-78.61666700000001,1
El Oro,277,277,-3.266667000000000,-79.96666700000000,1
Esmeraldas,160,160,1.050000000000000,-79.20000000000000,1
Galápagos,3,3,-0.7999999999999999,-89.40000000000001,1
Guayas,1824,1824,-2.183333000000000,-79.88333299999999,1
Imbabura,162,162,0.3626780000000000,-78.13066700000000,1
Loja,239,239,-3.983333000000000,-79.20000000000000,1
Los Ríos,312,312,-1.800000000000000,-79.53333300000000,1
Manabí,533,533,-1.056181000000000,-80.45521700000000,1
Morona Santiago,56,56,-2.300000000000000,-78.11666700000001,1
Napo,34,34,-0.9890000000000000,-77.81590000000000,1
Orellana,40,40,-0.4666670000000000,-76.96666700000000,1
Otro,0,0,0,0,1
Pastaza,30,30,-1.066667000000000,-78.00111099999999,1
Pichincha,1343,1343,-0.2186110000000000,-78.50972200000000,1
Santa Elena,105,105,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,192,192,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,52,52,0.08472200000000002,-76.88277800000000,1
Tungurahua,284,284,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,21,21,-4.120000000000000,-78.80000000000000,1
Azuay,323,683,-2.897414000000000,-79.00448100000000,2
Bolívar,75,166,-1.605556000000000,-79.00305600000000,2
Carchi,62,118,0.8121800000000000,-77.71633000000000,2
Cañar,80,173,-2.733333000000000,-78.83333300000000,2
Chimborazo,213,438,-1.674347000000000,-78.64829400000001,2
Cotopaxi,152,340,-0.9333330000000000,-78.61666700000001,2
El Oro,242,519,-3.266667000000000,-79.96666700000000,2
Esmeraldas,141,301,1.050000000000000,-79.20000000000000,2
Galápagos,3,6,-0.7999999999999999,-89.40000000000001,2
Guayas,1545,3369,-2.183333000000000,-79.88333299999999,2
Imbabura,135,297,0.3626780000000000,-78.13066700000000,2
Loja,223,462,-3.983333000000000,-79.20000000000000,2
Los Ríos,306,618,-1.800000000000000,-79.53333300000000,2
Manabí,504,1037,-1.056181000000000,-80.45521700000000,2
Morona Santiago,51,107,-2.300000000000000,-78.11666700000001,2
Napo,21,55,-0.9890000000000000,-77.81590000000000,2
Orellana,31,71,-0.4666670000000000,-76.96666700000000,2
Otro,0,0,0,0,2
Pastaza,22,52,-1.066667000000000,-78.00111099999999,2
Pichincha,1017,2360,-0.2186110000000000,-78.50972200000000,2
Santa Elena,105,210,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,173,365,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,48,100,0.08472200000000002,-76.88277800000000,2
Tungurahua,246,530,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,17,38,-4.120000000000000,-78.80000000000000,2
Azuay,347,1030,-2.897414000000000,-79.00448100000000,3
Bolívar,76,242,-1.605556000000000,-79.00305600000000,3
Carchi,57,175,0.8121800000000000,-77.71633000000000,3
Cañar,88,261,-2.733333000000000,-78.83333300000000,3
Chimborazo,186,624,-1.674347000000000,-78.64829400000001,3
Cotopaxi,137,477,-0.9333330000000000,-78.61666700000001,3
El Oro,247,766,-3.266667000000000,-79.96666700000000,3
Esmeraldas,122,423,1.050000000000000,-79.20000000000000,3
Galápagos,3,9,-0.7999999999999999,-89.40000000000001,3
Guayas,1787,5156,-2.183333000000000,-79.88333299999999,3
Imbabura,178,475,0.3626780000000000,-78.13066700000000,3
Loja,196,658,-3.983333000000000,-79.20000000000000,3
Los Ríos,336,954,-1.800000000000000,-79.53333300000000,3
Manabí,563,1600,-1.056181000000000,-80.45521700000000,3
Morona Santiago,35,142,-2.300000000000000,-78.11666700000001,3
Napo,29,84,-0.9890000000000000,-77.81590000000000,3
Orellana,36,107,-0.4666670000000000,-76.96666700000000,3
Otro,0,0,0,0,3
Pastaza,25,77,-1.066667000000000,-78.00111099999999,3
Pichincha,1018,3378,-0.2186110000000000,-78.50972200000000,3
Santa Elena,119,329,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,169,534,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,46,146,0.08472200000000002,-76.88277800000000,3
Tungurahua,220,750,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,17,55,-4.120000000000000,-78.80000000000000,3
Azuay,343,1373,-2.897414000000000,-79.00448100000000,4
Bolívar,73,315,-1.605556000000000,-79.00305600000000,4
Carchi,49,224,0.8121800000000000,-77.71633000000000,4
Cañar,75,336,-2.733333000000000,-78.83333300000000,4
Chimborazo,205,829,-1.674347000000000,-78.64829400000001,4
Cotopaxi,150,627,-0.9333330000000000,-78.61666700000001,4
El Oro,221,987,-3.266667000000000,-79.96666700000000,4
Esmeraldas,128,551,1.050000000000000,-79.20000000000000,4
Galápagos,4,13,-0.7999999999999999,-89.40000000000001,4
Guayas,1700,6856,-2.183333000000000,-79.88333299999999,4
Imbabura,170,645,0.3626780000000000,-78.13066700000000,4
Loja,199,857,-3.983333000000000,-79.20000000000000,4
Los Ríos,291,1245,-1.800000000000000,-79.53333300000000,4
Manabí,492,2092,-1.056181000000000,-80.45521700000000,4
Morona Santiago,41,183,-2.300000000000000,-78.11666700000001,4
Napo,22,106,-0.9890000000000000,-77.81590000000000,4
Orellana,35,142,-0.4666670000000000,-76.96666700000000,4
Otro,0,0,0,0,4
Pastaza,29,106,-1.066667000000000,-78.00111099999999,4
Pichincha,1023,4401,-0.2186110000000000,-78.50972200000000,4
Santa Elena,99,428,-2.226700000000000,-80.85830000000000,4
Sto. Domingo Tsáchilas,167,701,-0.2541670000000000,-79.17194400000000,4
Sucumbíos,49,195,0.08472200000000002,-76.88277800000000,4
Tungurahua,175,925,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,22,77,-4.120000000000000,-78.80000000000000,4
Azuay,327,1700,-2.897414000000000,-79.00448100000000,5
Bolívar,65,380,-1.605556000000000,-79.00305600000000,5
Carchi,58,282,0.8121800000000000,-77.71633000000000,5
Cañar,78,414,-2.733333000000000,-78.83333300000000,5
Chimborazo,177,1006,-1.674347000000000,-78.64829400000001,5
Cotopaxi,149,776,-0.9333330000000000,-78.61666700000001,5
El Oro,241,1228,-3.266667000000000,-79.96666700000000,5
Esmeraldas,109,660,1.050000000000000,-79.20000000000000,5
Galápagos,6,19,-0.7999999999999999,-89.40000000000001,5
Guayas,1653,8509,-2.183333000000000,-79.88333299999999,5
Imbabura,169,814,0.3626780000000000,-78.13066700000000,5
Loja,204,1061,-3.983333000000000,-79.20000000000000,5
Los Ríos,287,1532,-1.800000000000000,-79.53333300000000,5
Manabí,496,2588,-1.056181000000000,-80.45521700000000,5
Morona Santiago,35,218,-2.300000000000000,-78.11666700000001,5
Napo,31,137,-0.9890000000000000,-77.81590000000000,5
Orellana,38,180,-0.4666670000000000,-76.96666700000000,5
Otro,0,0,0,0,5
Pastaza,17,123,-1.066667000000000,-78.00111099999999,5
Pichincha,1143,5544,-0.2186110000000000,-78.50972200000000,5
