inec_provincia_id,provincia,total,acumuladas,lat,lng,created_at
01,Azuay,13,13,-2.897414000000000,-79.00448100000000,01/01/2018
02,Bolívar,3,3,-1.605556000000000,-79.00305600000000,01/01/2018
04,Carchi,3,3,0.8121800000000000,-77.71633000000000,01/01/2018
03,Cañar,0,0,-2.733333000000000,-78.83333300000000,01/01/2018
06,Chimborazo,11,11,-1.674347000000000,-78.64829400000001,01/01/2018
05,Cotopaxi,13,13,-0.9333330000000000,-78.61666700000001,01/01/2018
07,El Oro,7,7,-3.266667000000000,-79.96666700000000,01/01/2018
08,Esmeraldas,4,4,1.050000000000000,-79.20000000000000,01/01/2018
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,01/01/2018
09,Guayas,73,73,-2.183333000000000,-79.88333299999999,01/01/2018
10,Imbabura,4,4,0.3626780000000000,-78.13066700000000,01/01/2018
11,Loja,8,8,-3.983333000000000,-79.20000000000000,01/01/2018
12,Los Ríos,13,13,-1.800000000000000,-79.53333300000000,01/01/2018
13,Manabí,28,28,-1.056181000000000,-80.45521700000000,01/01/2018
14,Morona Santiago,4,4,-2.300000000000000,-78.11666700000001,01/01/2018
15,Napo,1,1,-0.9890000000000000,-77.81590000000000,01/01/2018
22,Orellana,1,1,-0.4666670000000000,-76.96666700000000,01/01/2018
88,Otro,0,0,0,0,01/01/2018
16,Pastaza,0,0,-1.066667000000000,-78.00111099999999,01/01/2018
17,Pichincha,33,33,-0.2186110000000000,-78.50972200000000,01/01/2018
24,Santa Elena,2,2,-2.226700000000000,-80.85830000000000,01/01/2018
23,Sto. Domingo Tsáchilas,3,3,-0.2541670000000000,-79.17194400000000,01/01/2018
21,Sucumbíos,3,3,0.08472200000000002,-76.88277800000000,01/01/2018
18,Tungurahua,8,8,-1.241667000000000,-78.61972200000000,01/01/2018
19,Zamora Chinchipe,0,0,-4.120000000000000,-78.80000000000000,01/01/2018
01,Azuay,10,23,-2.897414000000000,-79.00448100000000,02/01/2018
02,Bolívar,1,4,-1.605556000000000,-79.00305600000000,02/01/2018
04,Carchi,2,5,0.8121800000000000,-77.71633000000000,02/01/2018
03,Cañar,4,4,-2.733333000000000,-78.83333300000000,02/01/2018
06,Chimborazo,2,13,-1.674347000000000,-78.64829400000001,02/01/2018
05,Cotopaxi,5,18,-0.9333330000000000,-78.61666700000001,02/01/2018
07,El Oro,16,23,-3.266667000000000,-79.96666700000000,02/01/2018
08,Esmeraldas,7,11,1.050000000000000,-79.20000000000000,02/01/2018
20,Galápagos,1,1,-0.7999999999999999,-89.40000000000001,02/01/2018
09,Guayas,66,139,-2.183333000000000,-79.88333299999999,02/01/2018
10,Imbabura,4,8,0.3626780000000000,-78.13066700000000,02/01/2018
11,Loja,8,16,-3.983333000000000,-79.20000000000000,02/01/2018
12,Los Ríos,6,19,-1.800000000000000,-79.53333300000000,02/01/2018
13,Manabí,24,52,-1.056181000000000,-80.45521700000000,02/01/2018
14,Morona Santiago,1,5,-2.300000000000000,-78.11666700000001,02/01/2018
15,Napo,1,2,-0.9890000000000000,-77.81590000000000,02/01/2018
22,Orellana,0,1,-0.4666670000000000,-76.96666700000000,02/01/2018
88,Otro,0,0,0,0,02/01/2018
16,Pastaza,1,1,-1.066667000000000,-78.00111099999999,02/01/2018
17,Pichincha,42,75,-0.2186110000000000,-78.50972200000000,02/01/2018
24,Santa Elena,3,5,-2.226700000000000,-80.85830000000000,02/01/2018
23,Sto. Domingo Tsáchilas,7,10,-0.2541670000000000,-79.17194400000000,02/01/2018
