inec_provincia_id,provincia,total,acumuladas,lat,lng,mes
01,Azuay,360,360,-2.897414000000000,-79.00448100000000,1
02,Bolívar,91,91,-1.605556000000000,-79.00305600000000,1
04,Carchi,56,56,0.8121800000000000,-77.71633000000000,1
03,Cañar,93,93,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,225,225,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,188,188,-0.9333330000000000,-78.61666700000001,1
07,El Oro,277,277,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,160,160,1.050000000000000,-79.20000000000000,1
20,Galápagos,3,3,-0.7999999999999999,-89.40000000000001,1
09,Guayas,1824,1824,-2.183333000000000,-79.88333299999999,1
10,Imbabura,162,162,0.3626780000000000,-78.13066700000000,1
11,Loja,239,239,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,312,312,-1.800000000000000,-79.53333300000000,1
13,Manabí,533,533,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,56,56,-2.300000000000000,-78.11666700000001,1
15,Napo,34,34,-0.9890000000000000,-77.81590000000000,1
22,Orellana,40,40,-0.4666670000000000,-76.96666700000000,1
88,Otro,0,0,0,0,1
16,Pastaza,30,30,-1.066667000000000,-78.00111099999999,1
17,Pichincha,1343,1343,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,105,105,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,192,192,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,52,52,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,284,284,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,21,21,-4.120000000000000,-78.80000000000000,1
01,Azuay,323,683,-2.897414000000000,-79.00448100000000,2
02,Bolívar,75,166,-1.605556000000000,-79.00305600000000,2
04,Carchi,62,118,0.8121800000000000,-77.71633000000000,2
03,Cañar,80,173,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,213,438,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,152,340,-0.9333330000000000,-78.61666700000001,2
07,El Oro,242,519,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,141,301,1.050000000000000,-79.20000000000000,2
20,Galápagos,3,6,-0.7999999999999999,-89.40000000000001,2
09,Guayas,1545,3369,-2.183333000000000,-79.88333299999999,2
10,Imbabura,135,297,0.3626780000000000,-78.13066700000000,2
11,Loja,223,462,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,306,618,-1.800000000000000,-79.53333300000000,2
13,Manabí,504,1037,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,51,107,-2.300000000000000,-78.11666700000001,2
15,Napo,21,55,-0.9890000000000000,-77.81590000000000,2
22,Orellana,31,71,-0.4666670000000000,-76.96666700000000,2
88,Otro,0,0,0,0,2
16,Pastaza,22,52,-1.066667000000000,-78.00111099999999,2
17,Pichincha,1017,2360,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,105,210,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,173,365,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,48,100,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,246,530,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,17,38,-4.120000000000000,-78.80000000000000,2
01,Azuay,347,1030,-2.897414000000000,-79.00448100000000,3
02,Bolívar,76,242,-1.605556000000000,-79.00305600000000,3
04,Carchi,57,175,0.8121800000000000,-77.71633000000000,3
03,Cañar,88,261,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,186,624,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,137,477,-0.9333330000000000,-78.61666700000001,3
07,El Oro,247,766,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,122,423,1.050000000000000,-79.20000000000000,3
20,Galápagos,3,9,-0.7999999999999999,-89.40000000000001,3
09,Guayas,1787,5156,-2.183333000000000,-79.88333299999999,3
10,Imbabura,178,475,0.3626780000000000,-78.13066700000000,3
11,Loja,196,658,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,336,954,-1.800000000000000,-79.53333300000000,3
13,Manabí,563,1600,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,35,142,-2.300000000000000,-78.11666700000001,3
15,Napo,29,84,-0.9890000000000000,-77.81590000000000,3
22,Orellana,36,107,-0.4666670000000000,-76.96666700000000,3
88,Otro,0,0,0,0,3
16,Pastaza,25,77,-1.066667000000000,-78.00111099999999,3
17,Pichincha,1018,3378,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,119,329,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,169,534,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,46,146,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,220,750,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,17,55,-4.120000000000000,-78.80000000000000,3
01,Azuay,343,1373,-2.897414000000000,-79.00448100000000,4
02,Bolívar,73,315,-1.605556000000000,-79.00305600000000,4
04,Carchi,49,224,0.8121800000000000,-77.71633000000000,4
03,Cañar,75,336,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,205,829,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,150,627,-0.9333330000000000,-78.61666700000001,4
07,El Oro,221,987,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,128,551,1.050000000000000,-79.20000000000000,4
20,Galápagos,4,13,-0.7999999999999999,-89.40000000000001,4
09,Guayas,1700,6856,-2.183333000000000,-79.88333299999999,4
