inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,881394,-2.897414000000000,-79.00448100000000,395,968,1568,2229,2566,2952,3296,3598,4017,4353,4634,4968,5353,5830,6372,6911,7543,8047,8509,8936,9319,9669,10078,10522,10989,11441,11924,12270,12644,12813,13447,13634,13870,14099,14301,14418,14525,14624,14779,14860,14913,15047,15168,15253,15374,15468,15548,15665,15814,15947,16051,16235
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,57,156,318,498,637,802,979,1294,1556,1766,2051,2325,2711,2897,3096,3270,3429,3594,3706,3822,3928,3995,4066,4112,4156,4181,4226,4271,4302,4314,4383,4409,4421,4449,4465,4475,4489,4502,4514,4520,4551,4561,4614,4640,4687,4716,4804,4900,4962,5016,5063,5173
04,Carchi,186869,0.8121800000000000,-77.71633000000000,147,462,1006,1361,1539,1684,1763,2001,2124,2196,2268,2346,2484,2617,2792,3047,3364,3563,3806,3989,4217,4395,4497,4646,4759,4976,5163,5368,5530,5657,5886,5961,6007,6038,6094,6110,6116,6129,6144,6150,6190,6208,6218,6228,6243,6293,6311,6322,6333,6339,6357,6390
03,Cañar,281396,-2.733333000000000,-78.83333300000000,55,215,422,611,740,856,928,1020,1144,1269,1403,1513,1669,1826,1982,2135,2316,2433,2556,2632,2709,2790,2866,2953,3027,3092,3206,3274,3380,3401,3471,3503,3535,3568,3601,3615,3645,3662,3685,3703,3713,3725,3749,3761,3778,3793,3812,3838,3878,3930,3987,4212
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,218,528,787,1006,1151,1302,1447,1710,1929,2155,2349,2523,2781,2990,3219,3498,3816,4026,4214,4408,4556,4698,4821,4975,5120,5255,5341,5496,5576,5600,5728,5764,5805,5835,5852,5865,5874,5881,5897,5906,5923,5941,5955,5968,6004,6036,6132,6161,6222,6272,6324,6481
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,220,688,1077,1402,1668,1885,2022,2367,2572,2725,2891,3106,3401,3624,3941,4288,4611,4818,4988,5205,5324,5434,5524,5615,5693,5797,5854,5988,6037,6082,6175,6210,6240,6261,6309,6321,6342,6358,6384,6396,6412,6439,6447,6470,6500,6546,6579,6638,6722,6803,6927,7200
07,El Oro,715751,-3.266667000000000,-79.96666700000000,434,1028,1573,2059,2541,3162,3630,4187,4863,5387,5860,6417,7153,7904,8599,9348,10069,10845,11351,11785,12090,12305,12566,12740,13018,13296,13589,13797,14079,14198,14648,14810,14949,15056,15131,15169,15201,15237,15301,15328,15348,15418,15474,15549,15652,15776,15986,16192,16412,16672,16966,17510
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,70,175,301,393,519,674,810,1017,1180,1421,1614,1784,2052,2250,2412,2598,2803,2908,3043,3138,3251,3369,3467,3519,3668,3823,4018,4181,4265,4320,4474,4532,4624,4638,4725,4748,4756,4793,4795,4803,4820,4824,4842,4852,4875,4935,4963,5009,5065,5145,5245,5348
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,67,216,288,325,348,362,368,387,395,400,408,419,431,440,453,462,469,496,511,515,519,521,531,538,542,546,547,550,551,551,555,557,559,562,563,564,567,567,570,571,574,576,579,580,581,583,590,592,594,598,602,633
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,1108,2273,3219,4210,5000,6130,7163,8721,9827,10940,13069,14420,16077,17739,19620,21376,22836,26125,27519,28677,29692,30680,31817,34390,36599,37930,38782,39386,39786,39921,40684,40927,41456,41927,42225,42457,42728,42948,43380,43555,43707,43851,43983,44160,44436,44805,45166,45597,46246,47029,48727,51701
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,202,662,1042,1389,1764,2034,2163,2484,2729,2959,3105,3370,3666,3985,4516,5088,5855,6344,6843,7231,7636,7912,8190,8435,8777,9101,9389,9695,9906,10054,10450,10569,10936,11014,11121,11158,11186,11251,11299,11333,11414,11461,11516,11536,11571,11729,11760,11798,11841,11896,11976,12141
11,Loja,521154,-3.983333000000000,-79.20000000000000,166,581,947,1395,1618,1944,2310,2676,3007,3389,3909,4503,5264,5840,6396,6849,7344,7693,7928,8156,8478,8670,8899,9127,9258,9457,9639,9736,9936,9989,10207,10325,10368,10392,10466,10489,10511,10547,10571,10583,10600,10621,10641,10660,10695,10730,10792,10860,10945,11021,11136,11408
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,175,451,758,1104,1366,1702,2098,2624,3063,3381,3886,4261,4637,5021,5516,5889,6222,6685,6944,7103,7247,7331,7436,7538,7626,7729,7816,7885,7920,7924,8012,8027,8064,8088,8112,8127,8154,8168,8176,8184,8201,8219,8234,8258,8296,8330,8367,8441,8521,8606,8719,8903
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,497,1205,1784,2459,2943,3765,4291,5397,6663,7662,8700,9618,10417,11390,12439,13216,13869,14586,14981,15354,15635,15962,16254,16524,16729,17033,17287,17396,17539,17577,17827,17898,18022,18104,18208,18274,18352,18421,18461,18491,18570,18698,18810,18969,19218,19543,19839,20077,20396,20724,21311,22231
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,107,281,390,477,514,582,611,663,726,788,847,900,1024,1144,1324,1466,1609,1700,1799,1881,1967,2054,2107,2210,2277,2414,2555,2667,2731,2787,2935,2970,3010,3053,3063,3077,3092,3101,3117,3131,3144,3168,3207,3215,3247,3272,3347,3428,3585,3627,3686,3779
15,Napo,133705,-0.9890000000000000,-77.81590000000000,56,131,194,259,281,367,418,492,551,583,607,726,797,848,912,985,1188,1291,1361,1446,1507,1604,1660,1727,1798,1878,1966,2047,2072,2093,2128,2151,2183,2198,2208,2217,2229,2245,2283,2298,2310,2334,2400,2431,2524,2566,2611,2653,2744,2815,2868,2955
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,13,39,48,80,102,165,180,205,230,256,319,372,426,484,602,697,842,894,963,1034,1092,1141,1196,1248,1300,1358,1413,1444,1466,1468,1484,1497,1511,1527,1533,1537,1546,1563,1581,1595,1607,1631,1700,1722,1793,1868,1924,1976,2028,2058,2085,2110
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,14,45,85,105,125,151,160,220,248,275,305,319,336,362,390,499,579,619,665,695,750,790,813,842,867,898,954,1033,1060,1078,1117,1137,1153,1182,1188,1213,1215,1221,1224,1225,1234,1239,1259,1294,1374,1395,1425,1438,1452,1465,1486,1524
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1885,5252,8451,11778,14447,17773,20624,24602,26444,28496,31780,37080,40641,44447,49850,54746,60558,65015,69157,72807,75435,78046,80653,82962,85977,89380,91703,96119,98240,100040,104215,105652,107255,108327,109645,110339,111233,112081,113386,113955,114843,115951,116644,118017,118857,119624,120238,120858,122404,123446,124846,127631
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,83,250,308,374,409,468,588,694,773,796,936,1004,1039,1122,1293,1397,1446,1534,1593,1614,1642,1656,1673,1704,1718,1737,1760,1768,1775,1777,1808,1812,1824,1828,1834,1837,1865,1869,1874,1878,1882,1898,1904,1907,1914,1920,1926,1933,1963,1982,2009,2059
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,145,423,680,854,1107,1233,1418,1889,2268,2560,2841,3154,3457,3700,3992,4234,4578,4720,4838,5115,5258,5364,5448,5527,5612,5725,5787,5894,5944,5987,6086,6118,6152,6172,6219,6243,6269,6308,6326,6340,6404,6421,6437,6469,6511,6600,6680,6755,6895,7012,7098,7363
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,28,60,151,209,246,280,311,395,474,548,687,856,1031,1189,1363,1556,1748,1877,1966,2058,2137,2195,2254,2316,2373,2412,2488,2574,2632,2656,2779,2819,2867,2892,2931,2943,2958,2969,2983,3002,3027,3051,3085,3097,3173,3253,3332,3459,3554,3648,3733,3826
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,298,733,1197,1516,1892,2159,2277,2638,2809,2959,3094,3369,3599,3804,4033,4263,4584,4824,5216,5548,5729,6014,6325,6457,6623,6809,7050,7329,7436,7528,7746,7836,7907,7967,8070,8112,8178,8235,8249,8262,8305,8361,8391,8418,8453,8512,8578,8640,8735,8805,8937,9315
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,16,46,84,121,145,177,204,260,297,343,421,515,621,750,820,930,1007,1045,1058,1088,1109,1144,1179,1200,1216,1260,1275,1283,1299,1304,1325,1333,1346,1349,1354,1356,1358,1361,1361,1361,1370,1375,1391,1414,1422,1446,1476,1505,1532,1562,1588,1612
