provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,7,10,15,18,22,27,30,36,44,50,55,59
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,4,8,12,14,17,19,23,24,27,33,35,41
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,262,485,735,997,1232,1479,1708,1933,2148,2388,2617,2835
Azuay,El Pan,-2.786111000000000,-78.66500000000001,0,0,1,2,3,4,7,7,7,11,12,14
Azuay,Girón,-3.159028000000000,-79.14756800000001,7,9,11,21,26,33,40,49,53,58,64,67
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,1,2,4,4,4,4,4,4,4,4,4,4
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,14,36,45,58,68,80,96,115,133,148,166,176
Azuay,Nabón,-3.336060000000000,-79.06368000000001,5,8,10,13,19,21,25,33,42,47,52,57
Azuay,Oña,-3.469640000000000,-79.15431000000000,1,1,5,8,10,10,11,12,13,13,15,15
Azuay,Paute,-2.781800000000000,-78.76000000000001,10,18,32,39,46,56,67,75,80,88,98,106
Azuay,Pucará,-3.233780000000000,-79.46120000000001,3,10,14,17,21,26,27,29,34,38,41,43
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,1,3,7,8,10,12,17,17,19,21,22,24
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,4,10,23,25,29,32,36,44,49,57,59,65
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,1,2,5,7,9,10,12,13,16,19,21,23
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,7,17,29,34,39,48,59,71,84,91,103,111
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,3,7,12,13,16,21,23,25,29,32,36,40
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,7,15,25,30,35,43,45,47,55,63,67,74
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,3,9,14,18,26,30,36,44,52,55,57,59
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,2,7,11,12,14,20,21,28,33,38,42,47
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,25,73,107,149,185,210,256,283,323,354,386,421
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,0,2,3,4,5,8,9,10,13,16,19,19
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,17,22,34,45,55,67,76,92,103,114,123,135
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,5,6,10,13,18,21,26,33,34,37,39,44
Carchi,Espejo,0.6210000000000000,-77.94000000000000,6,9,13,17,22,31,33,39,41,45,47,51
