provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,-2.897414000000000,-79.00448100000000,327,619,948,1265,1555,1861,2162,2462,2753,3066,3364,3640
Bolívar,-1.605556000000000,-79.00305600000000,57,135,206,271,336,399,466,529,608,672,730,795
Carchi,0.8121800000000000,-77.71633000000000,63,105,165,210,266,330,387,438,482,537,591,647
Cañar,-2.733333000000000,-78.83333300000000,87,161,246,330,417,494,577,657,758,839,908,984
Chimborazo,-1.674347000000000,-78.64829400000001,156,343,549,743,937,1121,1300,1481,1658,1827,2007,2190
Cotopaxi,-0.9333330000000000,-78.61666700000001,164,288,419,544,687,818,954,1109,1253,1366,1487,1623
El Oro,-3.266667000000000,-79.96666700000000,222,430,675,902,1133,1344,1576,1782,1980,2205,2403,2600
Esmeraldas,1.050000000000000,-79.20000000000000,132,244,366,510,660,780,919,1051,1162,1292,1416,1526
Galápagos,-0.8000000000000000,-89.40000000000001,1,2,4,6,9,14,17,25,29,34,35,39
Guayas,-2.183333000000000,-79.88333299999999,1555,2998,4594,6226,8023,9752,11297,12851,14379,15904,17426,18987
Imbabura,0.3626780000000000,-78.13066700000000,163,297,464,604,751,877,1031,1184,1339,1491,1635,1775
Loja,-3.983333000000000,-79.20000000000000,225,390,568,732,917,1098,1268,1436,1608,1807,1954,2109
Los Ríos,-1.800000000000000,-79.53333300000000,280,507,760,1008,1271,1518,1791,2075,2301,2583,2825,3100
Manabí,-1.056181000000000,-80.45521700000000,475,915,1433,1986,2592,3128,3624,4104,4565,5032,5473,5906
Morona Santiago,-2.300000000000000,-78.11666700000001,33,58,88,127,165,201,238,270,310,352,385,416
Napo,-0.9890000000000000,-77.81590000000000,27,45,73,101,138,169,201,229,263,286,317,335
Orellana,-0.4666670000000000,-76.96666700000000,31,56,86,112,150,177,211,239,268,306,340,379
Otro,0,0,1,2,4,4,7,7,9,11,12,13,14,14
Pastaza,-1.066667000000000,-78.00111099999999,22,42,58,75,100,119,136,164,186,204,222,241
Pichincha,-0.2186110000000000,-78.50972200000000,963,1835,2793,3775,4723,5674,6623,7585,8394,9367,10285,11227
Santa Elena,-2.226700000000000,-80.85830000000000,108,188,303,414,534,647,747,839,922,1043,1121,1208
Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,139,278,416,554,709,844,1009,1175,1330,1472,1610,1740
Sucumbíos,0.08472200000000001,-76.88277800000000,42,80,117,154,203,244,287,343,383,431,472,503
Tungurahua,-1.241667000000000,-78.61972200000000,212,423,625,830,1041,1265,1503,1746,1959,2176,2379,2581
Zamora Chinchipe,-4.120000000000000,-78.80000000000000,22,39,61,74,99,124,146,165,180,192,212,225
