provincia,poblacion,lat,lng,Jan-2015,Feb-2015,Mar-2015,Apr-2015,May-2015,Jun-2015,Jul-2015,Aug-2015,Sep-2015,Oct-2015,Nov-2015,Dec-2015
Azuay,881394,-2.897414000000000,-79.00448100000000,306,276,287,289,269,281,279,264,262,297,260,257
Bolívar,209933,-1.605556000000000,-79.00305600000000,74,92,95,84,84,82,85,75,100,86,72,84
Carchi,186869,0.8121800000000000,-77.71633000000000,71,52,61,56,69,71,63,56,50,67,73,66
Cañar,281396,-2.733333000000000,-78.83333300000000,109,81,96,99,99,87,96,93,109,91,87,88
Chimborazo,524004,-1.674347000000000,-78.64829400000001,165,193,223,199,203,199,190,190,193,187,191,188
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,192,144,149,149,158,158,154,177,158,138,137,143
El Oro,715751,-3.266667000000000,-79.96666700000000,232,226,262,236,242,225,246,222,212,234,218,211
Esmeraldas,591083,1.050000000000000,-79.20000000000000,141,130,135,169,175,140,164,148,124,153,145,131
Galápagos,33042,-0.7999999999999999,-89.40000000000001,2,1,2,3,4,3,3,8,3,6,1,5
Guayas,4387434,-2.183333000000000,-79.88333299999999,1444,1343,1496,1513,1674,1619,1435,1450,1428,1421,1425,1450
Imbabura,476257,0.3626780000000000,-78.13066700000000,166,142,180,148,156,148,174,172,170,158,152,149
Loja,521154,-3.983333000000000,-79.20000000000000,224,166,184,161,196,178,176,177,174,199,151,162
Los Ríos,921763,-1.800000000000000,-79.53333300000000,324,271,288,295,307,291,306,322,263,314,268,310
Manabí,1562079,-1.056181000000000,-80.45521700000000,514,488,567,597,656,588,539,528,514,516,487,470
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,40,29,42,45,43,44,44,37,48,43,44,39
Napo,133705,-0.9890000000000000,-77.81590000000000,33,21,38,31,38,38,32,31,35,27,31,26
Orellana,161338,-0.4666670000000000,-76.96666700000000,34,32,35,36,42,30,44,31,33,46,44,41
Otro,0,0,0,9,5,5,2,7,4,8,4,2,2,1,3
Pastaza,114202,-1.066667000000000,-78.00111099999999,22,23,16,19,28,24,19,30,24,18,20,21
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,879,769,845,872,847,835,844,867,719,871,813,851
Santa Elena,401178,-2.226700000000000,-80.85830000000000,116,83,121,123,129,112,109,110,90,126,85,96
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,132,126,134,141,149,127,149,149,139,138,132,130
Sucumbíos,230503,0.08472200000000002,-76.88277800000000,46,44,47,39,53,45,42,65,45,55,44,38
Tungurahua,590600,-1.241667000000000,-78.61972200000000,202,212,207,205,209,221,244,240,212,201,205,202
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,30,24,26,25,29,32,29,25,25,21,28,18
