provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
Los Ríos,-1.800000000000000,-79.53333300000000,39,58,65,67,58,53,47,52,76,59,49,49,67,68,60,52,61,41,64,50,68,68,72,59,64,43,56,67,72,53,53,60,63,65,68,52,42,62,60,57,60,57,75,57,48,64,57,57,64,62,67,69,54
Manabí,-1.056181000000000,-80.45521700000000,58,102,118,109,104,102,102,113,127,110,122,133,110,142,123,119,130,127,133,151,123,134,137,114,132,122,107,112,111,113,107,119,116,109,96,112,99,104,119,98,96,106,120,107,113,93,89,117,98,86,98,110,107
Morona Santiago,-2.300000000000000,-78.11666700000001,8,2,6,10,7,9,6,5,7,7,7,5,7,11,8,10,6,9,9,10,10,6,7,10,6,9,12,5,8,8,12,5,12,7,4,7,10,9,10,6,10,10,14,8,9,8,4,8,10,11,5,2,6
Napo,-0.9890000000000000,-77.81590000000000,0,8,11,4,4,7,2,3,6,8,4,5,9,9,8,4,7,4,12,9,5,9,9,4,7,7,6,7,5,12,6,7,6,4,8,11,7,9,6,7,7,4,5,8,7,6,6,7,2,1,11,4,6
Orellana,-0.4666670000000000,-76.96666700000000,9,5,3,9,7,6,7,3,8,9,7,7,4,5,6,4,8,9,9,9,9,7,7,4,8,6,6,5,7,11,11,4,7,4,8,5,10,6,8,3,12,7,10,8,8,13,5,5,9,8,14,8,4
Otro,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Pastaza,-1.066667000000000,-78.00111099999999,4,6,6,2,4,5,3,8,5,5,3,3,3,3,4,5,2,6,3,7,3,10,5,5,3,6,3,1,5,3,8,6,6,7,5,4,5,6,6,5,3,5,4,4,2,2,4,9,4,2,9,2,5
Pichincha,-0.2186110000000000,-78.50972200000000,142,254,215,165,219,202,242,220,201,251,212,216,204,219,223,238,225,220,215,221,227,192,233,219,214,229,208,203,231,212,215,224,217,226,200,216,160,182,189,224,211,217,231,217,223,209,217,211,216,217,235,210,194
Santa Elena,-2.226700000000000,-80.85830000000000,16,25,20,27,21,17,28,18,20,21,31,22,22,38,24,21,32,23,25,31,27,25,15,22,23,36,44,19,19,21,24,25,17,17,20,14,20,19,22,27,32,24,29,27,16,20,19,14,19,19,23,19,28
Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,23,33,27,31,29,28,40,36,35,31,25,33,35,33,36,34,34,30,36,29,38,33,28,24,35,33,39,45,36,30,48,28,39,36,40,39,42,33,32,29,29,36,28,34,30,44,25,31,37,29,23,36,36
Sucumbíos,0.08472200000000001,-76.88277800000000,5,12,10,7,9,11,6,14,7,9,10,2,14,7,8,13,6,7,7,12,16,11,13,8,8,7,13,10,10,14,8,7,9,12,19,14,8,7,13,3,9,10,16,10,11,12,8,8,7,6,8,10,5
Tungurahua,-1.241667000000000,-78.61972200000000,28,49,54,45,38,52,59,52,52,54,48,40,41,51,51,45,46,49,48,42,58,39,49,62,47,49,47,59,67,49,46,66,58,54,50,42,52,52,53,47,44,44,61,42,36,50,60,48,39,63,50,34,52
Zamora Chinchipe,-4.120000000000000,-78.80000000000000,5,5,4,7,1,5,2,4,8,3,7,3,5,3,3,4,3,3,3,8,6,7,5,5,5,7,4,4,9,5,6,2,4,5,5,6,5,2,1,3,1,2,4,4,5,4,5,5,4,3,1,5,3
