provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,7,3,5,3,4,5,3,6,8,6,5,4
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,4,4,4,2,3,2,4,1,3,6,2,6
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,262,223,250,262,235,247,229,225,215,240,229,218
Azuay,El Pan,-2.786111000000000,-78.66500000000001,0,0,1,1,1,1,3,0,0,4,1,2
Azuay,Girón,-3.159028000000000,-79.14756800000001,7,2,2,10,5,7,7,9,4,5,6,3
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,1,1,2,0,0,0,0,0,0,0,0,0
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,14,22,9,13,10,12,16,19,18,15,18,10
Azuay,Nabón,-3.336060000000000,-79.06368000000001,5,3,2,3,6,2,4,8,9,5,5,5
Azuay,Oña,-3.469640000000000,-79.15431000000000,1,0,4,3,2,0,1,1,1,0,2,0
Azuay,Paute,-2.781800000000000,-78.76000000000001,10,8,14,7,7,10,11,8,5,8,10,8
Azuay,Pucará,-3.233780000000000,-79.46120000000001,3,7,4,3,4,5,1,2,5,4,3,2
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,1,2,4,1,2,2,5,0,2,2,1,2
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,4,6,13,2,4,3,4,8,5,8,2,6
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,1,1,3,2,2,1,2,1,3,3,2,2
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,7,10,12,5,5,9,11,12,13,7,12,8
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,3,4,5,1,3,5,2,2,4,3,4,4
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,7,8,10,5,5,8,2,2,8,8,4,7
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,3,6,5,4,8,4,6,8,8,3,2,2
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,2,5,4,1,2,6,1,7,5,5,4,5
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,25,48,34,42,36,25,46,27,40,31,32,35
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,0,2,1,1,1,3,1,1,3,3,3,0
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,17,5,12,11,10,12,9,16,11,11,9,12
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,5,1,4,3,5,3,5,7,1,3,2,5
Carchi,Espejo,0.6210000000000000,-77.94000000000000,6,3,4,4,5,9,2,6,2,4,2,4
Carchi,Mira,0.5538999999999999,-78.04930000000000,3,3,7,2,5,6,7,2,4,3,5,4
Carchi,Montúfar,0.6100000000000000,-77.84000000000000,7,5,10,7,2,8,6,5,7,8,11,9
Carchi,San Pedro de Huaca,0.6311110000000000,-77.72527800000000,0,2,6,2,4,1,2,2,4,1,3,0
Carchi,Tulcán,0.8121800000000000,-77.71633000000000,42,28,29,27,35,37,35,29,26,36,31,34
Cañar,Azogues,-2.733333000000000,-78.83333300000000,42,39,30,41,36,38,37,28,48,33,27,28
Cañar,Biblían,-2.710000000000000,-78.88000000000000,7,8,8,5,6,8,9,5,8,7,6,6
Cañar,Cañar,-2.483700000000000,-78.97839999999999,19,11,24,10,15,16,21,19,24,11,18,12
Cañar,Déleg,-2.772600000000000,-78.91830000000000,3,2,5,0,4,1,3,1,1,2,5,4
Cañar,El Tambo,-2.508100000000000,-78.92489999999999,0,0,3,5,2,1,3,1,3,1,2,1
Cañar,La Troncal,-2.400000000000000,-79.33000000000000,15,12,14,21,22,12,8,24,14,19,11,22
Cañar,Suscal,-2.436400000000000,-79.05220000000000,1,2,1,2,2,1,2,2,3,8,0,3
Chimborazo,Alausí,-2.200000000000000,-78.84999999999999,15,17,25,16,20,14,12,12,14,10,19,16
Chimborazo,Chambo,-1.733333000000000,-78.58333300000000,2,7,5,3,3,1,5,5,5,5,4,4
Chimborazo,Chunchi,-2.283333000000000,-78.91666700000000,7,7,11,3,1,2,6,6,4,5,1,3
Chimborazo,Colta,-1.700000000000000,-78.75000000000000,10,14,17,18,14,19,21,16,18,16,15,14
