inec_provincia_id,provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
01,Azuay,-2.897414000000000,-79.00448100000000,36,105,192,259,331,418,492,564,629,718,790,865,932,1000,1081,1141,1214,1295,1370,1436,1489,1555,1611,1685,1745,1834,1912,1974,2048,2122,2183,2261,2324,2389,2450,2525,2601,2662,2723,2791,2858,2938,3003,3076,3149,3224,3298,3358,3423,3511,3569,3622,3670
02,Bolívar,-1.605556000000000,-79.00305600000000,9,23,36,45,62,79,100,124,138,156,171,188,203,216,231,244,257,276,289,303,319,336,351,360,377,395,411,427,441,452,467,483,493,511,527,540,556,576,598,617,629,643,656,673,688,699,712,727,742,755,766,788,805
04,Carchi,0.8121800000000000,-77.71633000000000,9,26,37,54,65,76,90,98,109,127,134,144,163,171,180,192,203,215,224,240,254,266,286,293,308,321,337,352,360,377,391,396,404,422,435,446,454,467,477,488,500,514,526,540,549,558,574,588,597,613,625,640,655
03,Cañar,-2.733333000000000,-78.83333300000000,15,31,52,73,89,102,126,145,162,184,209,228,242,262,286,300,320,339,357,368,389,417,436,455,471,486,506,530,556,562,587,597,615,639,654,688,708,727,748,770,798,809,824,840,850,864,883,908,923,939,951,973,994
06,Chimborazo,-1.674347000000000,-78.64829400000001,18,51,88,123,162,198,242,295,347,412,453,498,533,585,630,671,723,764,805,856,886,937,984,1027,1069,1113,1151,1194,1236,1271,1315,1353,1398,1439,1475,1520,1554,1592,1634,1680,1716,1759,1803,1830,1883,1917,1958,1999,2045,2095,2139,2173,2215
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,24,68,115,146,169,189,221,261,295,322,355,374,408,443,468,490,523,564,593,621,655,687,719,744,770,804,837,867,895,935,961,993,1021,1061,1108,1142,1166,1201,1239,1275,1300,1333,1350,1370,1403,1432,1457,1485,1522,1554,1588,1617,1637
07,El Oro,-3.266667000000000,-79.96666700000000,34,83,137,190,225,280,329,388,436,494,546,595,656,715,765,820,866,922,967,1019,1076,1133,1173,1212,1272,1326,1384,1422,1486,1542,1592,1641,1676,1724,1777,1812,1855,1899,1955,2003,2060,2123,2170,2212,2263,2313,2349,2393,2441,2496,2543,2580,2628
08,Esmeraldas,1.050000000000000,-79.20000000000000,22,50,82,108,134,161,185,224,247,274,303,337,355,388,425,456,493,527,561,595,632,660,689,716,754,772,801,832,866,900,929,956,985,1003,1044,1076,1103,1127,1153,1181,1219,1247,1268,1296,1328,1359,1387,1413,1430,1467,1492,1515,1545
20,Galápagos,-0.8000000000000000,-89.40000000000001,0,0,0,0,1,2,2,2,2,2,3,3,4,4,5,6,6,6,6,6,7,9,10,13,13,14,15,16,17,17,17,18,21,23,24,25,25,27,27,30,31,32,33,34,34,34,34,35,35,36,37,38,41
09,Guayas,-2.183333000000000,-79.88333299999999,232,552,914,1260,1604,1964,2366,2717,3052,3413,3810,4161,4481,4846,5237,5603,6009,6391,6763,7168,7578,8023,8452,8840,9258,9659,10016,10373,10712,11047,11400,11745,12091,12445,12806,13123,13493,13851,14218,14589,14923,15254,15605,15969,16296,16661,17004,17373,17768,18120,18484,18824,19164
10,Imbabura,0.3626780000000000,-78.13066700000000,27,70,103,135,169,204,231,267,298,336,369,417,454,485,521,559,584,615,646,678,715,751,778,806,832,862,895,944,981,1007,1038,1075,1108,1137,1180,1219,1262,1299,1328,1369,1397,1430,1465,1497,1530,1560,1591,1630,1666,1696,1719,1752,1789
11,Loja,-3.983333000000000,-79.20000000000000,27,64,123,174,234,275,313,349,397,435,481,521,552,599,641,684,712,749,802,842,873,917,960,995,1042,1082,1134,1172,1201,1241,1281,1312,1353,1392,1429,1471,1507,1550,1590,1630,1692,1734,1780,1812,1854,1888,1930,1954,1984,2020,2061,2095,2127
12,Los Ríos,-1.800000000000000,-79.53333300000000,39,97,162,229,287,340,387,439,515,574,623,672,739,807,867,919,980,1021,1085,1135,1203,1271,1343,1402,1466,1509,1565,1632,1704,1757,1810,1870,1933,1998,2066,2118,2160,2222,2282,2339,2399,2456,2531,2588,2636,2700,2757,2814,2878,2940,3007,3076,3130
13,Manabí,-1.056181000000000,-80.45521700000000,58,160,278,387,491,593,695,808,935,1045,1167,1300,1410,1552,1675,1794,1924,2051,2184,2335,2458,2592,2729,2843,2975,3097,3204,3316,3427,3540,3647,3766,3882,3991,4087,4199,4298,4402,4521,4619,4715,4821,4941,5048,5161,5254,5343,5460,5558,5644,5742,5852,5959
14,Morona Santiago,-2.300000000000000,-78.11666700000001,8,10,16,26,33,42,48,53,60,67,74,79,86,97,105,115,121,130,139,149,159,165,172,182,188,197,209,214,222,230,242,247,259,266,270,277,287,296,306,312,322,332,346,354,363,371,375,383,393,404,409,411,417
15,Napo,-0.9890000000000000,-77.81590000000000,0,8,19,23,27,34,36,39,45,53,57,62,71,80,88,92,99,103,115,124,129,138,147,151,158,165,171,178,183,195,201,208,214,218,226,237,244,253,259,266,273,277,282,290,297,303,309,316,318,319,330,334,340
22,Orellana,-0.4666670000000000,-76.96666700000000,9,14,17,26,33,39,46,49,57,66,73,80,84,89,95,99,107,116,125,134,143,150,157,161,169,175,181,186,193,204,215,219,226,230,238,243,253,259,267,270,282,289,299,307,315,328,333,338,347,355,369,377,381
88,Otro,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,7,7,7,7,7,7,8,8,8,8,9,10,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,14,14,14,14,14,14
16,Pastaza,-1.066667000000000,-78.00111099999999,4,10,16,18,22,27,30,38,43,48,51,54,57,60,64,69,71,77,80,87,90,100,105,110,113,119,122,123,128,131,139,145,151,158,163,167,172,178,184,189,192,197,201,205,207,209,213,222,226,228,237,239,244
