inec_provincia_id,provincia,poblacion,lat,lng,Jan-2015,Feb-2015,Mar-2015,Apr-2015,May-2015,Jun-2015,Jul-2015,Aug-2015,Sep-2015,Oct-2015,Nov-2015,Dec-2015
01,Azuay,881394,-2.8974140000000004,-79.004481,306,276,287,289,269,281,279,264,262,297,260,257
02,Bolívar,209933,-1.6055560000000002,-79.003056,74,92,95,84,84,82,85,75,100,86,72,84
04,Carchi,186869,0.81218,-77.71633,71,52,61,56,69,71,63,56,50,67,73,66
03,Cañar,281396,-2.733333,-78.833333,109,81,96,99,99,87,96,93,109,91,87,88
06,Chimborazo,524004,-1.674347,-78.648294,165,193,223,199,203,199,190,190,193,187,191,188
05,Cotopaxi,488716,-0.933333,-78.616667,192,144,149,149,158,158,154,177,158,138,137,143
07,El Oro,715751,-3.2666670000000004,-79.966667,232,226,262,236,242,225,246,222,212,234,218,211
08,Esmeraldas,591083,1.05,-79.2,141,130,135,169,175,140,164,148,124,153,145,131
20,Galápagos,33042,-0.7999999999999999,-89.4,2,1,2,3,4,3,3,8,3,6,1,5
09,Guayas,4387434,-2.183333,-79.883333,1444,1343,1496,1513,1674,1619,1435,1450,1428,1421,1425,1450
10,Imbabura,476257,0.362678,-78.130667,166,142,180,148,156,148,174,172,170,158,152,149
11,Loja,521154,-3.9833330000000005,-79.2,224,166,184,161,196,178,176,177,174,199,151,162
12,Los Ríos,921763,-1.8,-79.533333,324,271,288,295,307,291,306,322,263,314,268,310
13,Manabí,1562079,-1.056181,-80.455217,514,488,567,597,656,588,539,528,514,516,487,470
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,40,29,42,45,43,44,44,37,48,43,44,39
15,Napo,133705,-0.989,-77.8159,33,21,38,31,38,38,32,31,35,27,31,26
22,Orellana,161338,-0.466667,-76.966667,34,32,35,36,42,30,44,31,33,46,44,41
88,Otro,0,0,0,9,5,5,2,7,4,8,4,2,2,1,3
16,Pastaza,114202,-1.066667,-78.001111,22,23,16,19,28,24,19,30,24,18,20,21
17,Pichincha,3228233,-0.218611,-78.509722,879,769,845,872,847,835,844,867,719,871,813,851
24,Santa Elena,401178,-2.2267,-80.8583,116,83,121,123,129,112,109,110,90,126,85,96
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,132,126,134,141,149,127,149,149,139,138,132,130
21,Sucumbíos,230503,0.08472200000000002,-76.882778,46,44,47,39,53,45,42,65,45,55,44,38
18,Tungurahua,590600,-1.241667,-78.619722,202,212,207,205,209,221,244,240,212,201,205,202
19,Zamora Chinchipe,120416,-4.12,-78.8,30,24,26,25,29,32,29,25,25,21,28,18
