provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,6,14,21,25,27,35,43,47,53,59,62,64
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,4,6,9,14,19,21,26,33,35,39,44,45
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,285,522,790,1065,1318,1572,1841,2131,2399,2671,2897,3136
Azuay,El Pan,-2.786111000000000,-78.66500000000001,4,6,9,12,13,13,15,15,16,18,18,18
Azuay,Girón,-3.159028000000000,-79.14756800000001,4,11,20,28,35,38,46,51,54,64,73,78
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,0,1,1,1,3,4,4,4,4,4,5,7
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,15,37,55,65,84,104,118,140,158,169,186,203
Azuay,Nabón,-3.336060000000000,-79.06368000000001,4,8,17,26,31,35,40,44,64,67,69,75
Azuay,Oña,-3.469640000000000,-79.15431000000000,4,5,5,7,7,7,7,7,8,11,12,12
Azuay,Paute,-2.781800000000000,-78.76000000000001,10,24,36,45,58,71,81,89,95,106,110,111
Azuay,Pucará,-3.233780000000000,-79.46120000000001,3,5,7,9,12,14,16,19,21,21,23,26
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,3,4,5,6,8,10,13,19,20,20,20,21
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,6,14,17,22,26,30,37,44,48,52,59,63
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,0,1,1,2,2,3,3,5,6,6,9,9
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,12,25,37,46,57,66,70,77,96,112,119,125
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,4,6,18,21,26,31,38,42,49,56,58,61
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,8,13,20,30,34,40,51,53,56,60,64,66
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,7,13,18,24,29,35,38,41,45,54,60,63
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,1,5,7,11,15,17,23,27,32,34,36,41
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,58,102,141,182,219,259,291,328,355,379,414,453
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,1,5,8,10,12,18,20,24,25,27,31,31
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,12,22,30,37,45,62,72,78,91,102,108,113
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,5,7,13,22,28,32,41,47,54,57,61,68
