inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
07,El Oro,0702,Arenillas,-3.550000000000000,-80.06000000000000,5,13,20,27,31,35,41,45,55,60,70,76
07,El Oro,0703,Atahualpa,-2.900000000000000,-78.93333300000000,1,4,5,6,7,8,9,9,10,13,15,19
07,El Oro,0704,Balsas,-3.762600000000000,-79.82530000000000,0,1,3,3,6,6,7,12,25,27,30,32
07,El Oro,0705,Chilla,-3.450000000000000,-79.58000000000000,0,0,2,3,3,4,6,6,7,7,8,8
07,El Oro,0706,El Guabo,-3.238800000000000,-79.82920000000000,9,24,36,49,58,72,80,99,113,123,134,148
07,El Oro,0707,Huaquillas,-3.481380000000000,-80.24320700000000,13,29,42,56,71,83,92,100,110,120,136,150
07,El Oro,0714,Las Lajas,-3.785000000000000,-80.06166700000000,0,3,3,4,7,9,9,9,11,13,15,18
07,El Oro,0701,Machala,-3.266667000000000,-79.96666700000000,154,277,397,497,629,725,866,1000,1113,1270,1384,1509
07,El Oro,0708,Marcabelí,-3.786000000000000,-79.89780000000000,2,3,4,5,7,9,9,10,12,15,18,19
07,El Oro,0709,Pasaje,-3.326900000000000,-79.80490000000000,21,42,73,98,124,149,172,198,222,257,272,294
07,El Oro,0710,Piñas,-3.666667000000000,-79.65000000000001,18,29,46,64,86,100,127,139,158,180,199,217
07,El Oro,0711,Portovelo,-3.720000000000000,-79.62000000000000,6,8,11,14,17,18,22,23,29,32,35,38
07,El Oro,0712,Santa Rosa,-3.452222000000000,-79.96166700000001,29,60,86,108,125,148,170,189,212,232,251,267
07,El Oro,0713,Zaruma,-3.433333000000000,-79.59999999999999,19,26,38,53,57,67,74,79,90,95,103,108
08,Esmeraldas,0806,Atacames,0.8666670000000000,-79.83333300000000,13,19,28,32,37,43,53,64,72,75,82,86
08,Esmeraldas,0802,Eloy Alfaro,1.250000000000000,-79,5,10,11,15,17,19,20,21,27,30,36,40
08,Esmeraldas,0801,Esmeraldas,1.050000000000000,-79.20000000000000,99,183,258,343,413,497,575,644,712,797,889,953
08,Esmeraldas,0803,Muisne,0.6067000000000000,-80.01830000000000,5,11,12,18,23,28,32,34,37,45,47,48
08,Esmeraldas,0804,Quinindé,0.3300000000000000,-79.48000000000000,25,51,74,94,113,127,151,176,190,217,235,250
08,Esmeraldas,0807,Rioverde,1.060200000000000,-79.40440000000000,9,13,16,21,24,30,37,44,48,52,54,58
08,Esmeraldas,0805,San Lorenzo,1.265800000000000,-78.84139999999999,4,14,24,28,33,39,46,59,69,73,77,82
20,Galápagos,2002,Isabela,-0.4724000000000000,-90.68110000000000,0,1,1,3,4,4,5,6,7,7,7,9
20,Galápagos,2001,San Cristóbal,-0.8000000000000000,-89.40000000000001,1,3,3,3,5,5,6,7,7,8,11,12
20,Galápagos,2003,Santa Cruz,-0.6333330000000000,-90.36666700000001,2,2,5,7,10,14,15,19,19,22,28,31
09,Guayas,0902,Alfredo Baquerizo Moreno,-1.916667000000000,-79.51666700000000,5,7,18,25,28,35,40,44,53,59,67,75
09,Guayas,0903,Balao,-2.910000000000000,-79.81000000000000,14,16,23,29,31,34,38,39,47,51,62,64
