inec_provincia_id,provincia,poblacion,lat,lng,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
1,Azuay,881394,-2.8974140000000004,-79.004481,360,323,347,343,327,323,337,365,352,342,287,287
2,Bolívar,209933,-1.6055560000000002,-79.003056,91,75,76,73,65,82,71,60,60,59,59,57
4,Carchi,186869,0.81218,-77.71633,56,62,57,49,58,55,49,70,62,55,55,66
3,Cañar,281396,-2.733333,-78.833333,93,80,88,75,78,87,92,102,110,102,79,88
6,Chimborazo,524004,-1.674347,-78.648294,225,213,186,205,177,166,222,181,220,199,176,165
5,Cotopaxi,488716,-0.933333,-78.616667,188,152,137,150,149,173,161,134,156,150,135,136
7,El Oro,715751,-3.2666670000000004,-79.966667,277,242,247,221,241,205,251,234,249,277,226,233
8,Esmeraldas,591083,1.05,-79.2,160,141,122,128,109,123,131,128,113,134,131,97
20,Galápagos,33042,-0.7999999999999999,-89.4,3,3,3,4,6,4,3,6,1,4,9,6
9,Guayas,4387434,-2.183333,-79.883333,1824,1545,1787,1700,1653,1597,1638,1689,1588,1640,1626,1670
10,Imbabura,476257,0.362678,-78.130667,162,135,178,170,169,172,146,171,150,168,177,129
11,Loja,521154,-3.9833330000000005,-79.2,239,223,196,199,204,173,199,188,180,209,184,180
12,Los Ríos,921763,-1.8,-79.533333,312,306,336,291,287,302,319,326,283,291,281,266
13,Manabí,1562079,-1.056181,-80.455217,533,504,563,492,496,507,531,542,535,519,529,501
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,56,51,35,41,35,31,37,37,43,39,52,37
15,Napo,133705,-0.989,-77.8159,34,21,29,22,31,25,37,32,38,30,38,22
22,Orellana,161338,-0.466667,-76.966667,40,31,36,35,38,33,30,31,33,35,28,32
88,Otro,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16,Pastaza,114202,-1.066667,-78.001111,30,22,25,29,17,28,21,37,17,21,37,38
17,Pichincha,3228233,-0.218611,-78.509722,1343,1017,1018,1023,1143,1049,1059,1110,1007,1061,1072,1171
24,Santa Elena,401178,-2.2267,-80.8583,105,105,119,99,98,130,127,123,94,109,113,95
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,192,173,169,167,184,167,180,176,177,184,159,156
21,Sucumbíos,230503,0.08472200000000002,-76.882778,52,48,46,49,52,43,50,56,57,52,52,44
18,Tungurahua,590600,-1.241667,-78.619722,284,246,220,175,221,255,242,236,252,208,219,228
19,Zamora Chinchipe,120416,-4.12,-78.8,21,17,17,22,28,17,22,33,16,14,14,19
