inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
02,Bolívar,0207,Las Naves,-1.283330000000000,-79.30000000000000,0,0,0,1,0,2,1,1,0,0,1,0,2,1,1,0,0,1,0,0,0,2,0,2,1,2,0,0,0,1,2,1,0,2,0,0,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
02,Bolívar,0205,San Miguel,-1.700000000000000,-79.03333300000000,3,3,3,1,2,3,3,3,1,0,4,2,2,2,2,1,2,2,4,2,0,1,5,4,2,6,4,1,0,3,2,1,3,0,1,2,3,4,4,2,7,0,2,1,3,2,0,0,0,1,4,0
04,Carchi,0402,Bolivar,0.5070990000000000,-77.86245400000000,3,1,1,0,1,0,0,1,1,0,1,3,1,2,4,2,1,1,3,1,1,0,0,1,3,0,3,0,3,2,2,1,0,2,2,0,3,2,2,2,0,1,0,1,0,1,1,2,1,3,1,1
04,Carchi,0403,Espejo,0.6210000000000000,-77.94000000000000,1,0,2,1,0,0,1,2,1,1,0,1,1,0,1,1,0,2,1,1,2,2,0,2,3,0,3,0,0,1,1,1,1,1,1,1,2,1,1,3,2,0,0,0,1,1,0,0,3,3,0,0
04,Carchi,0404,Mira,0.5538999999999999,-78.04930000000000,0,2,1,2,1,0,2,1,1,0,0,0,0,1,1,2,0,0,2,2,2,0,1,0,1,0,1,1,0,0,4,0,0,1,1,2,1,1,1,0,0,1,1,0,0,5,0,1,1,0,3,1
04,Carchi,0405,Montúfar,0.6100000000000000,-77.84000000000000,4,0,2,4,4,5,2,2,5,1,3,2,0,4,2,1,2,1,0,4,1,2,1,2,2,3,1,1,0,4,1,0,0,1,2,1,0,1,3,1,1,0,2,3,2,4,4,2,3,2,2,0
04,Carchi,0406,San Pedro de Huaca,0.6311110000000000,-77.72527800000000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,3,2,0,2,2,0
04,Carchi,0401,Tulcán,0.8121800000000000,-77.71633000000000,8,6,4,7,12,13,7,7,8,3,8,11,12,3,5,8,4,5,8,10,8,1,8,9,9,7,6,7,11,1,3,17,6,13,12,4,11,9,13,11,7,6,10,8,5,8,3,6,11,9,6,6
03,Cañar,0301,Azogues,-2.733333000000000,-78.83333300000000,11,6,12,4,11,11,13,3,9,12,11,11,8,7,13,6,4,8,5,6,8,6,13,5,9,15,9,10,7,13,10,9,14,12,9,15,9,10,8,13,13,7,16,10,8,8,8,13,8,7,8,13
03,Cañar,0302,Biblían,-2.710000000000000,-78.88000000000000,1,1,3,3,1,1,1,1,2,0,4,1,2,1,2,1,1,2,1,3,0,4,2,3,4,0,1,4,2,0,4,1,3,1,1,3,2,1,2,1,2,0,1,1,2,1,2,2,3,1,1,0
