provincia,poblacion,lat,lng,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,13/01/2018,14/01/2018,15/01/2018,16/01/2018,17/01/2018,18/01/2018,19/01/2018,20/01/2018,21/01/2018,22/01/2018,23/01/2018,24/01/2018,25/01/2018,26/01/2018,27/01/2018,28/01/2018,29/01/2018,30/01/2018,31/01/2018,01/02/2018,02/02/2018,03/02/2018,04/02/2018,05/02/2018,06/02/2018,07/02/2018,08/02/2018,09/02/2018,10/02/2018,11/02/2018,12/02/2018,13/02/2018,14/02/2018,15/02/2018,16/02/2018,17/02/2018,18/02/2018,19/02/2018,20/02/2018,21/02/2018,22/02/2018,23/02/2018,24/02/2018,25/02/2018,26/02/2018,27/02/2018,28/02/2018,01/03/2018,02/03/2018,03/03/2018,04/03/2018,05/03/2018,06/03/2018,07/03/2018,08/03/2018,09/03/2018,10/03/2018,11/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018,17/03/2018,18/03/2018,19/03/2018,20/03/2018,21/03/2018,22/03/2018,23/03/2018,24/03/2018,25/03/2018,26/03/2018,27/03/2018,28/03/2018,29/03/2018,30/03/2018,31/03/2018,01/04/2018,02/04/2018,03/04/2018,04/04/2018,05/04/2018,06/04/2018,07/04/2018,08/04/2018,09/04/2018,10/04/2018,11/04/2018,12/04/2018,13/04/2018,14/04/2018,15/04/2018,16/04/2018,17/04/2018,18/04/2018,19/04/2018,20/04/2018,21/04/2018,22/04/2018,23/04/2018,24/04/2018,25/04/2018,26/04/2018,27/04/2018,28/04/2018,29/04/2018,30/04/2018,01/05/2018,02/05/2018,03/05/2018,04/05/2018,05/05/2018,06/05/2018,07/05/2018,08/05/2018,09/05/2018,10/05/2018,11/05/2018,12/05/2018,13/05/2018,14/05/2018,15/05/2018,16/05/2018,17/05/2018,18/05/2018,19/05/2018,20/05/2018,21/05/2018,22/05/2018,23/05/2018,24/05/2018,25/05/2018,26/05/2018,27/05/2018,28/05/2018,29/05/2018,30/05/2018,31/05/2018,01/06/2018,02/06/2018,03/06/2018,04/06/2018,05/06/2018,06/06/2018,07/06/2018,08/06/2018,09/06/2018,10/06/2018,11/06/2018,12/06/2018,13/06/2018,14/06/2018,15/06/2018,16/06/2018,17/06/2018,18/06/2018,19/06/2018,20/06/2018,21/06/2018,22/06/2018,23/06/2018,24/06/2018,25/06/2018,26/06/2018,27/06/2018,28/06/2018,29/06/2018,30/06/2018,01/07/2018,02/07/2018,03/07/2018,04/07/2018,05/07/2018,06/07/2018,07/07/2018,08/07/2018,09/07/2018,10/07/2018,11/07/2018,12/07/2018,13/07/2018,14/07/2018,15/07/2018,16/07/2018,17/07/2018,18/07/2018,19/07/2018,20/07/2018,21/07/2018,22/07/2018,23/07/2018,24/07/2018,25/07/2018,26/07/2018,27/07/2018,28/07/2018,29/07/2018,30/07/2018,31/07/2018,01/08/2018,02/08/2018,03/08/2018,04/08/2018,05/08/2018,06/08/2018,07/08/2018,08/08/2018,09/08/2018,10/08/2018,11/08/2018,12/08/2018,13/08/2018,14/08/2018,15/08/2018,16/08/2018,17/08/2018,18/08/2018,19/08/2018,20/08/2018,21/08/2018,22/08/2018,23/08/2018,24/08/2018,25/08/2018,26/08/2018,27/08/2018,28/08/2018,29/08/2018,30/08/2018,31/08/2018,01/09/2018,02/09/2018,03/09/2018,04/09/2018,05/09/2018,06/09/2018,07/09/2018,08/09/2018,09/09/2018,10/09/2018,11/09/2018,12/09/2018,13/09/2018,14/09/2018,15/09/2018,16/09/2018,17/09/2018,18/09/2018,19/09/2018,20/09/2018,21/09/2018,22/09/2018,23/09/2018,24/09/2018,25/09/2018,26/09/2018,27/09/2018,28/09/2018,29/09/2018,30/09/2018,01/10/2018,02/10/2018,03/10/2018,04/10/2018,05/10/2018,06/10/2018,07/10/2018,08/10/2018,09/10/2018,10/10/2018,11/10/2018,12/10/2018,13/10/2018,14/10/2018,15/10/2018,16/10/2018,17/10/2018,18/10/2018,19/10/2018,20/10/2018,21/10/2018,22/10/2018,23/10/2018,24/10/2018,25/10/2018,26/10/2018,27/10/2018,28/10/2018,29/10/2018,30/10/2018,31/10/2018,01/11/2018,02/11/2018,03/11/2018,04/11/2018,05/11/2018,06/11/2018,07/11/2018,08/11/2018,09/11/2018,10/11/2018,11/11/2018,12/11/2018,13/11/2018,14/11/2018,15/11/2018,16/11/2018,17/11/2018,18/11/2018,19/11/2018,20/11/2018,21/11/2018,22/11/2018,23/11/2018,24/11/2018,25/11/2018,26/11/2018,27/11/2018,28/11/2018,29/11/2018,30/11/2018,01/12/2018,02/12/2018,03/12/2018,04/12/2018,05/12/2018,06/12/2018,07/12/2018,08/12/2018,09/12/2018,10/12/2018,11/12/2018,12/12/2018,13/12/2018,14/12/2018,15/12/2018,16/12/2018,17/12/2018,18/12/2018,19/12/2018,20/12/2018,21/12/2018,22/12/2018,23/12/2018,24/12/2018,25/12/2018,26/12/2018,27/12/2018,28/12/2018,29/12/2018,30/12/2018,31/12/2018
Azuay,881394,-2.897414000000000,-79.00448100000000,13,10,17,17,8,14,8,8,8,8,10,8,12,13,10,15,8,16,4,9,19,10,12,15,13,19,14,11,15,5,11,8,14,4,10,10,17,12,17,13,4,9,12,9,15,10,17,11,7,14,12,12,9,12,12,16,12,12,13,15,7,11,7,14,11,12,13,8,8,13,10,13,11,15,9,11,8,13,7,7,12,17,12,10,8,14,17,11,8,15,10,16,6,13,8,9,14,14,13,15,11,13,15,9,20,9,12,5,13,14,14,6,9,6,13,12,8,10,9,17,13,7,14,12,9,10,11,7,10,11,5,9,12,16,13,10,11,10,9,12,10,12,9,5,15,12,10,11,14,8,10,13,14,6,12,15,11,9,10,6,12,14,4,6,5,12,9,9,9,8,11,14,13,17,13,14,12,11,11,10,13,7,8,8,16,12,12,15,9,13,7,13,6,13,12,16,14,10,11,18,10,8,11,9,7,10,14,6,7,12,11,12,11,11,11,12,10,10,14,9,11,8,10,31,16,12,7,10,20,12,15,3,8,20,12,10,11,9,12,12,8,5,15,29,8,18,20,17,13,4,11,15,9,8,7,15,10,12,6,10,8,13,14,8,8,8,8,11,16,13,15,8,10,12,8,13,6,17,9,13,11,10,10,12,11,13,12,9,11,20,13,10,4,6,10,14,8,14,10,6,12,12,16,10,8,11,13,8,10,10,9,10,5,13,9,7,11,12,13,11,7,11,7,10,12,14,11,5,7,10,7,7,11,8,9,12,10,7,9,10,8,12,12,12,16,11,4,14,10,15,7,7,7,16,10,9,8,16,12,8,7,4,2,2,1
Bolívar,209933,-1.605556000000000,-79.00305600000000,3,1,4,4,4,5,0,2,3,3,3,4,6,3,4,1,4,0,4,3,1,1,3,3,1,3,4,2,6,4,2,1,2,4,2,4,1,4,6,2,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,2,2,3,1,2,4,1,4,4,5,3,2,1,3,0,3,4,2,1,1,4,2,2,3,2,2,2,2,1,2,1,3,4,4,2,3,4,2,2,5,3,3,1,3,4,1,1,3,1,1,4,3,3,2,2,2,2,5,1,2,1,3,1,3,2,7,3,1,2,2,0,1,1,2,2,2,2,6,1,2,4,3,1,3,3,0,5,3,1,0,1,1,1,2,3,0,5,1,1,1,2,1,2,1,2,5,3,5,4,3,3,6,3,0,7,1,0,1,2,2,4,3,1,3,6,4,6,2,1,2,2,1,4,2,3,6,2,4,0,3,2,1,2,4,0,1,2,2,1,4,1,0,0,4,4,4,1,2,4,2,3,2,0,2,1,2,3,2,2,0,2,6,1,0,2,3,1,0,2,1,0,4,1,4,3,4,0,1,1,4,2,0,4,1,3,2,3,1,2,2,0,6,3,2,2,2,1,1,4,2,0,1,0,1,1,6,2,1,2,0,0,0,1,1,3,2,3,1,2,3,1,3,1,4,3,4,0,3,1,3,0,5,0,2,2,4,2,3,0,0,3,3,2,2,2,0,6,2,3,0,3,1,3,3,1,2,2,2,4,3,0,1,0,3,1,3,1,1,2,1,3,1,3,3,3,1,3,4,2,1,2,1,3,1,0,3,3,5,1,4,0,0,2,1,3,0,1,0,1,1
Carchi,186869,0.8121800000000000,-77.71633000000000,3,2,2,1,5,1,3,0,0,3,1,1,2,2,1,0,2,2,2,1,2,0,1,4,2,2,1,4,1,2,3,2,3,3,4,3,2,1,2,1,4,5,2,3,1,1,1,2,3,3,3,0,4,2,0,1,3,1,2,3,1,5,1,0,0,0,0,3,1,1,3,2,0,1,1,3,2,3,0,3,3,2,3,3,2,2,1,3,2,3,2,2,0,2,3,0,1,2,2,1,2,1,2,4,2,0,1,1,3,2,2,5,0,0,1,2,3,0,2,1,0,0,1,2,4,1,0,1,1,2,2,3,5,0,4,2,3,2,5,2,1,1,4,1,0,4,3,0,2,1,1,1,0,0,0,5,0,1,3,1,0,3,3,1,2,2,1,3,1,1,0,2,10,3,2,0,1,2,1,2,4,0,2,0,3,1,4,0,5,2,1,3,0,1,1,1,1,2,3,1,4,2,1,1,0,1,2,1,2,1,2,1,1,2,1,2,2,2,1,3,5,1,5,2,2,0,1,1,2,1,1,2,3,2,3,3,3,2,2,3,6,4,2,2,0,0,2,0,2,2,1,2,1,2,4,2,4,2,2,1,0,6,2,3,0,2,4,3,1,1,7,1,3,3,4,4,3,1,2,1,0,2,2,4,1,1,0,2,0,1,0,3,1,1,1,2,4,0,5,1,1,1,3,1,2,3,2,1,2,0,0,0,1,4,1,2,1,5,4,2,3,3,1,1,2,1,2,0,4,3,3,1,1,0,1,4,2,2,2,2,4,6,1,0,3,0,3,7,3,3,0,2,4,2,4,1,1,1,3,2,0,1,0,1,1
Cañar,281396,-2.733333000000000,-78.83333300000000,0,4,2,3,2,3,2,2,2,5,5,4,1,2,1,4,5,5,1,6,0,3,2,3,2,3,2,4,3,3,9,2,3,2,3,5,2,2,4,6,0,2,5,5,2,4,3,3,4,2,0,3,1,3,2,4,2,3,3,1,2,2,4,2,2,3,1,5,6,3,2,4,5,2,3,7,5,2,3,1,3,3,2,1,1,4,5,0,1,3,3,1,2,5,3,3,3,1,7,3,5,3,2,1,4,5,3,1,1,1,0,3,3,0,1,2,1,1,2,5,3,3,3,0,5,4,4,2,2,3,0,3,1,2,5,3,1,1,2,2,3,2,2,3,3,4,2,2,4,1,3,3,2,2,3,1,5,5,2,5,7,3,2,2,1,2,0,4,3,4,3,4,2,3,2,1,3,4,5,4,0,5,3,0,3,6,5,1,1,4,1,2,3,5,1,4,4,1,5,4,1,5,2,4,2,3,7,1,5,0,4,0,3,1,8,5,3,3,2,1,3,5,2,3,4,4,3,3,4,8,4,1,4,1,1,5,4,7,4,1,3,0,2,4,5,2,8,5,4,5,4,1,3,2,7,4,4,2,2,3,8,3,2,4,2,5,4,2,4,1,1,5,4,3,2,3,3,1,4,5,7,6,4,1,5,1,3,2,0,5,3,7,3,2,3,2,4,6,3,3,5,3,1,2,1,4,3,3,2,2,6,1,3,2,1,3,3,3,2,1,1,3,3,5,1,3,1,4,2,8,1,3,2,2,6,2,0,5,4,1,3,3,2,3,1,7,7,1,4,1,4,1,2,1,4,3,3,9,2,2,0,4,2,1,0
Chimborazo,524004,-1.674347000000000,-78.64829400000001,11,2,9,10,5,11,6,7,7,10,9,11,8,7,8,3,7,12,6,5,7,6,3,14,2,8,5,7,3,6,10,7,11,12,9,8,12,4,7,8,5,11,5,6,10,6,13,6,7,9,7,4,7,6,7,6,8,7,5,5,7,10,5,2,10,4,10,6,8,9,6,6,9,8,2,3,10,4,7,8,6,3,2,3,5,7,6,6,3,6,6,12,5,5,8,7,7,9,5,8,4,10,5,10,9,6,9,7,9,7,6,9,4,8,4,7,6,7,1,5,6,11,4,6,7,5,4,6,7,1,4,9,2,11,8,5,5,7,6,9,6,3,7,4,7,2,1,6,9,4,5,3,3,5,5,8,4,5,4,5,11,7,5,8,5,5,7,3,5,2,6,7,8,10,8,9,5,3,1,6,3,7,9,12,7,10,6,5,3,5,14,7,8,8,7,9,3,13,5,4,8,8,9,7,4,3,7,13,1,4,8,8,3,7,2,6,13,12,5,8,8,5,8,7,4,3,5,5,9,4,2,1,5,6,2,8,8,5,9,6,2,7,6,4,8,6,7,4,6,8,3,14,6,9,5,6,5,4,15,12,8,3,5,10,7,9,8,9,10,6,10,8,5,6,8,5,6,10,7,4,2,7,7,7,9,5,5,6,4,6,8,9,12,5,6,5,6,7,7,6,9,5,5,5,9,7,3,9,5,3,5,8,4,8,8,3,3,7,5,4,3,7,7,3,3,6,5,7,7,4,8,9,10,6,6,8,7,4,9,7,10,1,2,5,4,5,6,9,4,3,7,8,5,7,4,9,4,2,11,8,6,1,2,0,1
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,13,5,2,7,6,6,6,7,10,2,6,9,3,4,9,6,6,4,6,7,5,7,7,5,5,4,5,6,6,9,5,4,6,5,6,5,4,3,2,4,5,2,7,7,7,7,4,4,6,8,7,9,6,4,7,5,3,8,7,3,7,4,6,9,6,2,7,5,8,5,3,3,4,7,2,2,5,2,1,3,3,7,6,6,5,5,2,4,3,2,9,3,5,4,5,5,2,4,4,0,5,3,9,6,6,8,5,3,6,7,6,10,3,5,5,5,4,5,5,3,5,3,4,1,5,4,4,5,6,3,6,3,12,5,5,6,4,5,5,4,5,4,2,7,3,5,4,8,7,3,6,6,4,3,4,8,3,3,7,4,12,8,7,4,7,4,9,8,3,4,6,7,6,3,8,4,6,5,4,11,5,7,9,6,5,2,8,9,5,3,5,2,3,8,5,10,7,6,1,7,7,7,3,4,2,7,6,3,3,2,7,2,2,5,3,5,5,6,8,4,2,9,4,2,2,6,8,7,0,6,2,5,5,3,3,2,4,5,2,2,4,8,5,6,8,7,7,2,10,8,7,3,2,3,3,1,4,4,8,5,4,5,6,3,5,8,8,3,7,5,3,6,5,9,5,2,3,5,2,6,4,2,8,4,7,6,5,7,5,7,2,1,6,5,4,9,4,6,6,3,1,3,7,6,2,5,7,5,6,3,4,2,2,3,3,8,7,5,2,4,5,3,5,6,4,5,6,6,7,3,6,4,6,1,5,5,7,3,8,4,4,5,2,7,1,5,6,5,5,5,4,6,6,3,3,5,4,1,5,7,6,5,1,0,3
El Oro,715751,-3.266667000000000,-79.96666700000000,7,16,14,12,11,11,10,11,7,7,8,6,7,7,11,11,9,4,7,5,14,10,6,11,7,7,7,12,7,7,8,12,11,5,6,5,12,5,9,9,12,2,16,5,6,11,5,9,14,12,10,8,9,6,6,8,11,9,9,11,6,7,10,10,7,8,10,13,7,5,13,10,9,6,7,7,9,11,4,8,6,3,9,6,2,7,9,9,6,12,10,10,4,6,2,13,8,6,3,8,4,8,10,9,9,8,7,13,5,3,9,4,5,10,10,8,5,6,6,12,7,7,4,7,12,11,8,9,1,9,9,10,7,9,10,8,9,8,8,4,6,9,14,8,5,5,10,11,3,8,5,6,4,11,8,6,6,7,4,9,11,6,8,10,3,7,4,9,8,2,10,4,8,8,5,10,3,8,5,6,9,5,6,8,7,6,10,6,8,3,8,13,7,6,7,5,8,15,10,8,10,7,9,13,4,9,8,7,10,11,11,6,6,5,8,8,4,6,4,6,4,9,9,10,11,9,4,6,10,15,4,7,4,8,10,5,11,9,11,8,10,4,9,9,17,14,7,4,7,6,4,7,8,13,6,8,7,8,15,7,21,8,4,5,7,9,7,8,4,8,8,3,10,9,11,5,13,9,14,9,9,5,6,13,10,10,12,9,9,7,6,7,6,6,10,9,10,10,12,10,4,12,7,8,6,4,5,10,10,6,4,7,8,9,8,5,7,11,8,4,8,9,5,9,7,11,5,12,10,10,6,6,5,11,3,8,6,6,6,4,10,8,10,13,12,7,10,14,8,8,6,11,7,6,8,9,11,5,13,6,8,4,1,3,2
Esmeraldas,591083,1.050000000000000,-79.20000000000000,4,7,5,3,4,4,4,3,12,6,3,9,4,6,3,5,6,7,3,5,5,5,5,6,4,6,5,4,9,3,5,5,2,5,3,9,2,6,4,7,6,8,12,4,4,6,5,3,7,6,4,4,6,4,2,6,3,6,2,2,2,4,3,5,3,6,3,6,5,4,6,3,2,1,4,3,6,3,7,5,8,4,4,5,5,3,3,2,1,4,1,9,4,1,4,6,4,7,1,7,1,5,4,3,8,2,2,4,4,3,8,0,3,11,5,3,4,3,8,3,5,4,3,4,1,2,2,0,2,2,4,3,6,6,8,5,6,2,4,7,2,2,2,1,2,2,4,3,5,7,3,3,2,2,4,8,4,2,4,3,5,6,5,7,3,2,8,8,1,3,5,6,7,1,4,1,3,3,3,3,7,3,4,5,6,8,7,4,4,6,5,5,3,4,3,6,3,3,1,6,5,3,5,1,3,4,3,7,3,3,5,3,2,3,7,2,2,2,4,5,6,4,4,6,4,2,3,2,6,3,4,5,5,6,3,3,2,6,2,9,9,4,3,5,7,2,2,1,5,2,5,3,4,6,4,3,6,2,2,4,4,5,3,3,3,4,4,6,4,1,6,3,4,7,6,4,7,4,5,0,4,5,6,3,5,9,6,3,3,1,1,7,6,6,4,4,4,4,1,5,2,2,7,3,4,6,7,3,4,9,5,7,3,4,5,4,1,2,2,5,1,3,5,6,4,9,3,4,6,6,4,1,4,4,4,4,3,3,7,3,3,2,3,2,3,3,5,5,5,1,2,2,4,5,4,1,3,3,1,5,3,3,2,2,1
Galápagos,33042,-0.7999999999999999,-89.40000000000001,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,73,66,63,46,54,55,67,56,54,52,63,65,58,65,59,54,56,30,58,75,55,68,75,63,63,67,66,52,50,45,51,47,52,47,52,47,51,54,52,47,41,49,68,60,58,63,67,47,77,58,55,46,59,50,57,67,68,48,58,60,66,62,53,71,66,42,67,65,54,54,70,44,67,64,50,56,54,56,55,56,55,51,40,67,60,54,47,69,58,54,49,56,60,54,52,68,58,47,61,55,49,58,50,67,50,54,67,50,62,60,58,59,50,48,63,62,76,52,55,50,58,57,49,52,51,63,47,46,60,47,51,47,43,57,46,53,51,69,57,57,63,51,66,59,42,46,55,50,61,47,52,50,52,46,65,45,42,49,56,50,47,62,57,48,59,54,39,51,56,42,49,53,60,57,41,64,58,60,51,58,76,49,46,59,41,70,47,54,71,61,48,68,52,47,37,57,56,38,43,59,52,56,66,43,57,59,35,56,51,51,53,56,51,62,53,52,46,42,53,53,52,59,61,57,57,52,56,65,61,67,62,52,43,57,53,51,38,54,45,65,54,55,61,59,55,52,59,57,50,46,52,38,61,47,49,51,60,54,63,47,56,61,47,40,56,55,55,53,61,52,50,48,54,65,56,58,45,56,39,50,50,55,38,50,37,58,63,49,70,55,62,51,45,59,56,56,41,46,59,40,54,59,72,46,67,56,65,52,63,62,52,45,58,48,55,46,45,70,57,57,48,51,60,47,51,57,47,50,42,55,50,53,56,61,45,62,58,62,60,64,59,53,48,68,55,51,51,58,58,43,68,54,59,59,47,61,47,69,52,55,61,53,47,33,10
