provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,-2.897414000000000,-79.00448100000000,360,683,1030,1373,1700,2023,2360,2725,3077,3419,3706,3993
Bolívar,-1.605556000000000,-79.00305600000000,91,166,242,315,380,462,533,593,653,712,771,828
Carchi,0.8121800000000000,-77.71633000000000,56,118,175,224,282,337,386,456,518,573,628,694
Cañar,-2.733333000000000,-78.83333300000000,93,173,261,336,414,501,593,695,805,907,986,1074
Chimborazo,-1.674347000000000,-78.64829400000001,225,438,624,829,1006,1172,1394,1575,1795,1994,2170,2335
Cotopaxi,-0.9333330000000000,-78.61666700000001,188,340,477,627,776,949,1110,1244,1400,1550,1685,1821
El Oro,-3.266667000000000,-79.96666700000000,277,519,766,987,1228,1433,1684,1918,2167,2444,2670,2903
Esmeraldas,1.050000000000000,-79.20000000000000,160,301,423,551,660,783,914,1042,1155,1289,1420,1517
Galápagos,-0.8000000000000000,-89.40000000000001,3,6,9,13,19,23,26,32,33,37,46,52
Guayas,-2.183333000000000,-79.88333299999999,1824,3369,5156,6856,8509,10106,11744,13433,15021,16661,18287,19957
Imbabura,0.3626780000000000,-78.13066700000000,162,297,475,645,814,986,1132,1303,1453,1621,1798,1927
Loja,-3.983333000000000,-79.20000000000000,239,462,658,857,1061,1234,1433,1621,1801,2010,2194,2374
Los Ríos,-1.800000000000000,-79.53333300000000,312,618,954,1245,1532,1834,2153,2479,2762,3053,3334,3600
Manabí,-1.056181000000000,-80.45521700000000,533,1037,1600,2092,2588,3095,3626,4168,4703,5222,5751,6252
Morona Santiago,-2.300000000000000,-78.11666700000001,56,107,142,183,218,249,286,323,366,405,457,494
Napo,-0.9890000000000000,-77.81590000000000,34,55,84,106,137,162,199,231,269,299,337,359
Orellana,-0.4666670000000000,-76.96666700000000,40,71,107,142,180,213,243,274,307,342,370,402
Otro,0,0,0,0,0,0,0,1,1,1,1,2,2,2
Pastaza,-1.066667000000000,-78.00111099999999,30,52,77,106,123,151,172,209,226,247,284,322
Pichincha,-0.2186110000000000,-78.50972200000000,1343,2360,3378,4401,5544,6593,7652,8762,9769,10830,11902,13073
Santa Elena,-2.226700000000000,-80.85830000000000,105,210,329,428,526,656,783,906,1000,1109,1222,1317
Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,192,365,534,701,885,1052,1232,1408,1585,1769,1928,2084
Sucumbíos,0.08472200000000001,-76.88277800000000,52,100,146,195,247,290,340,396,453,505,557,601
Tungurahua,-1.241667000000000,-78.61972200000000,284,530,750,925,1146,1401,1643,1879,2131,2339,2558,2786
Zamora Chinchipe,-4.120000000000000,-78.80000000000000,21,38,55,77,105,122,144,177,193,207,221,240
