inec_provincia_id,provincia,poblacion,lat,lng,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
01,Azuay,881394,-2.8974140000000004,-79.004481,326,298,303,315,304,282,304,325,325,287,269,254
02,Bolívar,209933,-1.6055560000000002,-79.003056,107,91,99,93,78,97,90,76,70,76,75,75
04,Carchi,186869,0.81218,-77.71633,71,74,70,54,66,68,63,79,74,63,58,75
03,Cañar,281396,-2.733333,-78.833333,96,95,105,87,87,103,112,117,118,124,88,99
06,Chimborazo,524004,-1.674347,-78.648294,243,216,204,222,183,185,235,204,223,213,186,178
05,Cotopaxi,488716,-0.933333,-78.616667,204,174,156,155,166,194,176,156,159,170,156,149
07,El Oro,715751,-3.2666670000000004,-79.966667,275,246,256,229,250,217,258,248,232,284,234,236
08,Esmeraldas,591083,1.05,-79.2,183,165,142,154,125,141,150,144,128,149,156,114
20,Galápagos,33042,-0.7999999999999999,-89.4,4,4,3,4,6,5,7,5,5,5,8,8
09,Guayas,4387434,-2.183333,-79.883333,1712,1471,1695,1617,1570,1520,1546,1628,1525,1558,1545,1597
10,Imbabura,476257,0.362678,-78.130667,182,146,189,181,180,178,157,189,168,184,198,142
11,Loja,521154,-3.9833330000000005,-79.2,241,230,202,201,203,174,194,173,196,218,181,175
12,Los Ríos,921763,-1.8,-79.533333,371,314,367,324,317,334,343,353,313,316,316,283
13,Manabí,1562079,-1.056181,-80.455217,578,551,610,537,554,547,585,574,581,553,562,545
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,57,58,40,46,47,44,46,49,49,54,56,50
15,Napo,133705,-0.989,-77.8159,38,21,31,28,36,34,36,39,42,34,39,23
22,Orellana,161338,-0.466667,-76.966667,52,38,41,37,43,40,36,40,42,42,38,37
88,Otro,0,0,0,8,6,2,4,2,6,3,3,10,2,8,2
16,Pastaza,114202,-1.066667,-78.001111,32,21,30,33,21,34,23,42,18,26,40,44
17,Pichincha,3228233,-0.218611,-78.509722,1245,921,916,930,1034,935,966,997,922,952,958,1081
24,Santa Elena,401178,-2.2267,-80.8583,119,123,131,113,110,139,143,130,103,117,119,105
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,168,144,150,138,167,148,148,159,149,177,142,140
21,Sucumbíos,230503,0.08472200000000002,-76.882778,54,49,49,53,56,41,57,60,53,59,57,47
18,Tungurahua,590600,-1.241667,-78.619722,286,250,223,178,225,261,240,237,262,223,228,239
19,Zamora Chinchipe,120416,-4.12,-78.8,28,29,23,29,36,21,37,40,26,17,21,25
