provincia,poblacion,lat,lng,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
Azuay,881394,-2.897414000000000,-79.00448100000000,326,298,303,315,304,282,304,325,325,287,269,254
Bolívar,209933,-1.605556000000000,-79.00305600000000,107,91,99,93,78,97,90,76,70,76,75,75
Carchi,186869,0.8121800000000000,-77.71633000000000,71,74,70,54,66,68,63,79,74,63,58,75
Cañar,281396,-2.733333000000000,-78.83333300000000,96,95,105,87,87,103,112,117,118,124,88,99
Chimborazo,524004,-1.674347000000000,-78.64829400000001,243,216,204,222,183,185,235,204,223,213,186,178
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,204,174,156,155,166,194,176,156,159,170,156,149
El Oro,715751,-3.266667000000000,-79.96666700000000,275,246,256,229,250,217,258,248,232,284,234,236
Esmeraldas,591083,1.050000000000000,-79.20000000000000,183,165,142,154,125,141,150,144,128,149,156,114
Galápagos,33042,-0.7999999999999999,-89.40000000000001,4,4,3,4,6,5,7,5,5,5,8,8
Guayas,4387434,-2.183333000000000,-79.88333299999999,1712,1471,1695,1617,1570,1520,1546,1628,1525,1558,1545,1597
Imbabura,476257,0.3626780000000000,-78.13066700000000,182,146,189,181,180,178,157,189,168,184,198,142
Loja,521154,-3.983333000000000,-79.20000000000000,241,230,202,201,203,174,194,173,196,218,181,175
Los Ríos,921763,-1.800000000000000,-79.53333300000000,371,314,367,324,317,334,343,353,313,316,316,283
Manabí,1562079,-1.056181000000000,-80.45521700000000,578,551,610,537,554,547,585,574,581,553,562,545
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,57,58,40,46,47,44,46,49,49,54,56,50
Napo,133705,-0.9890000000000000,-77.81590000000000,38,21,31,28,36,34,36,39,42,34,39,23
Orellana,161338,-0.4666670000000000,-76.96666700000000,52,38,41,37,43,40,36,40,42,42,38,37
Otro,0,0,0,8,6,2,4,2,6,3,3,10,2,8,2
Pastaza,114202,-1.066667000000000,-78.00111099999999,32,21,30,33,21,34,23,42,18,26,40,44
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1245,921,916,930,1034,935,966,997,922,952,958,1081
Santa Elena,401178,-2.226700000000000,-80.85830000000000,119,123,131,113,110,139,143,130,103,117,119,105
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,168,144,150,138,167,148,148,159,149,177,142,140
Sucumbíos,230503,0.08472200000000002,-76.88277800000000,54,49,49,53,56,41,57,60,53,59,57,47
Tungurahua,590600,-1.241667000000000,-78.61972200000000,286,250,223,178,225,261,240,237,262,223,228,239
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,28,29,23,29,36,21,37,40,26,17,21,25
