provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,17,25,18,15,16,16,24,9,11,21,18,16
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,8,3,3,4,2,5,1,5,0,3,2,1
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,18,22,16,12,19,21,16,10,22,16,13,8
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,17,10,13,14,13,9,8,14,15,14,11,9
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,5,0,3,4,3,2,1,6,3,5,4,1
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,0,7,2,3,5,2,3,3,5,2,1,6
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,122,108,133,111,142,110,126,112,134,137,114,121
Cotopaxi,488716,La Maná,56905,-0.9299999999999999,-79.22000000000000,14,8,16,10,18,7,14,11,6,2,12,7
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,80,58,71,100,106,93,75,45,35,39,28,28
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,4,4,8,5,8,5,11,3,3,3,4,7
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,31,23,29,27,20,11,14,11,11,3,5,2
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,18,22,15,25,22,11,16,14,11,7,5,3
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,8,9,10,5,10,4,6,5,1,0,1,0
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,5,4,8,5,4,2,5,4,4,5,4,2
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,7,5,9,17,0,7,12,7,8,4,12,6
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,1,1,4,2,2,1,2,4,1,2,3,1
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,3,3,1,2,2,1,2,1,0,0,3,0
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,2,3,2,0,0,0,1,1,1,1,1,0
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,22,12,14,11,16,14,12,14,9,17,10,13
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,11,14,12,13,13,8,11,13,11,8,9,12
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,1,1,2,1,1,6,2,1,0,0,1,2
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,122,94,155,133,117,103,137,135,99,137,121,118
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,2,1,0,0,1,2,1,4,0,1,2,3
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,21,29,34,32,30,31,23,25,22,25,22,22
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,7,11,10,10,18,10,9,12,9,4,16,6
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,4,4,0,1,1,6,1,7,4,5,2,2
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,25,14,31,26,25,27,28,32,26,19,28,21
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,10,12,13,6,11,19,6,5,11,16,6,11
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,8,8,3,6,9,12,9,5,5,3,13,8
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,5,8,7,3,7,2,2,4,6,6,3,3
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,64,66,72,48,64,85,75,68,99,63,73,57
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,4,6,5,3,4,2,5,2,5,5,4,1
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,26,29,26,34,26,22,22,17,29,18,22,24
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,4,3,4,4,5,5,4,4,4,7,4,3
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,7,12,8,10,11,7,2,5,6,2,8,7
