inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.83,-78.67,8,9,10,5,10,4,6,5,1,0,1,0
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7,-78.883333,5,4,8,5,4,2,5,4,4,5,4,2
07,El Oro,715751,0702,Arenillas,33473,-3.5500000000000003,-80.06,7,5,9,17,0,7,12,7,8,4,12,6
07,El Oro,715751,0703,Atahualpa,6436,-2.9000000000000004,-78.933333,1,1,4,2,2,1,2,4,1,2,3,1
07,El Oro,715751,0704,Balsas,9233,-3.7626000000000004,-79.8253,3,3,1,2,2,1,2,1,0,0,3,0
07,El Oro,715751,0705,Chilla,2379,-3.45,-79.58,2,3,2,0,0,0,1,1,1,1,1,0
07,El Oro,715751,0706,El Guabo,63645,-3.2388000000000003,-79.8292,22,12,14,11,16,14,12,14,9,17,10,13
07,El Oro,715751,0707,Huaquillas,60440,-3.48138,-80.243207,11,14,12,13,13,8,11,13,11,8,9,12
07,El Oro,715751,0714,Las Lajas,4963,-3.785,-80.061667,1,1,2,1,1,6,2,1,0,0,1,2
07,El Oro,715751,0701,Machala,289141,-3.2666670000000004,-79.966667,122,94,155,133,117,103,137,135,99,137,121,118
07,El Oro,715751,0708,Marcabelí,6259,-3.7860000000000005,-79.8978,2,1,0,0,1,2,1,4,0,1,2,3
07,El Oro,715751,0709,Pasaje,87723,-3.3269,-79.8049,21,29,34,32,30,31,23,25,22,25,22,22
07,El Oro,715751,0710,Piñas,30206,-3.6666670000000003,-79.65,7,11,10,10,18,10,9,12,9,4,16,6
07,El Oro,715751,0711,Portovelo,14028,-3.72,-79.62,4,4,0,1,1,6,1,7,4,5,2,2
07,El Oro,715751,0712,Santa Rosa,82171,-3.4522220000000003,-79.961667,25,14,31,26,25,27,28,32,26,19,28,21
07,El Oro,715751,0713,Zaruma,25654,-3.433333,-79.6,10,12,13,6,11,19,6,5,11,16,6,11
08,Esmeraldas,591083,0806,Atacames,55495,0.866667,-79.833333,8,8,3,6,9,12,9,5,5,3,13,8
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.25,-79,5,8,7,3,7,2,2,4,6,6,3,3
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.05,-79.2,64,66,72,48,64,85,75,68,99,63,73,57
08,Esmeraldas,591083,0803,Muisne,31106,0.6067,-80.0183,4,6,5,3,4,2,5,2,5,5,4,1
08,Esmeraldas,591083,0804,Quinindé,145879,0.33,-79.48,26,29,26,34,26,22,22,17,29,18,22,24
08,Esmeraldas,591083,0807,Rioverde,31475,1.0602,-79.4044,4,3,4,4,5,5,4,4,4,7,4,3
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.2658,-78.8414,7,12,8,10,11,7,2,5,6,2,8,7
20,Galápagos,33042,2002,Isabela,3073,-0.4724,-90.6811,0,1,0,0,0,0,2,0,0,0,0,0
20,Galápagos,33042,2001,San Cristóbal,9667,-0.7999999999999999,-89.4,3,2,0,1,2,0,3,1,2,1,0,0
20,Galápagos,33042,2003,Santa Cruz,20302,-0.633333,-90.366667,2,2,2,6,1,3,1,4,1,1,0,1
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.9166670000000001,-79.516667,5,6,4,6,3,1,8,2,10,7,8,2
09,Guayas,4387434,0903,Balao,26348,-2.91,-79.81,2,7,4,2,6,7,6,3,7,7,6,4
09,Guayas,4387434,0904,Balzar,60260,-1.36,-79.9,15,23,26,18,26,22,21,21,11,23,23,22
09,Guayas,4387434,0905,Colimes,26169,-1.55,-80.016667,6,5,12,11,10,6,7,8,7,4,5,13
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.2,-79.42,1,4,1,2,3,4,2,4,2,3,2,3
09,Guayas,4387434,0906,Daule,173684,-1.866667,-79.983333,39,37,60,46,55,47,27,46,42,36,40,35
09,Guayas,4387434,0907,Durán,315724,-2.1666670000000003,-79.833333,26,24,24,23,32,30,21,37,29,27,29,25
09,Guayas,4387434,0909,El Triunfo,59636,-2.33,-79.4,9,14,17,16,18,9,13,9,9,8,10,11
09,Guayas,4387434,0908,Empalme,86073,-1.046111,-79.633611,27,21,26,20,27,25,15,18,15,15,18,17
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.2,-79.17,2,6,1,2,2,2,4,0,3,0,3,1
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333,-79.883333,1338,1270,1609,1395,1388,1362,1330,1296,1188,1284,1321,1158
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.8833330000000001,-80.166667,4,5,3,4,3,1,6,3,3,3,0,1
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.8833330000000001,-80.083333,5,4,12,6,9,10,5,7,2,7,3,4
09,Guayas,4387434,0910,Milagro,199835,-2.126944,-79.599167,99,77,99,118,117,100,93,75,69,92,89,83
09,Guayas,4387434,0911,Naranjal,95052,-2.6728,-79.615,16,13,15,13,23,14,21,15,9,13,8,12
09,Guayas,4387434,0912,Naranjito,43862,-2.173,-79.4671,14,10,18,7,14,13,8,7,10,10,14,9
09,Guayas,4387434,0925,Nobol,26444,-1.9166710000000002,-80.011539,5,5,7,7,9,8,7,5,6,2,6,4
09,Guayas,4387434,0913,Palestina,18451,-1.6263,-79.977,6,6,6,5,6,4,3,6,4,3,3,6
09,Guayas,4387434,0914,Pedro Carbo,51802,-1.833333,-80.233333,10,13,18,14,11,18,22,14,14,17,20,17
09,Guayas,4387434,0921,Playas,59628,-2.62333,-80.3875,20,10,20,13,13,13,12,8,15,21,16,16
09,Guayas,4387434,0919,Salitre,65765,-1.829444,-79.815556,16,17,25,14,16,21,15,21,20,21,16,14
09,Guayas,4387434,0916,Samborondón,102404,-2.183333,-79.883333,13,18,11,20,15,14,21,22,15,9,13,12
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,-2.12,-79.69,30,18,7,20,20,15,12,7,10,16,8,8
09,Guayas,4387434,0918,Santa Lucía,45004,-1.7138890000000002,-79.985,13,9,17,14,9,20,11,11,16,14,13,7
09,Guayas,4387434,0922,Simón Bolivar,32224,-2.156667,-79.8875,4,5,6,6,2,7,9,5,7,6,4,5
10,Imbabura,476257,1002,Antonio Ante,54311,0.32,-78.21,18,21,12,18,12,21,11,17,14,16,17,10
10,Imbabura,476257,1003,Cotacachi,44203,0.3,-78.266667,13,17,12,11,11,16,15,17,10,7,13,12
10,Imbabura,476257,1001,Ibarra,221149,0.362678,-78.130667,112,100,95,90,77,88,95,101,64,91,76,90
10,Imbabura,476257,1004,Otavalo,125785,0.23333299999999998,-78.266667,36,39,45,35,44,28,53,30,49,28,30,36
10,Imbabura,476257,1005,Pimampiro,13269,0.39999999999999997,-77.97,8,3,9,8,4,5,4,2,5,4,6,5
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.52,-78.2,7,6,7,6,5,3,5,7,2,4,7,4
11,Loja,521154,1102,Calvas,29565,-4.32,-79.56,11,11,13,10,13,10,13,12,7,11,8,7
11,Loja,521154,1103,Catamayo,35961,-3.9800000000000004,-79.35,6,8,13,12,14,13,7,7,9,11,11,6
11,Loja,521154,1104,Celica,16160,-4.1025,-79.954444,4,6,2,4,6,4,5,8,3,6,3,1
11,Loja,521154,1105,Chaguarpamba,6620,-3.85,-79.65,2,1,2,2,3,3,3,3,2,1,4,2
11,Loja,521154,1106,Espíndola,14209,-4.583056,-79.426944,4,5,9,3,1,8,1,3,6,4,6,6
11,Loja,521154,1107,Gonzanamá,10953,-4.231389,-79.435278,7,4,6,5,7,7,2,0,2,3,2,4
11,Loja,521154,1101,Loja,274112,-3.9833330000000005,-79.2,104,105,127,112,114,92,119,111,98,109,105,85
11,Loja,521154,1108,Macará,20269,-4.383333,-79.95,6,6,8,6,7,4,2,6,3,5,3,4
11,Loja,521154,1116,Olmedo,4220,-3.934,-79.648,4,0,0,3,1,0,2,1,1,3,2,1
11,Loja,521154,1109,Paltas,23471,-4.050000000000001,-79.65,6,8,11,9,6,16,13,12,8,18,12,10
11,Loja,521154,1114,Pindal,10540,-4.1161,-80.1076,1,2,3,3,4,6,2,3,1,2,0,3
11,Loja,521154,1110,Puyango,15925,-3.87,-80.09,7,9,8,8,6,3,7,4,4,9,6,8
11,Loja,521154,1115,Quilanga,4197,-4.298,-79.3986,2,3,4,0,2,0,2,2,2,1,1,2
11,Loja,521154,1111,Saraguro,33506,-3.6253,-79.2411,18,13,12,11,12,10,11,9,17,11,13,9
11,Loja,521154,1112,Sozoranga,7121,-4.327778,-79.789722,2,0,0,2,3,2,2,0,4,4,5,2
11,Loja,521154,1113,Zapotillo,14325,-4.386360000000001,-80.2436,5,5,1,2,6,2,2,5,5,4,2,3
