inec_provincia_id,provincia,poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
01,Azuay,881394,-2.8974140000000004,-79.004481,293,285,292,296,316,286,329,268,276,288,290,257
02,Bolívar,209933,-1.6055560000000002,-79.003056,66,70,104,92,82,86,85,87,57,95,69,67
04,Carchi,186869,0.81218,-77.71633,65,59,70,77,60,64,63,77,53,67,50,62
03,Cañar,281396,-2.733333,-78.833333,95,104,121,129,99,93,98,120,98,104,89,76
06,Chimborazo,524004,-1.674347,-78.648294,226,205,222,202,236,205,208,197,220,236,189,190
05,Cotopaxi,488716,-0.933333,-78.616667,184,146,183,208,202,153,158,113,83,74,78,74
07,El Oro,715751,-3.2666670000000004,-79.966667,252,217,304,268,251,254,266,264,211,244,248,231
08,Esmeraldas,591083,1.05,-79.2,132,147,152,119,149,159,144,117,167,123,143,118
20,Galápagos,33042,-0.7999999999999999,-89.4,7,4,3,7,1,2,6,2,5,0,0,3
09,Guayas,4387434,-2.183333,-79.883333,1630,1531,1922,1697,1707,1632,1587,1556,1417,1560,1589,1417
10,Imbabura,476257,0.362678,-78.130667,200,195,193,178,162,172,176,193,162,164,157,165
11,Loja,521154,-3.9833330000000005,-79.2,188,184,219,191,200,193,199,185,175,208,182,158
12,Los Ríos,921763,-1.8,-79.533333,332,295,393,353,314,312,313,357,329,332,288,276
13,Manabí,1562079,-1.056181,-80.455217,589,570,649,579,550,486,547,588,495,524,573,508
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,47,38,48,40,42,57,57,46,44,39,32,34
15,Napo,133705,-0.989,-77.8159,37,46,35,28,35,21,38,29,32,37,26,31
22,Orellana,161338,-0.466667,-76.966667,43,30,45,33,44,22,33,38,35,39,32,36
88,Otro,0,0,0,3,2,7,3,6,9,3,9,3,2,1,3
16,Pastaza,114202,-1.066667,-78.001111,25,27,30,31,25,19,25,26,22,28,26,26
17,Pichincha,3228233,-0.218611,-78.509722,1036,934,976,950,935,874,979,890,878,984,906,1003
24,Santa Elena,401178,-2.2267,-80.8583,127,112,183,137,121,128,114,94,108,103,112,85
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,154,131,165,119,156,151,143,130,158,139,145,142
21,Sucumbíos,230503,0.08472200000000002,-76.882778,52,64,47,54,65,48,40,50,36,59,60,50
18,Tungurahua,590600,-1.241667,-78.619722,234,211,237,204,225,256,227,198,198,181,163,185
19,Zamora Chinchipe,120416,-4.12,-78.8,11,38,36,24,35,27,34,36,31,29,32,21
