inec_provincia_id,provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,-2.897414000000000,-79.00448100000000,319,620,949,1279,1629,1940,2302,2598,2895,3210,3531,3820
02,Bolívar,-1.605556000000000,-79.00305600000000,51,105,191,266,335,407,474,549,597,680,736,784
04,Carchi,0.8121800000000000,-77.71633000000000,53,106,168,237,286,334,383,449,492,549,584,640
03,Cañar,-2.733333000000000,-78.83333300000000,81,173,281,388,467,545,625,722,810,901,972,1038
06,Chimborazo,-1.674347000000000,-78.64829400000001,209,413,623,816,1042,1229,1426,1608,1817,2039,2219,2398
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,160,288,445,622,810,943,1084,1177,1248,1307,1366,1415
07,El Oro,-3.266667000000000,-79.96666700000000,238,442,729,983,1220,1455,1702,1963,2164,2403,2639,2856
08,Esmeraldas,1.050000000000000,-79.20000000000000,118,250,375,483,609,744,863,968,1122,1226,1353,1456
20,Galápagos,-0.8000000000000000,-89.40000000000001,5,10,12,19,22,25,31,36,39,41,41,42
09,Guayas,-2.183333000000000,-79.88333299999999,1725,3352,5400,7202,9039,10812,12511,14161,15684,17332,19010,20499
10,Imbabura,0.3626780000000000,-78.13066700000000,194,380,560,728,881,1042,1225,1399,1543,1693,1842,1999
11,Loja,-3.983333000000000,-79.20000000000000,189,375,594,786,991,1171,1364,1550,1722,1924,2107,2260
12,Los Ríos,-1.800000000000000,-79.53333300000000,301,561,906,1215,1484,1746,2037,2357,2631,2937,3204,3460
13,Manabí,-1.056181000000000,-80.45521700000000,543,1065,1657,2187,2683,3120,3614,4152,4610,5088,5622,6085
14,Morona Santiago,-2.300000000000000,-78.11666700000001,40,79,117,150,183,237,283,324,365,396,424,450
15,Napo,-0.9890000000000000,-77.81590000000000,34,74,103,127,162,179,211,237,265,297,320,349
22,Orellana,-0.4666670000000000,-76.96666700000000,33,59,103,131,164,181,211,245,271,306,333,363
88,Otro,0,0,0,0,1,1,2,2,2,2,2,2,2,2
16,Pastaza,-1.066667000000000,-78.00111099999999,23,43,69,101,124,139,166,193,212,232,255,277
17,Pichincha,-0.2186110000000000,-78.50972200000000,1128,2132,3217,4265,5302,6284,7349,8334,9312,10391,11396,12496
24,Santa Elena,-2.226700000000000,-80.85830000000000,123,234,395,521,616,726,831,912,1009,1102,1194,1276
23,Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,170,319,508,646,823,993,1148,1307,1477,1637,1797,1953
21,Sucumbíos,0.08472200000000001,-76.88277800000000,49,109,153,197,252,303,343,392,429,484,538,583
18,Tungurahua,-1.241667000000000,-78.61972200000000,238,450,697,907,1130,1383,1605,1801,1991,2165,2317,2501
19,Zamora Chinchipe,-4.120000000000000,-78.80000000000000,4,34,56,71,90,115,137,161,183,207,227,245
