provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,1,7,10,15,21,27,35,41,49,51,58,62
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,6,14,17,24,29,32,34,36,39,45,47,52
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,238,466,730,988,1265,1503,1783,2020,2248,2495,2741,2964
Azuay,El Pan,-2.786111000000000,-78.66500000000001,0,1,3,5,5,5,5,5,6,7,7,8
Azuay,Girón,-3.159028000000000,-79.14756800000001,7,15,25,30,34,46,49,59,70,74,79,87
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,0,2,2,2,4,5,6,6,6,7,8,8
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,21,38,48,70,88,107,131,137,150,161,176,188
Azuay,Nabón,-3.336060000000000,-79.06368000000001,5,9,12,20,28,32,35,40,43,47,56,61
Azuay,Oña,-3.469640000000000,-79.15431000000000,4,5,9,10,11,12,14,15,16,19,23,25
Azuay,Paute,-2.781800000000000,-78.76000000000001,10,12,22,26,39,49,54,64,78,86,96,104
Azuay,Pucará,-3.233780000000000,-79.46120000000001,6,8,10,10,12,18,23,28,29,32,36,38
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,2,4,4,5,7,8,11,14,15,17,18,20
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,7,15,22,25,30,33,48,52,56,65,73,81
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,2,3,4,5,5,6,11,11,13,13,14,16
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,10,21,31,44,51,57,63,70,77,91,99,106
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,5,10,15,17,25,27,30,33,35,42,44,46
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,6,10,20,26,31,39,42,51,54,63,71,75
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,2,9,14,18,22,25,32,37,43,50,54,57
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,2,4,10,14,17,21,24,29,30,38,40,41
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,26,54,101,144,187,232,272,316,342,379,411,439
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,1,1,2,5,9,10,12,13,13,14,14,17
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,9,17,29,42,44,53,62,70,80,94,102,109
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,4,6,13,15,20,25,27,32,35,39,42,47
Carchi,Espejo,0.6210000000000000,-77.94000000000000,5,8,12,16,19,22,25,31,34,38,40,44
