provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
Azuay,-2.897414000000000,-79.00448100000000,60,147,221,291,357,446,518,590,669,740,804,881,964,1048,1116,1202,1273,1363,1432,1512,1586,1662,1742,1814,1890,1958,2034,2108,2195,2288,2353,2423,2492,2556,2622,2684,2766,2831,2901,2978,3041,3107,3182,3252,3331,3409,3476,3560,3628,3683,3764,3814
Bolívar,-1.605556000000000,-79.00305600000000,13,22,38,45,54,65,79,93,112,141,158,177,192,208,226,251,263,276,294,308,327,343,365,382,394,409,420,432,453,468,485,500,520,535,552,562,584,591,597,615,633,656,672,687,698,708,723,736,748,759,773,781
Carchi,0.8121800000000000,-77.71633000000000,7,22,36,47,63,78,93,101,112,129,147,158,172,190,210,225,235,244,249,264,279,289,304,315,326,337,345,355,369,379,396,413,427,443,454,465,471,481,492,508,519,532,546,553,562,566,581,589,604,617,629,638
Cañar,-2.733333000000000,-78.83333300000000,19,34,55,70,92,114,144,165,188,203,234,259,280,306,335,365,385,401,419,443,459,476,489,509,528,550,562,581,602,620,637,657,676,702,729,749,768,779,814,827,849,871,891,910,921,945,962,977,990,1018,1029,1035
Chimborazo,-1.674347000000000,-78.64829400000001,56,108,146,185,230,283,328,376,429,473,521,574,625,670,717,758,801,849,907,955,998,1046,1087,1138,1185,1224,1259,1302,1362,1406,1445,1486,1527,1559,1624,1681,1728,1767,1811,1867,1917,1973,2009,2061,2105,2143,2179,2229,2273,2316,2350,2383
Cotopaxi,-0.9333330000000000,-78.61666700000001,37,73,113,149,179,210,238,276,308,335,369,408,458,500,535,582,618,665,710,755,789,832,863,892,914,955,989,1019,1055,1077,1100,1122,1143,1164,1185,1205,1217,1228,1249,1261,1273,1284,1298,1312,1334,1345,1356,1367,1380,1392,1405,1411
El Oro,-3.266667000000000,-79.96666700000000,64,108,167,209,249,300,347,412,485,550,615,680,734,782,839,900,971,1016,1067,1122,1180,1241,1291,1348,1395,1460,1517,1577,1626,1684,1734,1801,1866,1924,1972,2022,2062,2115,2163,2229,2274,2333,2372,2433,2479,2537,2597,2655,2704,2761,2816,2844
Esmeraldas,1.050000000000000,-79.20000000000000,23,44,74,103,132,162,195,231,268,302,329,353,382,413,434,456,477,502,528,555,590,620,658,681,719,745,776,798,833,855,879,900,923,944,980,1022,1052,1083,1120,1147,1177,1193,1213,1244,1268,1305,1329,1364,1395,1409,1436,1450
Galápagos,-0.8000000000000000,-89.40000000000001,1,1,2,3,7,8,8,8,9,9,9,10,11,13,14,18,18,18,20,20,21,22,23,24,24,25,26,27,28,30,30,32,33,35,35,36,37,38,38,38,40,40,40,40,40,40,40,40,41,41,41,41
Guayas,-2.183333000000000,-79.88333299999999,392,812,1197,1564,1943,2350,2770,3193,3625,4094,4559,5005,5480,5940,6368,6795,7147,7566,7987,8405,8816,9235,9665,10104,10490,10863,11220,11641,11994,12393,12814,13181,13545,13887,14257,14612,14957,15327,15682,16072,16423,16804,17160,17547,17968,18336,18726,19094,19451,19791,20150,20444
