zona,region,inec_provincia_id,provincia,poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,lat,lng,created_at
3,sierra,18,Tungurahua,590600,17,17,0,0,0,-1.241667000000000,-78.61972200000000,20/01/2021
9,sierra,17,Pichincha,3228233,1645,1645,0,0,0,-0.2186110000000000,-78.50972200000000,21/01/2021
8,costa,09,Guayas,4387434,1327,1327,0,0,0,-2.183333000000000,-79.88333299999999,21/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,21/01/2021
3,sierra,06,Chimborazo,524004,1,1,0,0,0,-1.674347000000000,-78.64829400000001,21/01/2021
4,costa,13,Manabí,1562079,1,1,0,0,0,-1.056181000000000,-80.45521700000000,21/01/2021
9,sierra,17,Pichincha,3228233,1654,1654,0,0,0,-0.2186110000000000,-78.50972200000000,22/01/2021
8,costa,09,Guayas,4387434,1327,1327,0,0,0,-2.183333000000000,-79.88333299999999,22/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,22/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,22/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,22/01/2021
3,sierra,06,Chimborazo,524004,1,1,0,0,0,-1.674347000000000,-78.64829400000001,22/01/2021
4,costa,13,Manabí,1562079,1,1,0,0,0,-1.056181000000000,-80.45521700000000,22/01/2021
9,sierra,17,Pichincha,3228233,1691,1691,0,0,0,-0.2186110000000000,-78.50972200000000,23/01/2021
8,costa,09,Guayas,4387434,1327,1327,0,0,0,-2.183333000000000,-79.88333299999999,23/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,23/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,23/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,23/01/2021
3,sierra,06,Chimborazo,524004,1,1,0,0,0,-1.674347000000000,-78.64829400000001,23/01/2021
4,costa,13,Manabí,1562079,1,1,0,0,0,-1.056181000000000,-80.45521700000000,23/01/2021
9,sierra,17,Pichincha,3228233,1691,1691,0,0,0,-0.2186110000000000,-78.50972200000000,24/01/2021
8,costa,09,Guayas,4387434,1327,1327,0,0,0,-2.183333000000000,-79.88333299999999,24/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,24/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,24/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,24/01/2021
3,sierra,06,Chimborazo,524004,1,1,0,0,0,-1.674347000000000,-78.64829400000001,24/01/2021
4,costa,13,Manabí,1562079,1,1,0,0,0,-1.056181000000000,-80.45521700000000,24/01/2021
9,sierra,17,Pichincha,3228233,1691,1691,0,0,0,-0.2186110000000000,-78.50972200000000,25/01/2021
8,costa,09,Guayas,4387434,1328,1328,0,0,0,-2.183333000000000,-79.88333299999999,25/01/2021
4,costa,13,Manabí,1562079,988,988,0,0,0,-1.056181000000000,-80.45521700000000,25/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,25/01/2021
3,sierra,06,Chimborazo,524004,279,279,0,0,0,-1.674347000000000,-78.64829400000001,25/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,25/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,25/01/2021
1,costa,08,Esmeraldas,591083,2,2,0,0,0,1.050000000000000,-79.20000000000000,25/01/2021
9,sierra,17,Pichincha,3228233,1691,1691,0,0,0,-0.2186110000000000,-78.50972200000000,26/01/2021
8,costa,09,Guayas,4387434,1328,1328,0,0,0,-2.183333000000000,-79.88333299999999,26/01/2021
4,costa,13,Manabí,1562079,988,988,0,0,0,-1.056181000000000,-80.45521700000000,26/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,26/01/2021
1,sierra,10,Imbabura,476257,320,320,0,0,0,0.3626780000000000,-78.13066700000000,26/01/2021
3,sierra,06,Chimborazo,524004,279,279,0,0,0,-1.674347000000000,-78.64829400000001,26/01/2021
1,costa,08,Esmeraldas,591083,236,236,0,0,0,1.050000000000000,-79.20000000000000,26/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,26/01/2021
2,amazonia,21,Sucumbíos,230503,108,108,0,0,0,0.08472200000000001,-76.88277800000000,26/01/2021
1,sierra,04,Carchi,186869,98,98,0,0,0,0.8121800000000000,-77.71633000000000,26/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,26/01/2021
9,sierra,17,Pichincha,3228233,1691,1691,0,0,0,-0.2186110000000000,-78.50972200000000,27/01/2021
8,costa,09,Guayas,4387434,1328,1328,0,0,0,-2.183333000000000,-79.88333299999999,27/01/2021
4,costa,13,Manabí,1562079,988,988,0,0,0,-1.056181000000000,-80.45521700000000,27/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,27/01/2021
5,costa,12,Los Ríos,921763,416,416,0,0,0,-1.800000000000000,-79.53333300000000,27/01/2021
1,sierra,10,Imbabura,476257,320,320,0,0,0,0.3626780000000000,-78.13066700000000,27/01/2021
4,costa,23,Sto. Domingo Tsáchilas,511151,288,288,0,0,0,-0.2541670000000000,-79.17194400000000,27/01/2021
3,sierra,06,Chimborazo,524004,279,279,0,0,0,-1.674347000000000,-78.64829400000001,27/01/2021
1,costa,08,Esmeraldas,591083,236,236,0,0,0,1.050000000000000,-79.20000000000000,27/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,27/01/2021
2,amazonia,21,Sucumbíos,230503,108,108,0,0,0,0.08472200000000001,-76.88277800000000,27/01/2021
1,sierra,04,Carchi,186869,98,98,0,0,0,0.8121800000000000,-77.71633000000000,27/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,27/01/2021
9,sierra,17,Pichincha,3228233,1691,1691,0,0,0,-0.2186110000000000,-78.50972200000000,28/01/2021
8,costa,09,Guayas,4387434,1328,1328,0,0,0,-2.183333000000000,-79.88333299999999,28/01/2021
4,costa,13,Manabí,1562079,988,988,0,0,0,-1.056181000000000,-80.45521700000000,28/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,28/01/2021
5,costa,12,Los Ríos,921763,416,416,0,0,0,-1.800000000000000,-79.53333300000000,28/01/2021
1,sierra,10,Imbabura,476257,324,324,0,0,0,0.3626780000000000,-78.13066700000000,28/01/2021
4,costa,23,Sto. Domingo Tsáchilas,511151,288,288,0,0,0,-0.2541670000000000,-79.17194400000000,28/01/2021
3,sierra,06,Chimborazo,524004,279,279,0,0,0,-1.674347000000000,-78.64829400000001,28/01/2021
1,costa,08,Esmeraldas,591083,236,236,0,0,0,1.050000000000000,-79.20000000000000,28/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,28/01/2021
3,sierra,02,Bolívar,209933,109,109,0,0,0,-1.605556000000000,-79.00305600000000,28/01/2021
5,costa,24,Santa Elena,401178,109,109,0,0,0,-2.226700000000000,-80.85830000000000,28/01/2021
2,amazonia,21,Sucumbíos,230503,108,108,0,0,0,0.08472200000000001,-76.88277800000000,28/01/2021
1,sierra,04,Carchi,186869,98,98,0,0,0,0.8121800000000000,-77.71633000000000,28/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,28/01/2021
9,sierra,17,Pichincha,3228233,1776,1776,0,0,0,-0.2186110000000000,-78.50972200000000,29/01/2021
8,costa,09,Guayas,4387434,1532,1532,0,0,0,-2.183333000000000,-79.88333299999999,29/01/2021
4,costa,13,Manabí,1562079,988,988,0,0,0,-1.056181000000000,-80.45521700000000,29/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,29/01/2021
5,costa,12,Los Ríos,921763,416,416,0,0,0,-1.800000000000000,-79.53333300000000,29/01/2021
1,sierra,10,Imbabura,476257,324,324,0,0,0,0.3626780000000000,-78.13066700000000,29/01/2021
4,costa,23,Sto. Domingo Tsáchilas,511151,288,288,0,0,0,-0.2541670000000000,-79.17194400000000,29/01/2021
3,sierra,06,Chimborazo,524004,279,279,0,0,0,-1.674347000000000,-78.64829400000001,29/01/2021
1,costa,08,Esmeraldas,591083,236,236,0,0,0,1.050000000000000,-79.20000000000000,29/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,29/01/2021
3,sierra,02,Bolívar,209933,109,109,0,0,0,-1.605556000000000,-79.00305600000000,29/01/2021
5,costa,24,Santa Elena,401178,109,109,0,0,0,-2.226700000000000,-80.85830000000000,29/01/2021
2,amazonia,21,Sucumbíos,230503,108,108,0,0,0,0.08472200000000001,-76.88277800000000,29/01/2021
1,sierra,04,Carchi,186869,98,98,0,0,0,0.8121800000000000,-77.71633000000000,29/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,29/01/2021
9,sierra,17,Pichincha,3228233,1776,1776,0,0,0,-0.2186110000000000,-78.50972200000000,30/01/2021
8,costa,09,Guayas,4387434,1532,1532,0,0,0,-2.183333000000000,-79.88333299999999,30/01/2021
4,costa,13,Manabí,1562079,988,988,0,0,0,-1.056181000000000,-80.45521700000000,30/01/2021
6,sierra,01,Azuay,881394,663,663,0,0,0,-2.897414000000000,-79.00448100000000,30/01/2021
5,costa,12,Los Ríos,921763,416,416,0,0,0,-1.800000000000000,-79.53333300000000,30/01/2021
1,sierra,10,Imbabura,476257,324,324,0,0,0,0.3626780000000000,-78.13066700000000,30/01/2021
4,costa,23,Sto. Domingo Tsáchilas,511151,288,288,0,0,0,-0.2541670000000000,-79.17194400000000,30/01/2021
3,sierra,06,Chimborazo,524004,279,279,0,0,0,-1.674347000000000,-78.64829400000001,30/01/2021
1,costa,08,Esmeraldas,591083,236,236,0,0,0,1.050000000000000,-79.20000000000000,30/01/2021
6,sierra,03,Cañar,281396,131,131,0,0,0,-2.733333000000000,-78.83333300000000,30/01/2021
3,sierra,02,Bolívar,209933,109,109,0,0,0,-1.605556000000000,-79.00305600000000,30/01/2021
5,costa,24,Santa Elena,401178,109,109,0,0,0,-2.226700000000000,-80.85830000000000,30/01/2021
2,amazonia,21,Sucumbíos,230503,108,108,0,0,0,0.08472200000000001,-76.88277800000000,30/01/2021
1,sierra,04,Carchi,186869,98,98,0,0,0,0.8121800000000000,-77.71633000000000,30/01/2021
3,sierra,18,Tungurahua,590600,34,34,0,0,0,-1.241667000000000,-78.61972200000000,30/01/2021
9,sierra,17,Pichincha,3228233,1776,1776,0,0,0,-0.2186110000000000,-78.50972200000000,31/01/2021
