inec_provincia_id,provincia,total,acumuladas,lat,lng,created_at
01,Azuay,12,12,-2.897414000000000,-79.00448100000000,01/01/2019
02,Bolívar,5,5,-1.605556000000000,-79.00305600000000,01/01/2019
04,Carchi,6,6,0.8121800000000000,-77.71633000000000,01/01/2019
03,Cañar,2,2,-2.733333000000000,-78.83333300000000,01/01/2019
06,Chimborazo,7,7,-1.674347000000000,-78.64829400000001,01/01/2019
05,Cotopaxi,10,10,-0.9333330000000000,-78.61666700000001,01/01/2019
07,El Oro,8,8,-3.266667000000000,-79.96666700000000,01/01/2019
08,Esmeraldas,4,4,1.050000000000000,-79.20000000000000,01/01/2019
20,Galápagos,1,1,-0.7999999999999999,-89.40000000000001,01/01/2019
09,Guayas,54,54,-2.183333000000000,-79.88333299999999,01/01/2019
10,Imbabura,10,10,0.3626780000000000,-78.13066700000000,01/01/2019
11,Loja,7,7,-3.983333000000000,-79.20000000000000,01/01/2019
12,Los Ríos,12,12,-1.800000000000000,-79.53333300000000,01/01/2019
13,Manabí,29,29,-1.056181000000000,-80.45521700000000,01/01/2019
14,Morona Santiago,0,0,-2.300000000000000,-78.11666700000001,01/01/2019
15,Napo,1,1,-0.9890000000000000,-77.81590000000000,01/01/2019
22,Orellana,1,1,-0.4666670000000000,-76.96666700000000,01/01/2019
16,Pastaza,2,2,-1.066667000000000,-78.00111099999999,01/01/2019
17,Pichincha,40,40,-0.2186110000000000,-78.50972200000000,01/01/2019
24,Santa Elena,6,6,-2.226700000000000,-80.85830000000000,01/01/2019
23,Sto. Domingo Tsáchilas,12,12,-0.2541670000000000,-79.17194400000000,01/01/2019
21,Sucumbíos,6,6,0.08472200000000002,-76.88277800000000,01/01/2019
18,Tungurahua,9,9,-1.241667000000000,-78.61972200000000,01/01/2019
19,Zamora Chinchipe,1,1,-4.120000000000000,-78.80000000000000,01/01/2019
01,Azuay,18,30,-2.897414000000000,-79.00448100000000,02/01/2019
02,Bolívar,2,7,-1.605556000000000,-79.00305600000000,02/01/2019
04,Carchi,1,7,0.8121800000000000,-77.71633000000000,02/01/2019
03,Cañar,5,7,-2.733333000000000,-78.83333300000000,02/01/2019
06,Chimborazo,7,14,-1.674347000000000,-78.64829400000001,02/01/2019
05,Cotopaxi,5,15,-0.9333330000000000,-78.61666700000001,02/01/2019
07,El Oro,7,15,-3.266667000000000,-79.96666700000000,02/01/2019
08,Esmeraldas,5,9,1.050000000000000,-79.20000000000000,02/01/2019
20,Galápagos,0,1,-0.7999999999999999,-89.40000000000001,02/01/2019
09,Guayas,79,133,-2.183333000000000,-79.88333299999999,02/01/2019
10,Imbabura,8,18,0.3626780000000000,-78.13066700000000,02/01/2019
11,Loja,7,14,-3.983333000000000,-79.20000000000000,02/01/2019
12,Los Ríos,10,22,-1.800000000000000,-79.53333300000000,02/01/2019
13,Manabí,18,47,-1.056181000000000,-80.45521700000000,02/01/2019
14,Morona Santiago,2,2,-2.300000000000000,-78.11666700000001,02/01/2019
15,Napo,3,4,-0.9890000000000000,-77.81590000000000,02/01/2019
22,Orellana,1,2,-0.4666670000000000,-76.96666700000000,02/01/2019
16,Pastaza,0,2,-1.066667000000000,-78.00111099999999,02/01/2019
17,Pichincha,38,78,-0.2186110000000000,-78.50972200000000,02/01/2019
24,Santa Elena,4,10,-2.226700000000000,-80.85830000000000,02/01/2019
23,Sto. Domingo Tsáchilas,6,18,-0.2541670000000000,-79.17194400000000,02/01/2019
21,Sucumbíos,1,7,0.08472200000000002,-76.88277800000000,02/01/2019
18,Tungurahua,7,16,-1.241667000000000,-78.61972200000000,02/01/2019
19,Zamora Chinchipe,0,1,-4.120000000000000,-78.80000000000000,02/01/2019
01,Azuay,10,40,-2.897414000000000,-79.00448100000000,03/01/2019
02,Bolívar,1,8,-1.605556000000000,-79.00305600000000,03/01/2019
04,Carchi,2,9,0.8121800000000000,-77.71633000000000,03/01/2019
03,Cañar,1,8,-2.733333000000000,-78.83333300000000,03/01/2019
06,Chimborazo,8,22,-1.674347000000000,-78.64829400000001,03/01/2019
05,Cotopaxi,5,20,-0.9333330000000000,-78.61666700000001,03/01/2019
07,El Oro,4,19,-3.266667000000000,-79.96666700000000,03/01/2019
08,Esmeraldas,10,19,1.050000000000000,-79.20000000000000,03/01/2019
20,Galápagos,0,1,-0.7999999999999999,-89.40000000000001,03/01/2019
09,Guayas,53,186,-2.183333000000000,-79.88333299999999,03/01/2019
10,Imbabura,8,26,0.3626780000000000,-78.13066700000000,03/01/2019
11,Loja,10,24,-3.983333000000000,-79.20000000000000,03/01/2019
12,Los Ríos,8,30,-1.800000000000000,-79.53333300000000,03/01/2019
13,Manabí,11,58,-1.056181000000000,-80.45521700000000,03/01/2019
14,Morona Santiago,0,2,-2.300000000000000,-78.11666700000001,03/01/2019
15,Napo,1,5,-0.9890000000000000,-77.81590000000000,03/01/2019
22,Orellana,0,2,-0.4666670000000000,-76.96666700000000,03/01/2019
16,Pastaza,0,2,-1.066667000000000,-78.00111099999999,03/01/2019
17,Pichincha,48,126,-0.2186110000000000,-78.50972200000000,03/01/2019
24,Santa Elena,3,13,-2.226700000000000,-80.85830000000000,03/01/2019
23,Sto. Domingo Tsáchilas,10,28,-0.2541670000000000,-79.17194400000000,03/01/2019
21,Sucumbíos,3,10,0.08472200000000002,-76.88277800000000,03/01/2019
18,Tungurahua,10,26,-1.241667000000000,-78.61972200000000,03/01/2019
19,Zamora Chinchipe,0,1,-4.120000000000000,-78.80000000000000,03/01/2019
01,Azuay,14,54,-2.897414000000000,-79.00448100000000,04/01/2019
02,Bolívar,4,12,-1.605556000000000,-79.00305600000000,04/01/2019
04,Carchi,0,9,0.8121800000000000,-77.71633000000000,04/01/2019
03,Cañar,4,12,-2.733333000000000,-78.83333300000000,04/01/2019
06,Chimborazo,7,29,-1.674347000000000,-78.64829400000001,04/01/2019
05,Cotopaxi,5,25,-0.9333330000000000,-78.61666700000001,04/01/2019
07,El Oro,13,32,-3.266667000000000,-79.96666700000000,04/01/2019
08,Esmeraldas,6,25,1.050000000000000,-79.20000000000000,04/01/2019
20,Galápagos,0,1,-0.7999999999999999,-89.40000000000001,04/01/2019
09,Guayas,46,232,-2.183333000000000,-79.88333299999999,04/01/2019
10,Imbabura,7,33,0.3626780000000000,-78.13066700000000,04/01/2019
11,Loja,7,31,-3.983333000000000,-79.20000000000000,04/01/2019
12,Los Ríos,14,44,-1.800000000000000,-79.53333300000000,04/01/2019
13,Manabí,21,79,-1.056181000000000,-80.45521700000000,04/01/2019
14,Morona Santiago,3,5,-2.300000000000000,-78.11666700000001,04/01/2019
15,Napo,4,9,-0.9890000000000000,-77.81590000000000,04/01/2019
22,Orellana,1,3,-0.4666670000000000,-76.96666700000000,04/01/2019
16,Pastaza,1,3,-1.066667000000000,-78.00111099999999,04/01/2019
17,Pichincha,39,165,-0.2186110000000000,-78.50972200000000,04/01/2019
24,Santa Elena,4,17,-2.226700000000000,-80.85830000000000,04/01/2019
23,Sto. Domingo Tsáchilas,7,35,-0.2541670000000000,-79.17194400000000,04/01/2019
21,Sucumbíos,2,12,0.08472200000000002,-76.88277800000000,04/01/2019
18,Tungurahua,9,35,-1.241667000000000,-78.61972200000000,04/01/2019
19,Zamora Chinchipe,0,1,-4.120000000000000,-78.80000000000000,04/01/2019
01,Azuay,6,60,-2.897414000000000,-79.00448100000000,05/01/2019
02,Bolívar,5,17,-1.605556000000000,-79.00305600000000,05/01/2019
04,Carchi,1,10,0.8121800000000000,-77.71633000000000,05/01/2019
03,Cañar,3,15,-2.733333000000000,-78.83333300000000,05/01/2019
06,Chimborazo,5,34,-1.674347000000000,-78.64829400000001,05/01/2019
05,Cotopaxi,7,32,-0.9333330000000000,-78.61666700000001,05/01/2019
07,El Oro,14,46,-3.266667000000000,-79.96666700000000,05/01/2019
08,Esmeraldas,7,32,1.050000000000000,-79.20000000000000,05/01/2019
20,Galápagos,0,1,-0.7999999999999999,-89.40000000000001,05/01/2019
09,Guayas,55,287,-2.183333000000000,-79.88333299999999,05/01/2019
10,Imbabura,5,38,0.3626780000000000,-78.13066700000000,05/01/2019
11,Loja,5,36,-3.983333000000000,-79.20000000000000,05/01/2019
12,Los Ríos,10,54,-1.800000000000000,-79.53333300000000,05/01/2019
13,Manabí,16,95,-1.056181000000000,-80.45521700000000,05/01/2019
14,Morona Santiago,1,6,-2.300000000000000,-78.11666700000001,05/01/2019
15,Napo,1,10,-0.9890000000000000,-77.81590000000000,05/01/2019
22,Orellana,0,3,-0.4666670000000000,-76.96666700000000,05/01/2019
16,Pastaza,0,3,-1.066667000000000,-78.00111099999999,05/01/2019
17,Pichincha,40,205,-0.2186110000000000,-78.50972200000000,05/01/2019
24,Santa Elena,3,20,-2.226700000000000,-80.85830000000000,05/01/2019
