inec_provincia_id,provincia,total,acumuladas,lat,lng,semana
01,Azuay,71,71,-2.897414000000000,-79.00448100000000,1
02,Bolívar,23,23,-1.605556000000000,-79.00305600000000,1
04,Carchi,15,15,0.8121800000000000,-77.71633000000000,1
03,Cañar,16,16,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,41,41,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,42,42,-0.9333330000000000,-78.61666700000001,1
07,El Oro,59,59,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,39,39,1.050000000000000,-79.20000000000000,1
20,Galápagos,1,1,-0.7999999999999999,-89.40000000000001,1
09,Guayas,367,367,-2.183333000000000,-79.88333299999999,1
10,Imbabura,45,45,0.3626780000000000,-78.13066700000000,1
11,Loja,44,44,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,66,66,-1.800000000000000,-79.53333300000000,1
13,Manabí,116,116,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,7,7,-2.300000000000000,-78.11666700000001,1
15,Napo,16,16,-0.9890000000000000,-77.81590000000000,1
22,Orellana,3,3,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,3,3,-1.066667000000000,-78.00111099999999,1
17,Pichincha,237,237,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,29,29,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,49,49,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,15,15,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,58,58,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,4,4,-4.120000000000000,-78.80000000000000,1
01,Azuay,89,160,-2.897414000000000,-79.00448100000000,2
02,Bolívar,8,31,-1.605556000000000,-79.00305600000000,2
04,Carchi,15,30,0.8121800000000000,-77.71633000000000,2
03,Cañar,26,42,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,51,92,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,36,78,-0.9333330000000000,-78.61666700000001,2
07,El Oro,60,119,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,35,74,1.050000000000000,-79.20000000000000,2
20,Galápagos,2,3,-0.7999999999999999,-89.40000000000001,2
09,Guayas,458,825,-2.183333000000000,-79.88333299999999,2
10,Imbabura,46,91,0.3626780000000000,-78.13066700000000,2
11,Loja,38,82,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,83,149,-1.800000000000000,-79.53333300000000,2
13,Manabí,128,244,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,6,13,-2.300000000000000,-78.11666700000001,2
15,Napo,5,21,-0.9890000000000000,-77.81590000000000,2
22,Orellana,7,10,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,4,7,-1.066667000000000,-78.00111099999999,2
17,Pichincha,292,529,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,21,50,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,57,106,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,14,29,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,47,105,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,6,10,-4.120000000000000,-78.80000000000000,2
01,Azuay,78,238,-2.897414000000000,-79.00448100000000,3
02,Bolívar,18,49,-1.605556000000000,-79.00305600000000,3
04,Carchi,14,44,0.8121800000000000,-77.71633000000000,3
03,Cañar,19,61,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,46,138,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,37,115,-0.9333330000000000,-78.61666700000001,3
07,El Oro,60,179,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,35,109,1.050000000000000,-79.20000000000000,3
20,Galápagos,1,4,-0.7999999999999999,-89.40000000000001,3
09,Guayas,420,1245,-2.183333000000000,-79.88333299999999,3
10,Imbabura,46,137,0.3626780000000000,-78.13066700000000,3
11,Loja,35,117,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,62,211,-1.800000000000000,-79.53333300000000,3
13,Manabí,157,401,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,9,22,-2.300000000000000,-78.11666700000001,3
15,Napo,6,27,-0.9890000000000000,-77.81590000000000,3
22,Orellana,7,17,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,5,12,-1.066667000000000,-78.00111099999999,3
17,Pichincha,291,820,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,26,76,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,53,159,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,12,41,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,56,161,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,6,16,-4.120000000000000,-78.80000000000000,3
01,Azuay,83,321,-2.897414000000000,-79.00448100000000,4
02,Bolívar,19,68,-1.605556000000000,-79.00305600000000,4
04,Carchi,16,60,0.8121800000000000,-77.71633000000000,4
03,Cañar,22,83,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,35,173,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,31,146,-0.9333330000000000,-78.61666700000001,4
07,El Oro,53,232,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,38,147,1.050000000000000,-79.20000000000000,4
20,Galápagos,0,4,-0.7999999999999999,-89.40000000000001,4
09,Guayas,475,1720,-2.183333000000000,-79.88333299999999,4
10,Imbabura,37,174,0.3626780000000000,-78.13066700000000,4
11,Loja,54,171,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,74,285,-1.800000000000000,-79.53333300000000,4
13,Manabí,132,533,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,10,32,-2.300000000000000,-78.11666700000001,4
15,Napo,2,29,-0.9890000000000000,-77.81590000000000,4
22,Orellana,10,27,-0.4666670000000000,-76.96666700000000,4
16,Pastaza,6,18,-1.066667000000000,-78.00111099999999,4
17,Pichincha,288,1108,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,26,102,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,46,205,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,8,49,0.08472200000000002,-76.88277800000000,4
18,Tungurahua,57,218,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,6,22,-4.120000000000000,-78.80000000000000,4
01,Azuay,78,399,-2.897414000000000,-79.00448100000000,5
02,Bolívar,12,80,-1.605556000000000,-79.00305600000000,5
04,Carchi,9,69,0.8121800000000000,-77.71633000000000,5
03,Cañar,21,104,-2.733333000000000,-78.83333300000000,5
06,Chimborazo,45,218,-1.674347000000000,-78.64829400000001,5
05,Cotopaxi,38,184,-0.9333330000000000,-78.61666700000001,5
07,El Oro,74,306,-3.266667000000000,-79.96666700000000,5
08,Esmeraldas,26,173,1.050000000000000,-79.20000000000000,5
20,Galápagos,2,6,-0.7999999999999999,-89.40000000000001,5
09,Guayas,471,2191,-2.183333000000000,-79.88333299999999,5
10,Imbabura,47,221,0.3626780000000000,-78.13066700000000,5
11,Loja,49,220,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,63,348,-1.800000000000000,-79.53333300000000,5
13,Manabí,143,676,-1.056181000000000,-80.45521700000000,5
14,Morona Santiago,9,41,-2.300000000000000,-78.11666700000001,5
15,Napo,11,40,-0.9890000000000000,-77.81590000000000,5
22,Orellana,4,31,-0.4666670000000000,-76.96666700000000,5
16,Pastaza,5,23,-1.066667000000000,-78.00111099999999,5
17,Pichincha,234,1342,-0.2186110000000000,-78.50972200000000,5
24,Santa Elena,29,131,-2.226700000000000,-80.85830000000000,5
23,Sto. Domingo Tsáchilas,36,241,-0.2541670000000000,-79.17194400000000,5
21,Sucumbíos,13,62,0.08472200000000002,-76.88277800000000,5
18,Tungurahua,54,272,-1.241667000000000,-78.61972200000000,5
19,Zamora Chinchipe,5,27,-4.120000000000000,-78.80000000000000,5
01,Azuay,65,464,-2.897414000000000,-79.00448100000000,6
02,Bolívar,21,101,-1.605556000000000,-79.00305600000000,6
04,Carchi,16,85,0.8121800000000000,-77.71633000000000,6
03,Cañar,28,132,-2.733333000000000,-78.83333300000000,6
06,Chimborazo,58,276,-1.674347000000000,-78.64829400000001,6
05,Cotopaxi,37,221,-0.9333330000000000,-78.61666700000001,6
07,El Oro,44,350,-3.266667000000000,-79.96666700000000,6
08,Esmeraldas,34,207,1.050000000000000,-79.20000000000000,6
20,Galápagos,1,7,-0.7999999999999999,-89.40000000000001,6
09,Guayas,484,2675,-2.183333000000000,-79.88333299999999,6
10,Imbabura,37,258,0.3626780000000000,-78.13066700000000,6
11,Loja,48,268,-3.983333000000000,-79.20000000000000,6
12,Los Ríos,81,429,-1.800000000000000,-79.53333300000000,6
13,Manabí,150,826,-1.056181000000000,-80.45521700000000,6
14,Morona Santiago,5,46,-2.300000000000000,-78.11666700000001,6
15,Napo,5,45,-0.9890000000000000,-77.81590000000000,6
22,Orellana,11,42,-0.4666670000000000,-76.96666700000000,6
16,Pastaza,7,30,-1.066667000000000,-78.00111099999999,6
17,Pichincha,265,1607,-0.2186110000000000,-78.50972200000000,6
24,Santa Elena,29,160,-2.226700000000000,-80.85830000000000,6
