provincia,total,acumuladas,lat,lng,mes
Azuay,361,361,-2.897414000000000,-79.00448100000000,1
Bolívar,73,73,-1.605556000000000,-79.00305600000000,1
Carchi,62,62,0.8121800000000000,-77.71633000000000,1
Cañar,94,94,-2.733333000000000,-78.83333300000000,1
Chimborazo,200,200,-1.674347000000000,-78.64829400000001,1
Cotopaxi,164,164,-0.9333330000000000,-78.61666700000001,1
El Oro,265,265,-3.266667000000000,-79.96666700000000,1
Esmeraldas,157,157,1.050000000000000,-79.20000000000000,1
Galápagos,5,5,-0.7999999999999999,-89.40000000000001,1
Guayas,1979,1979,-2.183333000000000,-79.88333299999999,1
Imbabura,203,203,0.3626780000000000,-78.13066700000000,1
Loja,201,201,-3.983333000000000,-79.20000000000000,1
Los Ríos,317,317,-1.800000000000000,-79.53333300000000,1
Manabí,608,608,-1.056181000000000,-80.45521700000000,1
Morona Santiago,41,41,-2.300000000000000,-78.11666700000001,1
Napo,33,33,-0.9890000000000000,-77.81590000000000,1
Orellana,29,29,-0.4666670000000000,-76.96666700000000,1
Pastaza,20,20,-1.066667000000000,-78.00111099999999,1
Pichincha,1230,1230,-0.2186110000000000,-78.50972200000000,1
Santa Elena,119,119,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,225,225,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,56,56,0.08472200000000002,-76.88277800000000,1
Tungurahua,239,239,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,25,25,-4.120000000000000,-78.80000000000000,1
Azuay,301,662,-2.897414000000000,-79.00448100000000,2
Bolívar,75,148,-1.605556000000000,-79.00305600000000,2
Carchi,58,120,0.8121800000000000,-77.71633000000000,2
Cañar,96,190,-2.733333000000000,-78.83333300000000,2
Chimborazo,193,393,-1.674347000000000,-78.64829400000001,2
Cotopaxi,128,292,-0.9333330000000000,-78.61666700000001,2
El Oro,250,515,-3.266667000000000,-79.96666700000000,2
Esmeraldas,132,289,1.050000000000000,-79.20000000000000,2
Galápagos,7,12,-0.7999999999999999,-89.40000000000001,2
