provincia,total,acumuladas,lat,lng,semana
Azuay,71,71,-2.897414000000000,-79.00448100000000,1
Bolívar,23,23,-1.605556000000000,-79.00305600000000,1
Carchi,15,15,0.8121800000000000,-77.71633000000000,1
Cañar,16,16,-2.733333000000000,-78.83333300000000,1
Chimborazo,41,41,-1.674347000000000,-78.64829400000001,1
Cotopaxi,42,42,-0.9333330000000000,-78.61666700000001,1
El Oro,59,59,-3.266667000000000,-79.96666700000000,1
Esmeraldas,39,39,1.050000000000000,-79.20000000000000,1
Galápagos,1,1,-0.7999999999999999,-89.40000000000001,1
Guayas,367,367,-2.183333000000000,-79.88333299999999,1
Imbabura,45,45,0.3626780000000000,-78.13066700000000,1
Loja,44,44,-3.983333000000000,-79.20000000000000,1
Los Ríos,66,66,-1.800000000000000,-79.53333300000000,1
Manabí,116,116,-1.056181000000000,-80.45521700000000,1
Morona Santiago,7,7,-2.300000000000000,-78.11666700000001,1
Napo,16,16,-0.9890000000000000,-77.81590000000000,1
Orellana,3,3,-0.4666670000000000,-76.96666700000000,1
Pastaza,3,3,-1.066667000000000,-78.00111099999999,1
Pichincha,237,237,-0.2186110000000000,-78.50972200000000,1
Santa Elena,29,29,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,49,49,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,15,15,0.08472200000000002,-76.88277800000000,1
Tungurahua,58,58,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,4,4,-4.120000000000000,-78.80000000000000,1
Azuay,89,160,-2.897414000000000,-79.00448100000000,2
Bolívar,8,31,-1.605556000000000,-79.00305600000000,2
Carchi,15,30,0.8121800000000000,-77.71633000000000,2
Cañar,26,42,-2.733333000000000,-78.83333300000000,2
Chimborazo,51,92,-1.674347000000000,-78.64829400000001,2
Cotopaxi,36,78,-0.9333330000000000,-78.61666700000001,2
El Oro,60,119,-3.266667000000000,-79.96666700000000,2
Esmeraldas,35,74,1.050000000000000,-79.20000000000000,2
Galápagos,2,3,-0.7999999999999999,-89.40000000000001,2
Guayas,458,825,-2.183333000000000,-79.88333299999999,2
Imbabura,46,91,0.3626780000000000,-78.13066700000000,2
Loja,38,82,-3.983333000000000,-79.20000000000000,2
Los Ríos,83,149,-1.800000000000000,-79.53333300000000,2
Manabí,128,244,-1.056181000000000,-80.45521700000000,2
Morona Santiago,6,13,-2.300000000000000,-78.11666700000001,2
Napo,5,21,-0.9890000000000000,-77.81590000000000,2
Orellana,7,10,-0.4666670000000000,-76.96666700000000,2
Pastaza,4,7,-1.066667000000000,-78.00111099999999,2
Pichincha,292,529,-0.2186110000000000,-78.50972200000000,2
Santa Elena,21,50,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,57,106,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,14,29,0.08472200000000002,-76.88277800000000,2
Tungurahua,47,105,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,6,10,-4.120000000000000,-78.80000000000000,2
Azuay,78,238,-2.897414000000000,-79.00448100000000,3
Bolívar,18,49,-1.605556000000000,-79.00305600000000,3
Carchi,14,44,0.8121800000000000,-77.71633000000000,3
Cañar,19,61,-2.733333000000000,-78.83333300000000,3
Chimborazo,46,138,-1.674347000000000,-78.64829400000001,3
Cotopaxi,37,115,-0.9333330000000000,-78.61666700000001,3
El Oro,60,179,-3.266667000000000,-79.96666700000000,3
Esmeraldas,35,109,1.050000000000000,-79.20000000000000,3
Galápagos,1,4,-0.7999999999999999,-89.40000000000001,3
Guayas,420,1245,-2.183333000000000,-79.88333299999999,3
Imbabura,46,137,0.3626780000000000,-78.13066700000000,3
Loja,35,117,-3.983333000000000,-79.20000000000000,3
Los Ríos,62,211,-1.800000000000000,-79.53333300000000,3
Manabí,157,401,-1.056181000000000,-80.45521700000000,3
Morona Santiago,9,22,-2.300000000000000,-78.11666700000001,3
Napo,6,27,-0.9890000000000000,-77.81590000000000,3
Orellana,7,17,-0.4666670000000000,-76.96666700000000,3
Pastaza,5,12,-1.066667000000000,-78.00111099999999,3
Pichincha,291,820,-0.2186110000000000,-78.50972200000000,3
Santa Elena,26,76,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,53,159,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,12,41,0.08472200000000002,-76.88277800000000,3
Tungurahua,56,161,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,6,16,-4.120000000000000,-78.80000000000000,3
Azuay,83,321,-2.897414000000000,-79.00448100000000,4
Bolívar,19,68,-1.605556000000000,-79.00305600000000,4
Carchi,16,60,0.8121800000000000,-77.71633000000000,4
Cañar,22,83,-2.733333000000000,-78.83333300000000,4
Chimborazo,35,173,-1.674347000000000,-78.64829400000001,4
Cotopaxi,31,146,-0.9333330000000000,-78.61666700000001,4
El Oro,53,232,-3.266667000000000,-79.96666700000000,4
Esmeraldas,38,147,1.050000000000000,-79.20000000000000,4
Galápagos,0,4,-0.7999999999999999,-89.40000000000001,4
Guayas,475,1720,-2.183333000000000,-79.88333299999999,4
Imbabura,37,174,0.3626780000000000,-78.13066700000000,4
Loja,54,171,-3.983333000000000,-79.20000000000000,4
Los Ríos,74,285,-1.800000000000000,-79.53333300000000,4
Manabí,132,533,-1.056181000000000,-80.45521700000000,4
Morona Santiago,10,32,-2.300000000000000,-78.11666700000001,4
Napo,2,29,-0.9890000000000000,-77.81590000000000,4
Orellana,10,27,-0.4666670000000000,-76.96666700000000,4
Pastaza,6,18,-1.066667000000000,-78.00111099999999,4
Pichincha,288,1108,-0.2186110000000000,-78.50972200000000,4
Santa Elena,26,102,-2.226700000000000,-80.85830000000000,4
Sto. Domingo Tsáchilas,46,205,-0.2541670000000000,-79.17194400000000,4
Sucumbíos,8,49,0.08472200000000002,-76.88277800000000,4
Tungurahua,57,218,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,6,22,-4.120000000000000,-78.80000000000000,4
Azuay,78,399,-2.897414000000000,-79.00448100000000,5
Bolívar,12,80,-1.605556000000000,-79.00305600000000,5
Carchi,9,69,0.8121800000000000,-77.71633000000000,5
Cañar,21,104,-2.733333000000000,-78.83333300000000,5
Chimborazo,45,218,-1.674347000000000,-78.64829400000001,5
Cotopaxi,38,184,-0.9333330000000000,-78.61666700000001,5
El Oro,74,306,-3.266667000000000,-79.96666700000000,5
Esmeraldas,26,173,1.050000000000000,-79.20000000000000,5
Galápagos,2,6,-0.7999999999999999,-89.40000000000001,5
