inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,semana
04,Carchi,186869,156,15,0.8121800000000000,-77.71633000000000,3
03,Cañar,281396,108,3,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,366,5,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,488716,331,5,-0.9333330000000000,-78.61666700000001,3
07,El Oro,715751,610,25,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,246,4,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,7,1,-0.7999999999999999,-89.40000000000001,3
09,Guayas,4387434,1925,55,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,228,6,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,255,8,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,365,2,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,1378,23,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,196535,38,1,-2.300000000000000,-78.11666700000001,3
15,Napo,133705,80,1,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,55,2,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,65,0,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,2083,22,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,406,14,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,401,8,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,107,6,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,590600,380,27,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,56,0,-4.120000000000000,-78.80000000000000,3
01,Azuay,881394,267,18,-2.897414000000000,-79.00448100000000,4
02,Bolívar,209933,75,2,-1.605556000000000,-79.00305600000000,4
04,Carchi,186869,166,10,0.8121800000000000,-77.71633000000000,4
03,Cañar,281396,109,1,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,524004,386,20,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,488716,343,12,-0.9333330000000000,-78.61666700000001,4
07,El Oro,715751,631,21,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,591083,247,1,1.050000000000000,-79.20000000000000,4
20,Galápagos,33042,8,1,-0.7999999999999999,-89.40000000000001,4
09,Guayas,4387434,1949,24,-2.183333000000000,-79.88333299999999,4
10,Imbabura,476257,231,3,0.3626780000000000,-78.13066700000000,4
11,Loja,521154,261,6,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,921763,365,0,-1.800000000000000,-79.53333300000000,4
13,Manabí,1562079,1412,34,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,196535,39,1,-2.300000000000000,-78.11666700000001,4
15,Napo,133705,80,0,-0.9890000000000000,-77.81590000000000,4
22,Orellana,161338,56,1,-0.4666670000000000,-76.96666700000000,4
16,Pastaza,114202,67,2,-1.066667000000000,-78.00111099999999,4
17,Pichincha,3228233,2108,25,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,401178,407,1,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,511151,414,13,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,230503,108,1,0.08472200000000002,-76.88277800000000,4
18,Tungurahua,590600,390,10,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,120416,58,2,-4.120000000000000,-78.80000000000000,4
01,Azuay,881394,280,13,-2.897414000000000,-79.00448100000000,5
02,Bolívar,209933,75,0,-1.605556000000000,-79.00305600000000,5
04,Carchi,186869,171,5,0.8121800000000000,-77.71633000000000,5
03,Cañar,281396,109,0,-2.733333000000000,-78.83333300000000,5
06,Chimborazo,524004,387,1,-1.674347000000000,-78.64829400000001,5
05,Cotopaxi,488716,353,10,-0.9333330000000000,-78.61666700000001,5
07,El Oro,715751,647,16,-3.266667000000000,-79.96666700000000,5
08,Esmeraldas,591083,247,0,1.050000000000000,-79.20000000000000,5
20,Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,5
09,Guayas,4387434,1959,10,-2.183333000000000,-79.88333299999999,5
10,Imbabura,476257,236,5,0.3626780000000000,-78.13066700000000,5
11,Loja,521154,273,12,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,921763,368,3,-1.800000000000000,-79.53333300000000,5
13,Manabí,1562079,1441,29,-1.056181000000000,-80.45521700000000,5
14,Morona Santiago,196535,41,2,-2.300000000000000,-78.11666700000001,5
15,Napo,133705,80,0,-0.9890000000000000,-77.81590000000000,5
22,Orellana,161338,57,1,-0.4666670000000000,-76.96666700000000,5
16,Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,5
17,Pichincha,3228233,2122,14,-0.2186110000000000,-78.50972200000000,5
24,Santa Elena,401178,408,1,-2.226700000000000,-80.85830000000000,5
23,Sto. Domingo Tsáchilas,511151,419,5,-0.2541670000000000,-79.17194400000000,5
21,Sucumbíos,230503,108,0,0.08472200000000002,-76.88277800000000,5
18,Tungurahua,590600,404,14,-1.241667000000000,-78.61972200000000,5
19,Zamora Chinchipe,120416,58,0,-4.120000000000000,-78.80000000000000,5
01,Azuay,881394,297,17,-2.897414000000000,-79.00448100000000,6
02,Bolívar,209933,76,1,-1.605556000000000,-79.00305600000000,6
04,Carchi,186869,176,5,0.8121800000000000,-77.71633000000000,6
03,Cañar,281396,110,1,-2.733333000000000,-78.83333300000000,6
06,Chimborazo,524004,392,5,-1.674347000000000,-78.64829400000001,6
05,Cotopaxi,488716,363,10,-0.9333330000000000,-78.61666700000001,6
07,El Oro,715751,668,21,-3.266667000000000,-79.96666700000000,6
08,Esmeraldas,591083,260,13,1.050000000000000,-79.20000000000000,6
20,Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,6
09,Guayas,4387434,2028,69,-2.183333000000000,-79.88333299999999,6
10,Imbabura,476257,245,9,0.3626780000000000,-78.13066700000000,6
11,Loja,521154,278,5,-3.983333000000000,-79.20000000000000,6
12,Los Ríos,921763,375,7,-1.800000000000000,-79.53333300000000,6
13,Manabí,1562079,1495,54,-1.056181000000000,-80.45521700000000,6
14,Morona Santiago,196535,41,0,-2.300000000000000,-78.11666700000001,6
15,Napo,133705,80,0,-0.9890000000000000,-77.81590000000000,6
22,Orellana,161338,58,1,-0.4666670000000000,-76.96666700000000,6
16,Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,6
17,Pichincha,3228233,2151,29,-0.2186110000000000,-78.50972200000000,6
24,Santa Elena,401178,410,2,-2.226700000000000,-80.85830000000000,6
23,Sto. Domingo Tsáchilas,511151,432,13,-0.2541670000000000,-79.17194400000000,6
21,Sucumbíos,230503,108,0,0.08472200000000002,-76.88277800000000,6
18,Tungurahua,590600,423,19,-1.241667000000000,-78.61972200000000,6
19,Zamora Chinchipe,120416,58,0,-4.120000000000000,-78.80000000000000,6
01,Azuay,881394,297,0,-2.897414000000000,-79.00448100000000,7
02,Bolívar,209933,76,0,-1.605556000000000,-79.00305600000000,7
04,Carchi,186869,176,0,0.8121800000000000,-77.71633000000000,7
03,Cañar,281396,110,0,-2.733333000000000,-78.83333300000000,7
06,Chimborazo,524004,392,0,-1.674347000000000,-78.64829400000001,7
05,Cotopaxi,488716,363,0,-0.9333330000000000,-78.61666700000001,7
07,El Oro,715751,684,16,-3.266667000000000,-79.96666700000000,7
08,Esmeraldas,591083,260,0,1.050000000000000,-79.20000000000000,7
20,Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,7
09,Guayas,4387434,2038,10,-2.183333000000000,-79.88333299999999,7
10,Imbabura,476257,246,1,0.3626780000000000,-78.13066700000000,7
11,Loja,521154,278,0,-3.983333000000000,-79.20000000000000,7
12,Los Ríos,921763,375,0,-1.800000000000000,-79.53333300000000,7
13,Manabí,1562079,1502,7,-1.056181000000000,-80.45521700000000,7
14,Morona Santiago,196535,41,0,-2.300000000000000,-78.11666700000001,7
15,Napo,133705,80,0,-0.9890000000000000,-77.81590000000000,7
22,Orellana,161338,58,0,-0.4666670000000000,-76.96666700000000,7
16,Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,7
17,Pichincha,3228233,2151,0,-0.2186110000000000,-78.50972200000000,7
24,Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,7
23,Sto. Domingo Tsáchilas,511151,432,0,-0.2541670000000000,-79.17194400000000,7
21,Sucumbíos,230503,108,0,0.08472200000000002,-76.88277800000000,7
18,Tungurahua,590600,423,0,-1.241667000000000,-78.61972200000000,7
19,Zamora Chinchipe,120416,58,0,-4.120000000000000,-78.80000000000000,7
