provincia,poblacion,total,nuevas,lat,lng,semana
Sucumbíos,230503,108,1,0.08472200000000002,-76.88277800000000,4
Tungurahua,590600,390,10,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,120416,58,2,-4.120000000000000,-78.80000000000000,4
Azuay,881394,280,13,-2.897414000000000,-79.00448100000000,5
Bolívar,209933,75,0,-1.605556000000000,-79.00305600000000,5
Carchi,186869,171,5,0.8121800000000000,-77.71633000000000,5
Cañar,281396,109,0,-2.733333000000000,-78.83333300000000,5
Chimborazo,524004,387,1,-1.674347000000000,-78.64829400000001,5
Cotopaxi,488716,353,10,-0.9333330000000000,-78.61666700000001,5
El Oro,715751,647,16,-3.266667000000000,-79.96666700000000,5
Esmeraldas,591083,247,0,1.050000000000000,-79.20000000000000,5
Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,5
Guayas,4387434,1959,10,-2.183333000000000,-79.88333299999999,5
Imbabura,476257,236,5,0.3626780000000000,-78.13066700000000,5
Loja,521154,273,12,-3.983333000000000,-79.20000000000000,5
Los Ríos,921763,368,3,-1.800000000000000,-79.53333300000000,5
Manabí,1562079,1441,29,-1.056181000000000,-80.45521700000000,5
Morona Santiago,196535,41,2,-2.300000000000000,-78.11666700000001,5
Napo,133705,80,0,-0.9890000000000000,-77.81590000000000,5
Orellana,161338,57,1,-0.4666670000000000,-76.96666700000000,5
Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,5
Pichincha,3228233,2122,14,-0.2186110000000000,-78.50972200000000,5
Santa Elena,401178,408,1,-2.226700000000000,-80.85830000000000,5
Sto. Domingo Tsáchilas,511151,419,5,-0.2541670000000000,-79.17194400000000,5
Sucumbíos,230503,108,0,0.08472200000000002,-76.88277800000000,5
Tungurahua,590600,404,14,-1.241667000000000,-78.61972200000000,5
Zamora Chinchipe,120416,58,0,-4.120000000000000,-78.80000000000000,5
Azuay,881394,297,17,-2.897414000000000,-79.00448100000000,6
Bolívar,209933,76,1,-1.605556000000000,-79.00305600000000,6
Carchi,186869,176,5,0.8121800000000000,-77.71633000000000,6
Cañar,281396,110,1,-2.733333000000000,-78.83333300000000,6
Chimborazo,524004,392,5,-1.674347000000000,-78.64829400000001,6
Cotopaxi,488716,363,10,-0.9333330000000000,-78.61666700000001,6
El Oro,715751,668,21,-3.266667000000000,-79.96666700000000,6
Esmeraldas,591083,260,13,1.050000000000000,-79.20000000000000,6
Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,6
Guayas,4387434,2028,69,-2.183333000000000,-79.88333299999999,6
