provincia,poblacion,total,nuevas,lat,lng,mes
Sucumbíos,230503,20,15,0.08472200000000002,-76.88277800000000,6
Tungurahua,590600,107,39,-1.241667000000000,-78.61972200000000,6
Zamora Chinchipe,120416,16,11,-4.120000000000000,-78.80000000000000,6
Azuay,881394,72,22,-2.897414000000000,-79.00448100000000,7
Bolívar,209933,51,17,-1.605556000000000,-79.00305600000000,7
Carchi,186869,29,12,0.8121800000000000,-77.71633000000000,7
Cañar,281396,51,6,-2.733333000000000,-78.83333300000000,7
Chimborazo,524004,213,62,-1.674347000000000,-78.64829400000001,7
Cotopaxi,488716,167,47,-0.9333330000000000,-78.61666700000001,7
El Oro,715751,334,83,-3.266667000000000,-79.96666700000000,7
Esmeraldas,591083,186,47,1.050000000000000,-79.20000000000000,7
Galápagos,33042,1,0,-0.7999999999999999,-89.40000000000001,7
Guayas,4387434,1656,72,-2.183333000000000,-79.88333299999999,7
Imbabura,476257,71,32,0.3626780000000000,-78.13066700000000,7
Loja,521154,81,36,-3.983333000000000,-79.20000000000000,7
Los Ríos,921763,316,60,-1.800000000000000,-79.53333300000000,7
Manabí,1562079,787,160,-1.056181000000000,-80.45521700000000,7
Morona Santiago,196535,14,4,-2.300000000000000,-78.11666700000001,7
Napo,133705,49,18,-0.9890000000000000,-77.81590000000000,7
Orellana,161338,33,15,-0.4666670000000000,-76.96666700000000,7
Pastaza,114202,44,22,-1.066667000000000,-78.00111099999999,7
Pichincha,3228233,718,217,-0.2186110000000000,-78.50972200000000,7
Santa Elena,401178,331,6,-2.226700000000000,-80.85830000000000,7
Sto. Domingo Tsáchilas,511151,246,128,-0.2541670000000000,-79.17194400000000,7
Sucumbíos,230503,50,30,0.08472200000000002,-76.88277800000000,7
Tungurahua,590600,168,61,-1.241667000000000,-78.61972200000000,7
Zamora Chinchipe,120416,34,18,-4.120000000000000,-78.80000000000000,7
Azuay,881394,117,45,-2.897414000000000,-79.00448100000000,8
Bolívar,209933,56,5,-1.605556000000000,-79.00305600000000,8
Carchi,186869,53,24,0.8121800000000000,-77.71633000000000,8
Cañar,281396,61,10,-2.733333000000000,-78.83333300000000,8
Chimborazo,524004,262,49,-1.674347000000000,-78.64829400000001,8
Cotopaxi,488716,203,36,-0.9333330000000000,-78.61666700000001,8
El Oro,715751,364,30,-3.266667000000000,-79.96666700000000,8
Esmeraldas,591083,200,14,1.050000000000000,-79.20000000000000,8
Galápagos,33042,1,0,-0.7999999999999999,-89.40000000000001,8
Guayas,4387434,1681,25,-2.183333000000000,-79.88333299999999,8
Imbabura,476257,94,23,0.3626780000000000,-78.13066700000000,8
Loja,521154,160,79,-3.983333000000000,-79.20000000000000,8
Los Ríos,921763,323,7,-1.800000000000000,-79.53333300000000,8
Manabí,1562079,882,95,-1.056181000000000,-80.45521700000000,8
Morona Santiago,196535,19,5,-2.300000000000000,-78.11666700000001,8
Napo,133705,62,13,-0.9890000000000000,-77.81590000000000,8
Orellana,161338,38,5,-0.4666670000000000,-76.96666700000000,8
Pastaza,114202,48,4,-1.066667000000000,-78.00111099999999,8
Pichincha,3228233,920,202,-0.2186110000000000,-78.50972200000000,8
Santa Elena,401178,352,21,-2.226700000000000,-80.85830000000000,8
