provincia,provincia_poblacion,canton,canton_poblacion,total,lat,lng,created_at
Cañar,281396,Déleg,6782,0,-2.772600000000000,-78.91830000000000,28/04/2020
Cañar,281396,La Troncal,76872,5,-2.400000000000000,-79.33000000000000,28/04/2020
Cañar,281396,El Tambo,12462,1,-2.508100000000000,-78.92489999999999,28/04/2020
Cañar,281396,Biblían,23741,0,-2.710000000000000,-78.88000000000000,28/04/2020
Cañar,281396,Suscal,6516,1,-2.436400000000000,-79.05220000000000,28/04/2020
Cañar,281396,Cañar,68747,1,-2.483700000000000,-78.97839999999999,28/04/2020
Carchi,186869,Bolivar,15528,1,0.5070990000000000,-77.86245400000000,28/04/2020
Carchi,186869,Tulcán,102395,3,0.8121800000000000,-77.71633000000000,28/04/2020
Carchi,186869,Montúfar,34229,0,0.6100000000000000,-77.84000000000000,28/04/2020
Carchi,186869,Mira,11969,0,0.5538999999999998,-78.04930000000000,28/04/2020
Carchi,186869,San Pedro de Huaca,8931,1,0.6311110000000000,-77.72527800000000,28/04/2020
Carchi,186869,Espejo,13817,0,0.6210000000000000,-77.94000000000000,28/04/2020
Chimborazo,524004,Colta,44838,3,-1.700000000000000,-78.75000000000000,28/04/2020
Chimborazo,524004,Riobamba,264048,20,-1.674347000000000,-78.64829400000001,28/04/2020
Chimborazo,524004,Cumandá,17973,0,-2.200000000000000,-79.13333299999999,28/04/2020
Chimborazo,524004,Guano,48395,2,-1.583333000000000,-78.63333299999999,28/04/2020
Chimborazo,524004,Chambo,13378,0,-1.733333000000000,-78.58333300000000,28/04/2020
Chimborazo,524004,Guamote,58291,2,-1.933333000000000,-78.71666700000000,28/04/2020
Chimborazo,524004,Alausí,45054,1,-2.200000000000000,-78.84999999999999,28/04/2020
Chimborazo,524004,Pallatanga,12277,2,-1.983333000000000,-78.95000000000000,28/04/2020
Chimborazo,524004,Penipe,6955,1,-1.557300000000000,-78.53959999999999,28/04/2020
Chimborazo,524004,Chunchi,12795,0,-2.283333000000000,-78.91666700000000,28/04/2020
Cotopaxi,488716,Pangua,24612,1,-1.133333000000000,-79.06666700000000,28/04/2020
Cotopaxi,488716,Pujilí,79772,1,-0.9500000000000000,-78.69000000000000,28/04/2020
Cotopaxi,488716,Salcedo,67100,2,-1.050000000000000,-78.58333300000000,28/04/2020
Cotopaxi,488716,La Maná,56905,9,-0.9299999999999999,-79.22000000000000,28/04/2020
Cotopaxi,488716,Latacunga,205624,6,-0.9333330000000000,-78.61666700000001,28/04/2020
Cotopaxi,488716,Sigchos,23277,0,-0.7000000000000000,-78.88333299999999,28/04/2020
Cotopaxi,488716,Saquisilí,31426,0,-0.8300000000000000,-78.67000000000000,28/04/2020
El Oro,715751,Arenillas,33473,1,-3.550000000000000,-80.06000000000000,28/04/2020
El Oro,715751,Huaquillas,60440,5,-3.481380000000000,-80.24320700000000,28/04/2020
El Oro,715751,Machala,289141,31,-3.266667000000000,-79.96666700000000,28/04/2020
El Oro,715751,Pasaje,87723,3,-3.326900000000000,-79.80490000000000,28/04/2020
El Oro,715751,Santa Rosa,82171,13,-3.452222000000000,-79.96166700000001,28/04/2020
El Oro,715751,Atahualpa,6436,1,-2.900000000000000,-78.93333300000000,28/04/2020
El Oro,715751,Zaruma,25654,0,-3.433333000000000,-79.59999999999999,28/04/2020
El Oro,715751,Portovelo,14028,3,-3.720000000000000,-79.62000000000000,28/04/2020
El Oro,715751,El Guabo,63645,9,-3.238800000000000,-79.82920000000000,28/04/2020
El Oro,715751,Las Lajas,4963,0,-3.785000000000000,-80.06166700000000,28/04/2020
El Oro,715751,Piñas,30206,3,-3.666667000000000,-79.65000000000001,28/04/2020
El Oro,715751,Chilla,2379,0,-3.450000000000000,-79.58000000000000,28/04/2020
El Oro,715751,Marcabelí,6259,0,-3.786000000000000,-79.89780000000000,28/04/2020
El Oro,715751,Balsas,9233,0,-3.762600000000000,-79.82530000000000,28/04/2020
Esmeraldas,591083,Esmeraldas,218727,10,1.050000000000000,-79.20000000000000,28/04/2020
Esmeraldas,591083,Quinindé,145879,3,0.3300000000000000,-79.48000000000000,28/04/2020
Esmeraldas,591083,Rioverde,31475,1,1.060200000000000,-79.40440000000000,28/04/2020
Esmeraldas,591083,Atacames,55495,0,0.8666670000000000,-79.83333300000000,28/04/2020
Esmeraldas,591083,Muisne,31106,0,0.6067000000000000,-80.01830000000000,28/04/2020
Esmeraldas,591083,San Lorenzo,62772,2,1.265800000000000,-78.84139999999999,28/04/2020
Esmeraldas,591083,Eloy Alfaro,45629,1,1.250000000000000,-79,28/04/2020
Galápagos,33042,San Cristóbal,9667,0,-0.7999999999999999,-89.40000000000001,28/04/2020
Galápagos,33042,Isabela,3073,0,-0.4724000000000000,-90.68110000000000,28/04/2020
Galápagos,33042,Santa Cruz,20302,1,-0.6333330000000000,-90.36666700000001,28/04/2020
Guayas,4387434,Alfredo Baquerizo Moreno,32110,0,-1.916667000000000,-79.51666700000000,28/04/2020
Guayas,4387434,Balao,26348,3,-2.910000000000000,-79.81000000000000,28/04/2020
Guayas,4387434,Balzar,60260,2,-1.360000000000000,-79.90000000000001,28/04/2020
Guayas,4387434,Colimes,26169,0,-1.550000000000000,-80.01666700000000,28/04/2020
Guayas,4387434,Daule,173684,10,-1.866667000000000,-79.98333300000000,28/04/2020
Guayas,4387434,Durán,315724,15,-2.166667000000000,-79.83333300000000,28/04/2020
Guayas,4387434,Empalme,86073,7,-1.046111000000000,-79.63361100000000,28/04/2020
Guayas,4387434,Guayaquil,2723665,344,-2.183333000000000,-79.88333299999999,28/04/2020
Guayas,4387434,Milagro,199835,5,-2.126944000000000,-79.59916699999999,28/04/2020
Guayas,4387434,Naranjal,95052,2,-2.672800000000000,-79.61499999999999,28/04/2020
Guayas,4387434,Pedro Carbo,51802,6,-1.833333000000000,-80.23333300000000,28/04/2020
Guayas,4387434,Salitre,65765,4,-1.829444000000000,-79.81555600000000,28/04/2020
Guayas,4387434,Samborondón,102404,8,-2.183333000000000,-79.88333299999999,28/04/2020
Guayas,4387434,Santa Lucía,45004,3,-1.713889000000000,-79.98500000000000,28/04/2020
Guayas,4387434,Playas,59628,16,-2.623330000000000,-80.38750000000000,28/04/2020
Guayas,4387434,Simón Bolivar,32224,0,-2.156667000000000,-79.88750000000000,28/04/2020
Guayas,4387434,San Jacinto De Yaguachi,78204,0,-2.120000000000000,-79.69000000000000,28/04/2020
Guayas,4387434,Palestina,18451,0,-1.626300000000000,-79.97700000000000,28/04/2020
Guayas,4387434,El Triunfo,59636,1,-2.330000000000000,-79.40000000000001,28/04/2020
Guayas,4387434,Lomas de Sargentillo,24220,0,-1.883333000000000,-80.08333300000000,28/04/2020
Guayas,4387434,Naranjito,43862,6,-2.173000000000000,-79.46710000000000,28/04/2020
Guayas,4387434,Coronel Marcelino Maridueña,13132,0,-2.200000000000000,-79.42000000000000,28/04/2020
Guayas,4387434,Nobol,26444,0,-1.916671000000000,-80.01153900000000,28/04/2020
Guayas,4387434,General Antonio Elizalde,13156,1,-2.200000000000000,-79.17000000000000,28/04/2020
Guayas,4387434,Isidro Ayora,14582,0,-1.883333000000000,-80.16666700000000,28/04/2020
Imbabura,476257,Ibarra,221149,7,0.3626780000000000,-78.13066700000000,28/04/2020
Imbabura,476257,Otavalo,125785,1,0.2333330000000000,-78.26666700000000,28/04/2020
Imbabura,476257,Cotacachi,44203,0,0.3000000000000000,-78.26666700000000,28/04/2020
Imbabura,476257,Antonio Ante,54311,1,0.3200000000000000,-78.20999999999999,28/04/2020
Imbabura,476257,Pimampiro,13269,0,0.4000000000000000,-77.97000000000000,28/04/2020
Imbabura,476257,San Miguel de Urcuquí,17540,0,0.5200000000000000,-78.20000000000000,28/04/2020
Loja,521154,Calvas,29565,0,-4.320000000000000,-79.56000000000000,28/04/2020
Loja,521154,Loja,274112,4,-3.983333000000000,-79.20000000000000,28/04/2020
Loja,521154,Macará,20269,0,-4.383333000000000,-79.95000000000000,28/04/2020
Loja,521154,Catamayo,35961,3,-3.980000000000000,-79.34999999999999,28/04/2020
Loja,521154,Chaguarpamba,6620,0,-3.850000000000000,-79.65000000000001,28/04/2020
Loja,521154,Zapotillo,14325,1,-4.386360000000002,-80.24360000000000,28/04/2020
Loja,521154,Paltas,23471,3,-4.050000000000002,-79.65000000000001,28/04/2020
Loja,521154,Saraguro,33506,0,-3.625300000000000,-79.24110000000000,28/04/2020
Loja,521154,Olmedo,4220,0,-3.934000000000000,-79.64800000000000,28/04/2020
Loja,521154,Puyango,15925,0,-3.870000000000000,-80.09000000000000,28/04/2020
Loja,521154,Pindal,10540,0,-4.116100000000000,-80.10760000000001,28/04/2020
