fecha,primera_dosis,segunda_dosis
2021-01-21,1502,65
2021-01-22,538,1
2021-01-23,31,0
2021-01-24,0,0
2021-01-25,623,0
2021-01-26,386,0
2021-01-27,351,0
2021-01-28,111,0
2021-01-29,101,0
2021-01-30,0,0
2021-01-31,58,0
2021-02-01,608,0
2021-02-02,591,0
2021-02-03,1357,1
2021-02-04,44,41
2021-02-05,2,0
2021-02-06,0,0
2021-02-07,0,0
2021-02-08,2,0
2021-02-09,0,0
2021-02-10,9,5
2021-02-11,25,1473
2021-02-12,10,486
2021-02-13,1,31
2021-02-14,0,0
2021-02-15,0,1
2021-02-16,0,0
2021-02-17,3,80
2021-02-18,10126,1303
2021-02-19,2996,185
2021-02-20,0,0
2021-02-21,86,0
2021-02-22,798,141
2021-02-23,13,5
2021-02-24,21,200
2021-02-25,9375,1546
2021-02-26,4478,687
2021-02-27,55,1
2021-02-28,6,0
2021-03-01,139,1
2021-03-02,143,0
2021-03-03,27,0
2021-03-04,13894,27
2021-03-05,10863,15
2021-03-06,2363,0
2021-03-07,223,0
2021-03-08,2962,1
2021-03-09,959,0
2021-03-10,370,174
2021-03-11,10934,5055
2021-03-12,23095,6314
2021-03-13,8236,787
2021-03-14,679,21
2021-03-15,4270,230
2021-03-16,3025,479
2021-03-17,3054,78
2021-03-18,906,2231
2021-03-19,1565,6334
2021-03-20,2784,3036
2021-03-21,898,172
2021-03-22,19593,1096
2021-03-23,12075,291
2021-03-24,5019,222
2021-03-25,4988,9191
2021-03-26,5775,11823
2021-03-27,2281,2138
2021-03-28,270,6
2021-03-29,9262,2362
2021-03-30,4340,3188
2021-03-31,6353,359
2021-04-01,11102,7888
2021-04-02,8614,2929
2021-04-03,2746,1711
2021-04-04,1679,551
2021-04-05,16273,16126
2021-04-06,15261,7924
2021-04-07,21086,4073
2021-04-08,5869,2385
2021-04-09,3287,2472
2021-04-10,615,2109
2021-04-11,15,113
2021-04-12,455,7828
2021-04-13,682,8249
2021-04-14,1046,4178
2021-04-15,2478,7814
2021-04-16,2442,14494
2021-04-17,2703,4907
2021-04-18,1649,303
2021-04-19,1416,5061
2021-04-20,434,4517
2021-04-21,6122,3914
2021-04-22,1975,2943
2021-04-23,2303,7923
2021-04-24,1027,3445
