fabricante,arrived_at,total
CanSino,03/08/2021,200000
CanSino,18/08/2021,446000
CanSino,21/08/2021,500000
Oxford/AstraZeneca,17/03/2021,84000
Oxford/AstraZeneca,24/04/2021,420000
Oxford/AstraZeneca,22/05/2021,624000
Oxford/AstraZeneca,07/06/2021,828000
Oxford/AstraZeneca,11/06/2021,1164000
Oxford/AstraZeneca,20/06/2021,1370000
Oxford/AstraZeneca,17/07/2021,1648800
Oxford/AstraZeneca,16/08/2021,1750560
Oxford/AstraZeneca,20/08/2021,1913760
Oxford/AstraZeneca,27/08/2021,2308710
Oxford/AstraZeneca,02/09/2021,2531610
Oxford/AstraZeneca,14/09/2021,2694810
Pfizer/BioNTech,20/01/2021,8190
Pfizer/BioNTech,17/02/2021,24570
Pfizer/BioNTech,24/02/2021,42120
Pfizer/BioNTech,03/03/2021,73710
Pfizer/BioNTech,10/03/2021,147420
Pfizer/BioNTech,17/03/2021,209430
Pfizer/BioNTech,24/03/2021,274950
Pfizer/BioNTech,31/03/2021,341640
Pfizer/BioNTech,05/04/2021,395460
Pfizer/BioNTech,14/04/2021,449280
Pfizer/BioNTech,21/04/2021,504270
Pfizer/BioNTech,28/04/2021,559260
Pfizer/BioNTech,04/05/2021,659880
Pfizer/BioNTech,11/05/2021,760569
Pfizer/BioNTech,18/05/2021,931389
Pfizer/BioNTech,25/05/2021,1102209
Pfizer/BioNTech,01/06/2021,1209849
Pfizer/BioNTech,08/06/2021,1318659
Pfizer/BioNTech,15/06/2021,1427469
Pfizer/BioNTech,22/06/2021,1536279
Pfizer/BioNTech,29/06/2021,1645089
Pfizer/BioNTech,01/07/2021,2645089
Pfizer/BioNTech,07/07/2021,2704759
Pfizer/BioNTech,13/07/2021,2780809
Pfizer/BioNTech,14/07/2021,3159889
Pfizer/BioNTech,20/07/2021,4337729
Pfizer/BioNTech,26/07/2021,4592789
Pfizer/BioNTech,03/08/2021,4864229
Pfizer/BioNTech,10/08/2021,5068979
Pfizer/BioNTech,17/08/2021,5262029
Pfizer/BioNTech,24/08/2021,5459759
Pfizer/BioNTech,31/08/2021,5781509
Pfizer/BioNTech,08/09/2021,5995609
Sinovac,06/03/2021,20000
Sinovac,07/04/2021,320000
Sinovac,10/04/2021,1020000
Sinovac,16/05/2021,1023520
Sinovac,29/05/2021,1723520
Sinovac,16/06/2021,2223520
Sinovac,02/07/2021,4223520
Sinovac,07/07/2021,5723520
Sinovac,09/07/2021,6223520
Sinovac,18/07/2021,9223520
Sinovac,14/08/2021,11223520
Sinovac,22/08/2021,13223520
