provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
Azuay,881394,-2.897414000000000,-79.00448100000000,218,250,230,214,232,242,220,264,212,224,254,268,230,252,282,296,320,308,298,254,206,214,262,222,210,228,228,210,214,212,198,200,164,170,148,162,150,134,148,160,182,128,190,136,140,138,136,160,130,164,168,111,50
Bolívar,209933,-1.605556000000000,-79.00305600000000,40,80,54,32,48,34,60,46,48,58,82,72,72,80,76,48,66,62,36,48,58,38,36,24,42,40,46,28,30,46,26,36,22,60,54,46,32,26,32,28,24,46,38,26,34,36,40,34,28,34,30,34,7
Carchi,186869,0.8121800000000000,-77.71633000000000,56,76,70,68,40,38,30,38,24,46,58,46,34,60,32,46,76,66,38,40,52,46,44,62,46,46,54,46,42,34,28,28,50,34,32,32,32,32,28,38,36,30,22,22,26,40,14,30,20,16,30,28,16
Cañar,281396,-2.733333000000000,-78.83333300000000,64,76,66,48,84,66,60,54,68,92,76,84,56,82,80,70,62,62,74,88,60,48,48,66,54,44,62,72,54,68,58,56,36,56,34,34,48,46,62,32,42,40,40,30,30,40,48,26,42,54,36,32,12
Chimborazo,524004,-1.674347000000000,-78.64829400000001,170,132,154,130,130,148,122,132,146,150,144,164,152,172,174,200,172,210,178,136,152,152,108,144,120,116,118,160,128,102,112,92,96,112,98,94,78,70,94,92,72,100,78,62,80,90,104,88,90,96,100,83,27
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,118,140,114,136,144,150,128,124,116,102,132,140,118,138,162,148,148,136,158,138,132,118,116,102,114,102,94,96,110,82,82,86,84,70,70,60,88,92,58,58,64,66,64,84,62,84,54,66,66,72,70,51,25
El Oro,715751,-3.266667000000000,-79.96666700000000,162,202,210,232,240,230,222,240,200,208,240,250,286,314,286,380,344,288,252,208,192,224,180,160,156,190,130,184,96,164,162,128,150,172,148,138,150,142,138,88,116,142,138,114,140,128,134,136,148,184,148,131,40
Esmeraldas,591083,1.050000000000000,-79.20000000000000,66,76,98,82,92,86,104,108,116,126,146,152,130,120,146,144,100,134,124,96,90,92,92,94,102,86,80,78,60,106,74,84,76,50,76,76,72,86,94,52,78,78,64,68,72,70,84,70,64,64,92,54,15
Galápagos,33042,-0.8000000000000000,-89.40000000000001,8,4,10,0,2,2,4,4,8,6,4,4,4,2,4,4,10,2,2,4,0,0,4,4,0,0,2,2,4,0,2,4,6,0,4,0,2,6,0,0,2,2,0,2,0,0,0,0,2,2,2,2,1
Guayas,4387434,-2.183333000000000,-79.88333299999999,1108,1254,1246,1260,1140,1250,1276,1268,1248,1362,1432,1560,1608,1770,1804,1808,1686,1582,1300,1260,1116,1002,1014,1056,1052,1014,1012,950,968,902,882,830,828,922,898,874,834,868,1108,924,950,800,838,836,1044,990,932,894,932,950,1000,963,233
