inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
01,Azuay,881394,-2.897414000000000,-79.00448100000000,218,468,698,912,1144,1386,1606,1870,2082,2306,2560,2828,3058,3310,3592,3888,4208,4516,4814,5068,5274,5488,5750,5972,6182,6410,6638,6848,7062,7274,7472,7672,7836,8006,8154,8316,8466,8600,8748,8908,9090,9218,9408,9544,9684,9822,9958,10118,10248,10412,10580,10691,10741
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,40,120,174,206,254,288,348,394,442,500,582,654,726,806,882,930,996,1058,1094,1142,1200,1238,1274,1298,1340,1380,1426,1454,1484,1530,1556,1592,1614,1674,1728,1774,1806,1832,1864,1892,1916,1962,2000,2026,2060,2096,2136,2170,2198,2232,2262,2296,2303
04,Carchi,186869,0.8121800000000000,-77.71633000000000,56,132,202,270,310,348,378,416,440,486,544,590,624,684,716,762,838,904,942,982,1034,1080,1124,1186,1232,1278,1332,1378,1420,1454,1482,1510,1560,1594,1626,1658,1690,1722,1750,1788,1824,1854,1876,1898,1924,1964,1978,2008,2028,2044,2074,2102,2118
03,Cañar,281396,-2.733333000000000,-78.83333300000000,64,140,206,254,338,404,464,518,586,678,754,838,894,976,1056,1126,1188,1250,1324,1412,1472,1520,1568,1634,1688,1732,1794,1866,1920,1988,2046,2102,2138,2194,2228,2262,2310,2356,2418,2450,2492,2532,2572,2602,2632,2672,2720,2746,2788,2842,2878,2910,2922
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,170,302,456,586,716,864,986,1118,1264,1414,1558,1722,1874,2046,2220,2420,2592,2802,2980,3116,3268,3420,3528,3672,3792,3908,4026,4186,4314,4416,4528,4620,4716,4828,4926,5020,5098,5168,5262,5354,5426,5526,5604,5666,5746,5836,5940,6028,6118,6214,6314,6397,6424
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,118,258,372,508,652,802,930,1054,1170,1272,1404,1544,1662,1800,1962,2110,2258,2394,2552,2690,2822,2940,3056,3158,3272,3374,3468,3564,3674,3756,3838,3924,4008,4078,4148,4208,4296,4388,4446,4504,4568,4634,4698,4782,4844,4928,4982,5048,5114,5186,5256,5307,5332
07,El Oro,715751,-3.266667000000000,-79.96666700000000,162,364,574,806,1046,1276,1498,1738,1938,2146,2386,2636,2922,3236,3522,3902,4246,4534,4786,4994,5186,5410,5590,5750,5906,6096,6226,6410,6506,6670,6832,6960,7110,7282,7430,7568,7718,7860,7998,8086,8202,8344,8482,8596,8736,8864,8998,9134,9282,9466,9614,9745,9785
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,66,142,240,322,414,500,604,712,828,954,1100,1252,1382,1502,1648,1792,1892,2026,2150,2246,2336,2428,2520,2614,2716,2802,2882,2960,3020,3126,3200,3284,3360,3410,3486,3562,3634,3720,3814,3866,3944,4022,4086,4154,4226,4296,4380,4450,4514,4578,4670,4724,4739
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,8,12,22,22,24,26,30,34,42,48,52,56,60,62,66,70,80,82,84,88,88,88,92,96,96,96,98,100,104,104,106,110,116,116,120,120,122,128,128,128,130,132,132,134,134,134,134,134,136,138,140,142,143
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,1108,2362,3608,4868,6008,7258,8534,9802,11050,12412,13844,15404,17012,18782,20586,22394,24080,25662,26962,28222,29338,30340,31354,32410,33462,34476,35488,36438,37406,38308,39190,40020,40848,41770,42668,43542,44376,45244,46352,47276,48226,49026,49864,50700,51744,52734,53666,54560,55492,56442,57442,58405,58638
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,120,234,358,506,638,762,864,980,1072,1172,1274,1402,1550,1658,1824,1994,2196,2358,2566,2696,2836,2952,3092,3200,3306,3396,3522,3618,3710,3814,3906,3978,4054,4142,4242,4352,4426,4520,4594,4686,4762,4826,4898,4994,5096,5194,5274,5344,5428,5514,5608,5678,5700
