provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,8,17,29,37,45,49,57,63,66,71,77,85
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,6,11,14,18,23,30,39,43,49,52,54,60
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,388,764,1163,1630,2106,2480,2831,3144,3385,3667,3892,4156
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,1,3,6,7,10,11,11,13,13,16,18,18
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,17,28,47,68,78,83,92,94,103,108,114,126
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,4,4,6,6,7,9,9,11,12,14,17
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,25,42,64,98,119,138,174,191,213,227,236,249
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,10,19,25,30,46,56,66,75,82,89,96,102
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,2,5,7,11,12,13,14,17,20,26,29,33
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,7,22,33,48,66,81,95,103,110,120,127,134
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,5,12,20,28,30,37,40,43,45,47,47,51
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,4,5,8,12,15,17,19,19,19,20,21,22
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,12,19,31,43,57,69,83,92,103,113,119,122
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,2,5,9,9,12,14,14,19,20,20,20,21
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,19,29,51,65,84,107,128,143,154,166,182,192
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,2,15,25,31,37,39,44,53,59,65,69,77
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,13,22,38,47,60,69,73,83,90,96,103,107
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,5,13,26,36,41,45,49,55,62,66,75,80
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,7,12,19,26,32,39,44,52,52,59,61,69
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,44,87,169,252,322,364,411,451,491,525,563,600
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,3,4,6,13,16,18,20,21,22,25,25,26
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,36,51,70,93,101,111,128,141,159,171,181,192
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,11,14,21,30,34,43,49,54,63,72,77,80
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,11,16,29,36,41,48,59,69,72,77,81,83
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,6,12,16,21,29,35,42,48,54,58,62,66
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,16,29,45,59,70,82,91,106,117,127,134,144
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,3,7,10,14,20,26,28,32,32,34,36,38
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,104,146,199,265,344,407,471,509,547,586,620,655
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,71,138,208,279,346,394,451,506,539,580,616,650
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,9,16,20,27,38,48,61,69,80,83,89,104
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,20,40,78,104,130,148,175,199,217,238,246,262
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,4,7,13,15,17,23,29,31,34,39,41,45
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,1,6,13,14,18,23,26,30,34,36,42,42
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,34,62,104,147,188,209,238,256,284,302,320,339
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,0,2,5,8,13,19,19,19,19,20,21,22
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,20,38,51,67,85,106,134,151,169,186,197,209
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,8,17,24,32,37,43,46,53,60,64,67,69
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,9,16,27,34,42,46,52,56,65,69,70,75
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,21,41,67,92,121,141,163,177,191,211,222,242
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,8,14,24,29,37,39,44,51,55,62,66,66
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,26,49,74,97,123,141,157,168,179,189,208,224
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,21,34,53,67,88,105,125,144,152,165,174,185
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,1,6,11,22,26,31,35,41,45,49,56,60
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,3,6,9,11,20,22,24,28,31,31,33,38
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,203,365,581,849,1090,1277,1447,1586,1689,1803,1916,2047
Cotopaxi,488716,La Maná,56905,-0.9300000000000000,-79.22000000000000,15,36,58,75,94,111,123,142,152,160,173,191
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,174,352,506,714,924,1073,1210,1308,1394,1474,1568,1631
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,12,26,36,45,55,66,70,78,89,94,102,112
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,28,49,83,116,139,156,177,196,216,237,255,275
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,31,56,87,108,143,169,197,218,236,253,262,283
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,12,22,28,38,49,62,70,77,83,87,95,99
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,7,11,19,32,42,45,48,56,60,69,75,81
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,10,28,46,55,65,77,84,94,100,115,125,134
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,3,6,9,12,16,17,19,22,24,24,25,28
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,0,2,6,7,8,9,12,14,15,17,19,21
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,0,2,3,5,9,10,11,11,11,13,13,13
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,30,54,74,110,136,156,176,197,215,233,245,267
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,23,51,72,119,146,163,179,193,212,222,237,255
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,2,4,8,11,11,13,15,17,19,20,20,21
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,258,529,831,1262,1613,1849,2036,2241,2406,2553,2698,2901
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,2,5,9,9,14,16,17,19,21,23,25,25
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,45,89,124,188,225,252,286,315,342,364,390,423
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,22,52,77,119,142,163,182,195,221,235,252,277
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,3,5,12,20,26,29,32,35,39,40,43,47
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,29,55,95,149,180,206,232,258,287,304,339,355
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,16,27,41,51,63,74,82,94,105,118,123,132
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,14,24,40,56,70,91,97,104,114,124,136,148
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,5,9,13,17,26,32,37,47,58,61,65,70
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,95,215,398,590,743,858,964,1060,1156,1236,1317,1394
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,3,10,20,25,32,36,43,53,55,61,64,72
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,35,70,133,172,219,246,287,312,352,382,422,455
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,10,17,29,35,43,47,51,56,60,68,72,79
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,14,26,35,52,58,73,87,101,110,126,137,154
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,1,1,1,1,2,3,5,5,6,6
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,9,12,19,26,27,31,33,37,37,37,37,37
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,3,6,10,12,17,17,18,20,23,25,25,29
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,10,19,27,39,43,48,57,62,67,72,78,83
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,10,16,24,35,41,49,58,63,67,74,79,84
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,21,42,72,116,157,191,220,240,264,283,299,323
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,9,10,17,33,49,51,67,75,81,86,96,106
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,2,5,9,14,17,19,21,24,30,33,37,41
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,73,130,210,316,403,461,523,572,641,696,749,818
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,67,126,214,318,381,434,498,552,600,654,708,771
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,20,42,65,91,113,124,140,161,176,193,211,233
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,32,68,109,171,215,237,260,285,305,329,355,390
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,8,14,25,31,34,38,43,43,43,50,55,60
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,2025,3907,6280,9128,11402,13051,14631,16090,17633,19080,20616,22250
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,3,6,7,13,15,17,21,23,27,29,37,41
