provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,6,2,4,4,4,8,4,2,2,6,2,12,4,4,2,4,4,6,0,10,0,0,2,6,0,4,2,6,4,0,2,4,4,2,0,0,2,4,2,0,4,2,2,0,2,6,2,6,6,2,4,0,0
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,2,2,6,0,0,4,4,2,0,2,4,0,0,0,6,2,0,2,4,0,4,2,4,4,0,4,6,4,0,10,2,0,4,0,2,2,6,2,2,0,4,0,0,0,2,2,0,0,2,2,6,2,1
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,172,186,178,164,198,178,166,210,172,168,184,200,178,196,224,228,256,238,246,186,172,170,198,190,162,156,176,142,158,152,150,158,136,142,106,130,112,90,116,140,138,96,140,110,98,104,114,124,100,130,124,84,38
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,2,0,4,0,0,0,0,2,4,0,0,0,2,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,2,12,6,12,6,6,4,6,10,10,6,8,16,2,12,6,10,6,6,2,4,4,0,0,2,8,2,6,2,8,0,0,0,2,6,6,2,0,4,0,2,2,6,8,4,0,0,2,4,6,10,3,1
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,0,0,0,0,4,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,2,0,0,4,0,0,2,0
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,4,20,14,6,2,10,14,8,4,14,10,14,14,16,6,24,12,8,10,16,6,4,16,4,6,18,16,14,18,16,8,12,2,8,14,8,12,8,4,8,8,4,8,2,2,10,4,2,6,8,4,7,3
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,8,4,2,2,4,2,6,6,4,2,2,2,2,4,2,2,4,12,4,10,4,4,4,0,8,8,4,4,2,8,4,4,2,4,2,4,6,2,4,4,6,2,0,0,4,4,2,4,0,6,4,2,2
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,0,0,0,4,0,4,0,2,2,0,0,2,0,2,4,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,2,0,0,0,6,0,0,0,4,8,2,2,0,2,4,0,2,2,0,0
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,4,0,4,4,6,8,6,10,4,4,4,8,2,10,6,8,8,12,6,12,4,6,10,8,2,4,6,8,12,2,6,6,2,2,4,0,4,2,6,2,4,4,8,2,4,4,2,2,4,2,4,4,1
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,0,4,6,0,4,4,4,2,0,6,2,4,6,6,2,6,0,0,0,2,2,4,2,2,6,0,0,2,4,0,2,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,6,0,0,2,0,0
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,0,4,2,2,0,0,0,2,0,4,0,2,2,2,0,2,4,0,2,0,0,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,6,2,2,6,0,4,4,6,4,2,6,12,0,4,8,4,10,6,8,4,8,2,14,0,2,14,2,8,6,6,4,4,6,2,4,6,4,4,6,0,8,0,10,2,8,0,0,6,0,0,2,2,4
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,0,0,2,2,0,4,0,2,0,0,8,0,0,0,0,0,0,0,4,0,2,0,0,0,2,2,0,0,0,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,14,14,2,8,4,6,6,4,10,4,22,4,6,4,8,8,8,16,6,10,0,14,8,8,18,6,12,12,8,8,12,6,6,2,6,2,2,14,2,2,6,8,6,6,14,6,6,4,4,4,4,5,0
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,0,4,0,0,4,6,10,6,2,6,2,8,2,2,2,4,4,4,2,2,4,0,2,0,2,0,4,2,2,4,2,4,2,4,8,4,4,0,2,2,2,2,4,2,0,2,4,4,0,2,2,9,0
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,0,6,6,10,6,0,6,6,2,4,12,10,10,4,4,2,4,6,2,6,8,6,0,4,10,2,2,2,0,2,2,0,2,12,4,6,6,0,2,2,2,6,2,0,4,2,6,6,2,2,0,1,2
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,4,2,2,2,4,0,10,2,4,6,8,6,6,4,10,0,2,2,6,0,0,6,2,0,2,0,4,2,2,0,4,2,2,2,8,4,2,2,0,2,0,2,4,2,8,2,4,6,0,4,2,0,0
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,4,8,0,2,2,8,0,0,4,2,2,2,4,6,2,2,6,2,0,4,4,8,2,0,0,4,2,0,2,6,6,2,0,6,2,0,0,0,2,4,0,2,6,0,0,0,4,2,0,4,6,5,0
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,16,28,30,8,20,12,28,26,26,34,44,36,44,46,46,24,40,44,18,34,34,16,18,20,20,26,24,18,18,22,12,18,12,26,24,22,18,10,14,12,12,26,18,14,18,24,20,10,20,16,18,15,3
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,2,0,0,2,0,0,2,0,2,0,2,0,2,2,4,4,2,2,2,2,0,0,4,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,1
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,14,32,16,8,12,8,4,6,8,6,12,10,4,16,8,12,8,2,6,0,8,2,8,0,8,8,8,2,6,12,0,10,4,10,6,8,2,14,12,6,4,6,4,8,4,6,2,6,4,6,2,4,1
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,2,14,2,2,4,0,2,0,2,6,6,0,2,2,0,10,4,2,2,0,4,0,2,10,6,4,2,0,2,4,2,2,2,4,2,0,8,6,4,0,4,6,6,0,0,2,6,2,0,2,2,2,1
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,2,6,8,4,2,4,2,2,4,8,4,8,2,6,4,2,2,4,0,2,4,2,2,4,4,6,10,2,4,2,2,8,8,2,2,2,0,2,2,2,0,2,4,4,0,4,0,0,2,0,2,0,1
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,4,2,2,4,2,2,4,4,0,0,4,4,4,2,2,0,2,2,2,0,12,0,4,2,2,6,4,2,6,0,2,0,8,2,2,4,4,0,6,0,2,2,0,0,2,2,2,4,2,0,4,0,0
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,6,8,8,8,8,10,4,4,0,14,8,6,4,8,2,6,12,2,2,6,12,6,4,8,4,8,2,4,4,2,2,4,10,10,10,8,6,2,0,6,4,6,4,2,6,4,0,2,4,4,6,7,1
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,0,2,2,2,4,2,0,2,4,0,2,0,0,4,0,0,6,0,4,2,4,2,2,4,4,0,0,2,0,4,6,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,2,0,0,0
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,42,44,48,48,20,20,18,26,14,18,34,28,22,38,24,28,50,56,28,30,16,36,30,34,26,22,36,36,26,22,14,14,22,16,16,18,14,22,16,30,24,12,8,14,16,28,6,22,10,8,16,19,13
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,28,36,44,28,56,26,24,28,34,36,36,26,28,34,34,34,32,30,44,32,12,22,24,20,24,24,22,22,32,28,26,32,20,26,18,12,10,18,28,10,22,16,16,22,16,8,24,12,18,28,6,8,3
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,8,2,4,2,10,0,4,0,2,0,2,4,2,4,4,4,0,6,2,6,8,6,6,4,4,0,6,10,6,8,0,6,2,4,0,4,10,4,6,0,2,2,0,0,2,4,6,2,2,12,6,9,1
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,8,14,8,8,4,14,10,12,18,22,12,18,14,18,10,8,14,12,6,18,10,12,6,6,10,8,12,22,2,18,18,6,10,8,2,8,8,10,16,12,6,8,8,0,4,8,4,4,6,4,12,6,1
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,2,2,2,0,0,2,2,2,4,0,2,6,0,2,0,2,0,0,2,0,2,2,2,4,2,2,4,0,2,6,2,2,0,0,0,2,2,2,0,0,2,2,6,0,0,2,0,2,6,0,2,0,1
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,0,0,0,0,2,0,4,4,2,4,4,2,2,0,2,0,2,4,0,0,2,2,0,4,4,2,2,2,0,0,2,2,0,4,0,2,6,0,0,2,2,0,0,2,2,4,2,2,0,0,0,0,1
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,18,22,8,10,12,20,16,8,8,28,18,26,10,18,30,22,14,10,20,24,24,2,10,18,10,8,16,16,12,8,10,8,4,14,14,6,12,12,12,8,8,10,10,6,4,14,12,4,10,8,10,9,5
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,0,0,0,0,0,4,0,0,0,2,2,2,0,6,0,0,0,0,0,8,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,6,10,12,6,14,6,6,10,6,6,6,6,4,8,8,6,10,10,10,4,8,16,8,2,14,6,16,8,20,10,8,8,8,6,12,12,4,6,6,10,8,10,6,4,4,6,6,2,6,4,8,7,3
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,4,4,2,4,4,2,4,8,2,2,6,4,2,0,4,8,4,6,0,2,0,2,2,6,0,4,2,0,2,2,4,2,2,0,6,4,6,0,2,2,4,2,0,0,0,2,4,0,4,0,0,2,1
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,14,0,4,0,4,6,2,2,2,8,8,2,2,0,8,2,4,6,4,2,4,4,2,2,0,0,2,6,0,4,0,4,0,4,0,4,4,8,2,0,2,4,2,2,0,0,0,2,0,0,6,3,0
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,18,2,4,8,12,14,4,10,14,12,10,12,10,10,10,16,12,10,12,10,18,14,14,10,4,8,2,20,12,6,6,10,2,8,12,4,4,2,8,4,12,18,4,4,6,6,2,8,16,12,6,4,5
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,2,4,4,6,4,2,2,4,6,4,0,10,0,2,4,0,4,6,4,4,2,0,0,0,2,2,2,2,6,0,6,0,0,8,0,4,0,2,2,8,2,0,4,2,0,6,0,0,0,0,0,0,0
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,14,6,12,16,12,6,12,16,8,10,12,16,10,12,14,6,12,14,22,6,6,14,4,4,12,2,10,14,4,6,2,4,8,4,6,2,6,6,10,10,2,0,2,6,10,2,16,10,6,4,12,5,2
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,10,10,8,10,6,10,4,6,12,12,2,8,8,0,6,14,6,14,8,8,6,6,6,12,8,16,6,14,8,2,10,14,12,2,8,4,0,0,8,2,4,12,4,2,4,4,6,8,4,8,4,4,2
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,0,0,2,0,4,2,0,4,2,6,0,0,4,8,0,6,8,2,2,2,0,2,0,4,2,2,2,4,0,2,2,0,4,4,2,4,0,4,2,0,0,6,0,4,4,2,4,0,2,2,4,1,0
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,0,2,0,2,4,0,2,0,0,0,0,6,2,2,0,0,0,2,4,2,8,6,0,0,0,0,0,0,2,2,0,2,0,6,2,4,0,0,0,0,0,0,0,0,2,0,2,4,4,0,0,2,1
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,102,94,106,78,66,100,86,72,94,90,100,100,110,130,120,142,112,140,112,96,100,88,72,104,78,76,76,92,74,68,74,48,60,70,50,52,54,42,54,56,38,48,56,38,50,62,64,54,48,66,60,55,13
Cotopaxi,488716,La Maná,56905,-0.9300000000000000,-79.22000000000000,2,8,12,2,10,14,10,8,16,16,2,8,8,8,12,4,14,12,8,4,2,12,6,4,10,8,6,10,2,6,8,6,6,12,6,4,2,8,6,2,2,2,6,4,2,10,4,10,8,14,8,3,3
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,74,92,68,86,96,108,78,74,76,48,88,68,76,90,118,104,88,88,114,90,86,64,72,74,72,60,66,58,78,42,54,40,56,30,36,36,52,50,38,32,36,22,42,60,36,48,32,28,32,24,34,26,14
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,2,12,6,4,6,2,4,16,2,2,8,8,2,0,4,6,8,6,4,4,4,10,0,0,10,4,0,2,0,8,0,4,4,2,6,4,2,8,6,6,0,2,0,0,2,6,6,6,6,2,6,3,0
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,14,10,10,18,14,6,10,12,10,14,10,32,8,24,14,12,14,8,14,12,6,8,12,10,6,2,12,14,8,6,8,16,6,4,8,2,14,16,6,8,10,18,4,12,10,10,2,6,10,12,8,9,2
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,12,8,16,16,8,14,20,8,10,16,16,14,20,8,4,10,8,8,8,20,28,14,18,10,6,20,10,6,16,16,4,12,10,12,6,12,10,8,0,4,6,12,12,2,4,6,4,8,6,14,10,8,5
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,10,8,0,4,8,6,2,4,2,0,4,4,4,6,2,4,6,8,6,6,2,6,8,4,6,6,0,6,4,2,4,4,2,2,6,2,2,2,2,2,4,2,0,2,6,4,0,6,0,4,2,0,1
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,4,2,2,6,2,0,4,2,0,6,4,6,0,2,8,8,10,6,4,2,4,4,0,0,4,2,0,0,2,2,4,4,0,8,2,0,6,0,0,4,6,8,0,4,2,0,6,2,4,2,2,2,0
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,2,8,2,4,6,10,0,20,6,12,6,8,6,8,0,8,2,4,4,4,4,8,12,4,2,0,4,2,2,6,6,2,4,6,6,2,4,2,6,6,6,8,4,4,2,10,4,4,4,6,0,4,2
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,4,2,0,0,4,2,0,0,0,4,0,0,4,0,4,0,0,0,2,2,4,0,2,0,0,2,0,0,0,2,0,2,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,3,0
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,0,0,0,0,0,0,4,0,0,2,2,4,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,4,2,0,0,0,4,0,0,0,0,2,0,2,0,2,2,0,0,0,4,0,0,0,0
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,4,2,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,6,20,18,14,18,14,0,16,4,16,4,12,10,6,16,30,24,20,6,12,2,18,6,8,8,8,14,12,2,6,14,6,10,10,8,4,8,16,4,8,8,14,4,2,8,10,4,6,6,10,14,10,1
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,8,8,12,14,18,8,16,14,4,12,12,12,12,26,22,18,26,14,12,4,16,12,10,4,6,8,8,6,6,6,10,2,2,10,12,6,6,12,8,8,4,4,2,6,8,6,8,10,8,10,8,4,2
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,4,0,0,0,0,0,2,2,0,2,4,0,4,0,2,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,2,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0
