inec_provincia_id,provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,881394,-2.897414000000000,-79.00448100000000,506,985,1511,2110,2709,3192,3672,4068,4393,4754,5046,5388
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,110,204,353,498,609,685,769,856,935,1007,1077,1151
04,Carchi,186869,0.8121800000000000,-77.71633000000000,151,224,320,425,538,641,740,818,885,954,1010,1066
03,Cañar,281396,-2.733333000000000,-78.83333300000000,139,271,441,594,750,864,999,1110,1207,1298,1375,1464
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,320,586,921,1300,1669,1951,2227,2455,2636,2829,3009,3215
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,279,552,817,1128,1446,1682,1895,2075,2230,2374,2530,2672
07,El Oro,715751,-3.266667000000000,-79.96666700000000,443,909,1407,2117,2654,3034,3363,3705,4017,4281,4554,4899
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,176,371,668,947,1191,1383,1566,1733,1905,2058,2213,2372
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,12,18,30,39,45,49,53,60,65,67,68,72
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,2667,5134,8288,12029,14985,17172,19312,21232,23217,25165,27190,29348
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,275,512,762,1091,1451,1692,1922,2110,2304,2471,2666,2852
11,Loja,521154,-3.983333000000000,-79.20000000000000,250,537,994,1511,1859,2116,2348,2578,2800,3016,3226,3440
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,441,912,1505,2167,2708,3091,3482,3851,4188,4553,4907,5281
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,779,1647,2794,3983,4841,5528,6111,6738,7283,7875,8517,9208
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,57,105,166,226,283,336,380,446,481,514,550,616
15,Napo,133705,-0.9890000000000000,-77.81590000000000,57,98,149,199,258,303,355,386,432,466,511,556
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,46,90,146,204,260,311,363,400,441,503,554,594
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,42,71,118,164,224,259,294,327,354,389,414,444
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1829,3455,5390,7872,10150,11798,13481,14789,15964,17089,18185,19431
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,179,311,513,791,953,1091,1234,1355,1461,1578,1694,1828
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,246,515,904,1336,1665,1901,2103,2300,2493,2687,2903,3146
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,85,160,263,383,485,545,621,699,751,819,875,963
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,448,800,1161,1698,2207,2553,2834,3078,3350,3595,3833,4085
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,33,69,109,196,247,269,291,322,338,373,399,422
