provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
Azuay,881394,-2.897414000000000,-79.00448100000000,109,234,349,456,572,693,803,935,1041,1153,1280,1414,1529,1655,1796,1944,2104,2258,2407,2534,2637,2744,2875,2986,3091,3205,3319,3424,3531,3637,3736,3836,3918,4003,4077,4158,4233,4300,4374,4454,4545,4609,4704,4772,4842,4911,4979,5059,5124,5206,5290,5353
Bolívar,209933,-1.605556000000000,-79.00305600000000,20,60,87,103,127,144,174,197,221,250,291,327,363,403,441,465,498,529,547,571,600,619,637,649,670,690,713,727,742,765,778,796,807,837,864,887,903,916,932,946,958,981,1000,1013,1030,1048,1068,1085,1099,1116,1131,1152
Carchi,186869,0.8121800000000000,-77.71633000000000,28,66,101,135,155,174,189,208,220,243,272,295,312,342,358,381,419,452,471,491,517,540,562,593,616,639,666,689,710,727,741,755,780,797,813,829,845,861,875,894,912,927,938,949,962,982,989,1004,1014,1022,1037,1052
Cañar,281396,-2.733333000000000,-78.83333300000000,32,70,103,127,169,202,232,259,293,339,377,419,447,488,528,563,594,625,662,706,736,760,784,817,844,866,897,933,960,994,1023,1051,1069,1097,1114,1131,1155,1178,1209,1225,1246,1266,1286,1301,1316,1336,1360,1373,1394,1421,1439,1458
Chimborazo,524004,-1.674347000000000,-78.64829400000001,85,151,228,293,358,432,493,559,632,707,779,861,937,1023,1110,1210,1296,1401,1490,1558,1634,1710,1764,1836,1896,1954,2013,2093,2157,2208,2264,2310,2358,2414,2463,2510,2549,2584,2631,2677,2713,2763,2802,2833,2873,2918,2970,3014,3059,3107,3157,3209
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,59,129,186,254,326,401,465,527,585,636,702,772,831,900,981,1055,1129,1197,1276,1345,1411,1470,1528,1579,1636,1687,1734,1782,1837,1878,1919,1962,2004,2039,2074,2104,2148,2194,2223,2252,2284,2317,2349,2391,2422,2464,2491,2524,2557,2593,2628,2660
El Oro,715751,-3.266667000000000,-79.96666700000000,81,182,287,403,523,638,749,869,969,1073,1193,1318,1461,1618,1761,1951,2123,2267,2393,2497,2593,2705,2795,2875,2953,3048,3113,3205,3253,3335,3416,3480,3555,3641,3715,3784,3859,3930,3999,4043,4101,4172,4241,4298,4368,4432,4499,4567,4641,4733,4807,4886
Esmeraldas,591083,1.050000000000000,-79.20000000000000,33,71,120,161,207,250,302,356,414,477,550,626,691,751,824,896,946,1013,1075,1123,1168,1214,1260,1307,1358,1401,1441,1480,1510,1563,1600,1642,1680,1705,1743,1781,1817,1860,1907,1933,1972,2011,2043,2077,2113,2148,2190,2225,2257,2289,2335,2367
Galápagos,33042,-0.8000000000000000,-89.40000000000001,4,6,11,11,12,13,15,17,21,24,26,28,30,31,33,35,40,41,42,44,44,44,46,48,48,48,49,50,52,52,53,55,58,58,60,60,61,64,64,64,65,66,66,67,67,67,67,67,68,69,70,71
Guayas,4387434,-2.183333000000000,-79.88333299999999,554,1181,1804,2434,3004,3629,4267,4901,5525,6206,6922,7702,8506,9391,10293,11197,12040,12831,13481,14111,14669,15170,15677,16205,16731,17238,17744,18219,18703,19154,19595,20010,20424,20885,21334,21771,22188,22622,23176,23638,24113,24513,24932,25350,25872,26367,26833,27280,27746,28221,28721,29290
Imbabura,476257,0.3626780000000000,-78.13066700000000,60,117,179,253,319,381,432,490,536,586,637,701,775,829,912,997,1098,1179,1283,1348,1418,1476,1546,1600,1653,1698,1761,1809,1855,1907,1953,1989,2027,2071,2121,2176,2213,2260,2297,2343,2381,2413,2449,2497,2548,2597,2637,2672,2714,2757,2804,2848
