inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,309420,309252,307418,304802,301782,297788,294486,293948,146737,144410,142107,140658,139300,138488,138383,138311,138022,137163,136221,135288,134339,134072,133935,133207,132371,131615,130897,130320
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,36912,36896,36984,37244,37750,38164,38182,38182,19133,19688,20113,20459,20860,21167,21195,21287,21425,21413,21444,21457,21536,21538,21574,21583,21554,21544,21552,21547
15,Napo,133705,-0.9890000000000000,-77.81590000000000,32418,32404,32276,31966,31620,31444,31362,31196,15552,15408,15401,15271,15225,14969,14949,14913,14875,14869,14825,14751,14767,14782,14761,14755,14695,14666,14634,14634
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,44708,44708,44596,44480,44306,44296,44204,44178,22677,22590,22509,22384,22381,22392,22323,22305,22274,22272,22243,22207,22027,22006,22003,22033,22011,21981,21918,21841
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,20274,20250,20196,20116,20142,20218,20288,20254,10136,10192,10261,10297,10390,10458,10465,10478,10572,10512,10508,10473,10438,10440,10417,10411,10412,10407,10405,10413
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,237698,237484,234122,230534,227112,223066,218342,216956,112810,110579,108156,105783,104071,101863,101241,100948,99759,98879,98215,97391,97092,96932,96710,96039,95441,94699,93895,93344
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,120942,120934,120126,118100,117176,115838,114534,114188,56965,56512,56127,55900,55630,55339,54959,54623,54385,54022,54059,53782,53445,53209,53178,52878,52498,52206,51943,51655
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,117844,117786,116966,115858,114782,113858,112764,112372,56043,55475,54703,54102,53443,52909,52852,52763,52432,52069,51718,51304,51034,50951,50911,50653,50366,49869,49529,49109
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,56288,56098,55728,55440,55144,54964,54618,54562,27215,26950,26732,26589,26460,26467,26453,26406,26320,26241,26135,26070,26054,26007,26018,25974,25883,25816,25734,25716
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,77166,77168,76746,75984,75516,74834,74382,74276,37177,36919,36574,35729,35427,35179,34335,34087,33292,33019,32634,32510,32139,31857,31758,31352,30931,30665,30454,30258
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,28706,28688,28522,28146,27884,27684,27476,27394,13683,13561,13453,13376,13282,13259,13220,13242,13237,13251,13270,13250,13235,13232,13233,13228,13223,13187,13172,13146
