provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,16756,16758,16771,16801,16849,16885,16903,16916
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,29061,29062,29088,29108,29134,29165,29193,29193
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,6302,6302,6302,6302,6302,6305,6307,6307
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,8406,8406,8416,8422,8430,8435,8441,8441
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,3790,3790,3795,3799,3801,3801,3803,3805
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,54007,54007,54052,54120,54189,54258,54307,54313
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,50238,50244,50327,50421,50518,50606,50713,50730
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,6154,6154,6158,6158,6168,6171,6180,6180
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,246279,246304,246611,247007,247481,247885,248243,248382
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,6722,6722,6724,6730,6735,6745,6753,6753
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,69327,69332,69394,69454,69523,69600,69703,69754
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,27532,27532,27544,27552,27573,27598,27614,27614
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,16148,16148,16152,16168,16176,16199,16223,16233
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,67818,67819,67849,67913,67972,68047,68134,68225
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,24255,24255,24267,24273,24277,24282,24296,24300
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,44630,44630,44703,44753,44859,44963,45065,45078
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,37406,37410,37428,37483,37527,37578,37620,37686
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,181068,181068,181257,181442,181674,182028,182326,182377
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,25948,25948,25973,26028,26071,26105,26222,26242
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,110022,110022,110076,110264,110399,110547,110676,111136
