provincia,poblacion,lat,lng,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021,07/07/2021,08/07/2021,09/07/2021,10/07/2021,11/07/2021,12/07/2021,13/07/2021,14/07/2021,15/07/2021,16/07/2021,17/07/2021,18/07/2021,19/07/2021,20/07/2021,21/07/2021,22/07/2021,23/07/2021,24/07/2021,25/07/2021,26/07/2021,27/07/2021,28/07/2021,29/07/2021,30/07/2021,31/07/2021,01/08/2021,02/08/2021,03/08/2021,04/08/2021,05/08/2021,06/08/2021,07/08/2021,08/08/2021,09/08/2021,10/08/2021,11/08/2021,12/08/2021,13/08/2021,14/08/2021,15/08/2021,16/08/2021,17/08/2021,18/08/2021,19/08/2021,20/08/2021,21/08/2021,22/08/2021,23/08/2021,24/08/2021,25/08/2021,26/08/2021,27/08/2021,28/08/2021,29/08/2021,30/08/2021,31/08/2021,01/09/2021,02/09/2021,03/09/2021,04/09/2021,05/09/2021,06/09/2021,07/09/2021,08/09/2021,09/09/2021,10/09/2021,11/09/2021,12/09/2021,13/09/2021,14/09/2021,15/09/2021,16/09/2021,17/09/2021,18/09/2021,19/09/2021,20/09/2021,21/09/2021
Azuay,881394,-2.897414000000000,-79.00448100000000,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.2%,0.21%,0.21%,0.21%,0.21%,0.21%,0.22%,0.22%,0.43%,0.43%,0.43%,0.43%,0.43%,0.43%,0.56%,0.56%,0.56%,0.56%,0.63%,0.63%,0.63%,0.77%,0.77%,0.77%,0.97%,1.07%,1.07%,1.09%,1.09%,1.09%,1.09%,1.09%,1.39%,1.45%,1.51%,1.56%,1.62%,1.62%,1.75%,1.81%,1.81%,1.81%,1.92%,1.92%,1.92%,2.09%,2.18%,2.35%,2.35%,2.35%,2.37%,2.37%,2.4%,2.47%,2.72%,2.78%,2.8%,2.8%,2.8%,2.84%,2.93%,3.18%,3.4%,3.66%,3.83%,3.83%,4.01%,4.24%,4.44%,4.87%,5.35%,5.45%,5.51%,5.51%,5.52%,5.83%,6.21%,6.48%,6.51%,6.56%,6.82%,7.07%,7.26%,7.46%,7.81%,8.04%,8.04%,8.14%,8.26%,8.31%,8.52%,8.73%,8.8%,8.97%,9%,9.27%,9.77%,10.2%,10.66%,10.75%,10.86%,11.13%,11.14%,11.22%,11.34%,11.38%,11.44%,11.44%,11.55%,11.65%,11.78%,12.01%,12.32%,12.39%,12.43%,12.79%,13.09%,13.47%,13.81%,14.1%,14.19%,14.25%,14.57%,14.97%,15.28%,15.6%,15.75%,15.84%,15.9%,15.92%,15.94%,15.95%,15.96%,16.01%,16.11%,16.25%,16.62%,17.26%,18.06%,18.73%,19.3%,19.53%,19.67%,19.88%,20.12%,20.42%,20.93%,22.06%,23.4%,24.84%,25.02%,28.39%,31.38%,32.75%,33.41%,34.32%,35.04%,38.32%,41.69%,44.39%,46.08%,47.37%,48.38%,49.13%,49.82%,50.62%,51.43%,52.23%,53%,53.42%,53.87%,54.48%,55.08%,55.62%,56.13%,56.63%,56.94%,56.98%,57.26%,57.5%,57.69%,57.87%,58.09%,58.1%,58.11%,58.27%,58.41%,58.57%,58.72%,58.85%,58.89%,58.9%,59.07%,59.16%
Bolívar,209933,-1.605556000000000,-79.00305600000000,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.42%,0.42%,0.42%,0.42%,0.42%,0.42%,0.62%,0.63%,0.63%,0.63%,0.79%,0.79%,0.79%,0.79%,0.79%,0.79%,0.79%,1.09%,1.09%,1.09%,1.09%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.47%,1.82%,1.82%,1.82%,1.82%,1.82%,1.83%,1.83%,1.83%,1.83%,1.9%,2.03%,2.05%,2.08%,2.09%,2.11%,2.12%,2.13%,2.17%,2.26%,2.27%,2.28%,2.29%,2.29%,2.53%,2.76%,2.95%,3.04%,3.27%,3.48%,3.49%,3.49%,3.49%,4.23%,4.41%,4.61%,4.78%,4.88%,5.58%,6.12%,6.71%,7.18%,7.66%,7.81%,7.82%,7.99%,8.1%,8.25%,8.92%,9.29%,9.34%,9.41%,9.47%,9.5%,9.63%,10.4%,10.66%,10.79%,10.83%,10.96%,11%,11.04%,11.68%,11.78%,11.87%,11.91%,12.02%,12.08%,12.18%,12.55%,12.82%,12.89%,12.92%,13.02%,13.11%,13.16%,13.59%,13.86%,13.97%,14.04%,14.19%,14.42%,14.67%,15%,15.32%,15.5%,15.56%,15.78%,15.89%,15.99%,16.19%,16.53%,16.65%,16.7%,16.88%,17.08%,17.34%,17.55%,17.76%,17.86%,18.34%,19.55%,20.97%,22.47%,24.83%,27.13%,28.08%,29%,29%,31.32%,32.63%,33.39%,33.91%,34.17%,34.39%,35.14%,35.79%,38.52%,40.83%,42.24%,42.68%,42.92%,43.67%,44.36%,44.81%,46.28%,47.76%,48.13%,48.27%,49.03%,49.62%,50.1%,50.49%,50.78%,50.96%,51%,51.33%,51.68%,52.08%,52.35%,52.51%,52.58%,52.58%,52.71%,52.82%,52.94%,53.03%,52.04%,52.08%,52.08%,52.17%,52.35%
Carchi,186869,0.8121800000000000,-77.71633000000000,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.2%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.29%,0.36%,0.36%,0.36%,0.36%,0.36%,0.36%,0.36%,0.89%,0.89%,0.89%,0.9%,0.9%,0.9%,0.9%,1.06%,1.3%,1.3%,1.3%,1.49%,1.49%,1.49%,1.79%,1.79%,1.79%,1.79%,1.79%,1.79%,1.79%,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.8%,1.88%,2.05%,2.05%,2.14%,2.14%,2.14%,2.14%,2.15%,2.15%,2.15%,2.15%,2.35%,2.37%,2.38%,2.41%,2.41%,2.41%,2.53%,2.65%,3.04%,3.53%,3.94%,3.95%,3.95%,4.32%,4.32%,5.78%,6.25%,6.63%,6.63%,6.63%,7.01%,7.25%,7.38%,7.44%,7.64%,7.76%,7.99%,8.14%,8.27%,8.3%,8.35%,8.77%,8.77%,8.77%,9.04%,9.16%,9.25%,9.48%,9.59%,9.59%,9.59%,9.74%,9.76%,9.77%,9.77%,9.78%,9.78%,9.78%,9.85%,9.91%,10.05%,10.29%,10.53%,10.58%,10.58%,10.73%,11%,11.3%,11.45%,11.65%,11.72%,11.75%,11.88%,11.99%,12.1%,12.17%,12.39%,12.47%,12.47%,12.56%,13.25%,13.4%,13.48%,14.18%,14.23%,14.24%,14.61%,14.96%,15.55%,15.98%,16.59%,17.37%,17.43%,17.89%,18.89%,19.67%,20.62%,22.11%,23.08%,23.68%,23.68%,26.28%,28.82%,31.11%,32.1%,32.31%,32.31%,35.59%,38.14%,40.17%,42.09%,43.68%,44.71%,45.28%,46.48%,47.76%,49.13%,50.47%,52.46%,54.13%,54.64%,56.22%,57.73%,58.68%,59.55%,60.65%,61.35%,61.82%,62.45%,62.88%,63.14%,63.33%,63.54%,63.54%,63.54%,63.7%,63.94%,64.11%,64.3%,64.62%,64.62%,64.62%,64.77%,64.88%
Cañar,281396,-2.733333000000000,-78.83333300000000,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.26%,0.26%,0.26%,0.26%,0.3%,0.31%,0.31%,0.43%,0.43%,0.43%,0.63%,0.63%,0.63%,0.71%,0.72%,0.72%,0.72%,0.74%,1.19%,1.19%,1.19%,1.19%,1.19%,1.2%,1.4%,1.4%,1.4%,1.4%,1.41%,1.41%,1.41%,1.41%,1.41%,1.41%,1.41%,1.41%,1.41%,1.41%,1.41%,1.42%,1.56%,1.58%,1.59%,1.59%,1.59%,1.61%,1.75%,1.78%,1.8%,1.82%,1.82%,1.83%,2.01%,2.04%,2.14%,2.34%,2.59%,2.6%,2.61%,2.61%,2.61%,3.29%,3.83%,3.87%,3.87%,3.97%,4.12%,4.12%,4.32%,4.45%,4.52%,4.66%,5.02%,5.02%,5.02%,5.03%,5.12%,5.2%,5.81%,5.89%,5.89%,6.04%,6.66%,7.2%,7.33%,7.34%,7.35%,7.4%,7.42%,7.44%,7.48%,7.52%,7.52%,7.52%,7.7%,7.89%,8.05%,8.29%,8.52%,8.67%,8.69%,8.9%,9.12%,9.37%,9.61%,9.87%,9.94%,9.98%,10.17%,10.33%,10.54%,10.73%,10.87%,10.92%,10.95%,10.97%,10.97%,10.99%,11.01%,11.02%,11.04%,11.04%,11.18%,11.4%,12.13%,12.49%,12.99%,13.27%,13.37%,13.6%,14.28%,14.66%,15.41%,16.44%,16.98%,17.75%,17.75%,20.53%,22.14%,23.49%,24.64%,25.29%,25.55%,27.17%,28.34%,30.27%,31.58%,32.98%,33.54%,34.15%,34.7%,35.5%,36.36%,36.83%,37.57%,38.08%,38.59%,39.35%,39.85%,40.25%,40.65%,41.36%,41.52%,41.64%,41.98%,42.3%,42.52%,42.73%,42.95%,42.95%,42.95%,43.11%,43.32%,43.5%,43.62%,43.8%,43.8%,43.8%,43.96%,44.04%
Chimborazo,524004,-1.674347000000000,-78.64829400000001,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.4%,0.54%,0.54%,0.54%,0.56%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.67%,0.85%,0.99%,1.02%,1.09%,1.12%,1.12%,1.13%,1.39%,1.49%,1.49%,1.5%,1.5%,1.5%,1.51%,1.66%,1.99%,2.08%,2.08%,2.08%,2.11%,2.21%,2.21%,2.22%,2.22%,2.22%,2.24%,2.44%,2.8%,2.97%,3.07%,3.07%,3.2%,3.39%,3.62%,3.93%,4.07%,4.07%,4.07%,4.07%,4.09%,4.33%,4.63%,4.91%,4.91%,4.91%,5.06%,5.18%,5.3%,5.58%,5.87%,5.96%,5.99%,6.09%,6.25%,6.53%,6.92%,7.34%,7.37%,7.65%,7.86%,8.01%,8.08%,8.21%,8.36%,8.38%,8.38%,8.46%,8.56%,8.75%,9.01%,9.12%,9.13%,9.15%,9.21%,9.27%,9.36%,9.55%,9.72%,9.83%,9.87%,10.07%,10.32%,10.54%,10.73%,10.96%,10.99%,11.01%,11.16%,11.27%,11.41%,11.54%,11.72%,11.77%,11.84%,12.02%,12.15%,12.28%,12.42%,12.58%,12.62%,12.66%,12.84%,13.12%,13.51%,14.08%,14.61%,14.98%,15.24%,15.86%,16.58%,17.3%,18.05%,18.95%,19.52%,19.99%,19.99%,21.48%,22.71%,23.71%,24.55%,24.59%,24.71%,26.72%,27.45%,29.14%,30.75%,32.38%,32.91%,33.43%,34.74%,36.19%,37.52%,38.77%,40.43%,41.17%,41.74%,43.25%,44.55%,45.41%,46.22%,47.16%,47.49%,47.73%,48.42%,48.92%,49.31%,49.63%,49.94%,49.95%,49.96%,50.08%,50.29%,50.43%,50.54%,50.6%,50.61%,50.62%,50.75%,50.87%
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.15%,0.15%,0.15%,0.15%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.47%,0.51%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.67%,0.75%,0.75%,0.76%,0.76%,0.76%,0.76%,0.84%,0.93%,0.93%,0.93%,0.94%,1.08%,1.1%,1.1%,1.11%,1.11%,1.12%,1.2%,1.39%,1.47%,1.47%,1.48%,1.49%,1.58%,1.82%,2.12%,2.29%,2.33%,2.34%,2.34%,2.34%,2.34%,2.8%,3.24%,3.52%,3.71%,3.71%,3.82%,3.86%,4.02%,4.07%,4.19%,4.24%,4.25%,4.39%,4.47%,4.83%,5.36%,6.05%,6.46%,6.56%,6.69%,6.77%,7%,7.52%,7.83%,7.84%,7.85%,8.03%,8.12%,8.2%,8.25%,8.28%,8.29%,8.32%,8.41%,8.54%,8.73%,8.97%,9.37%,9.43%,9.45%,9.66%,9.86%,10.08%,10.26%,10.43%,10.5%,10.55%,10.69%,10.8%,10.89%,10.98%,11.1%,11.2%,11.23%,11.33%,11.44%,11.54%,11.59%,11.76%,11.99%,12.04%,12.26%,12.5%,12.89%,13.23%,13.43%,13.76%,13.97%,15.08%,15.8%,16.92%,18.15%,19.22%,20.03%,20.68%,20.68%,22.45%,23.89%,25.92%,26.87%,26.99%,27.17%,29.55%,32.4%,34.35%,35.55%,36.74%,37.19%,37.65%,38.97%,40.71%,42.38%,44.29%,46.22%,47.44%,48.22%,49.35%,50.12%,50.74%,51.53%,52.33%,52.91%,53.23%,53.71%,54.03%,54.24%,54.44%,54.64%,54.64%,54.66%,54.86%,55.23%,55.58%,55.97%,56.19%,56.19%,56.2%,56.28%,56.38%
El Oro,715751,-3.266667000000000,-79.96666700000000,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.25%,0.28%,0.28%,0.39%,0.39%,0.39%,0.39%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.76%,0.81%,0.81%,0.81%,0.81%,0.81%,1.13%,1.13%,1.27%,1.27%,1.27%,1.27%,1.27%,1.33%,1.33%,1.33%,1.36%,1.36%,1.41%,1.43%,1.49%,1.49%,1.56%,1.56%,1.56%,1.56%,1.57%,1.58%,1.58%,1.59%,1.59%,1.59%,1.59%,1.6%,1.68%,1.75%,1.86%,2.33%,2.4%,2.58%,2.7%,2.75%,2.88%,3.14%,3.37%,3.4%,3.4%,3.4%,3.42%,3.6%,3.67%,3.73%,3.75%,3.95%,3.99%,4.09%,4.23%,4.35%,4.46%,4.48%,4.59%,4.64%,4.73%,4.83%,5.21%,5.37%,5.42%,5.46%,5.55%,5.87%,6.08%,6.14%,6.17%,6.18%,6.2%,6.33%,6.64%,6.79%,6.99%,7.15%,7.22%,7.33%,7.59%,7.98%,8.38%,8.7%,8.88%,8.96%,9.15%,9.39%,9.59%,9.85%,10.07%,10.25%,10.35%,10.56%,10.74%,10.98%,11.31%,11.65%,11.87%,12.08%,12.32%,12.52%,12.66%,12.99%,13.13%,13.22%,13.24%,13.4%,13.53%,13.72%,13.93%,14.14%,14.32%,14.49%,15.1%,15.92%,16.89%,18.35%,19.92%,21.48%,22.47%,22.47%,25.44%,27.66%,29.63%,30.87%,31.24%,31.46%,34.35%,38.13%,41.16%,43.32%,44.92%,46.07%,46.76%,47.73%,49.08%,50.3%,51.41%,52.54%,53.47%,53.98%,55.05%,55.91%,56.6%,57.2%,57.74%,58.07%,58.36%,58.95%,59.35%,59.65%,59.9%,60.11%,60.11%,60.11%,60.37%,60.62%,60.82%,60.97%,61.12%,61.12%,61.12%,61.3%,61.43%
Esmeraldas,591083,1.050000000000000,-79.20000000000000,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.05%,0.12%,0.12%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.3%,0.3%,0.4%,0.4%,0.4%,0.4%,0.4%,0.45%,0.45%,0.57%,0.62%,0.62%,0.62%,0.69%,0.72%,0.72%,0.72%,0.72%,0.72%,0.76%,0.82%,0.84%,0.84%,0.9%,0.92%,0.92%,0.92%,0.93%,0.93%,0.93%,1.01%,1.05%,1.05%,1.06%,1.06%,1.06%,1.06%,1.07%,1.12%,1.19%,1.19%,1.19%,1.19%,1.19%,1.24%,1.29%,1.4%,1.55%,1.68%,1.69%,1.69%,1.76%,1.76%,2.33%,2.66%,3.03%,3.06%,3.06%,3.16%,3.2%,3.24%,3.28%,3.36%,3.4%,3.4%,3.49%,3.55%,3.6%,3.62%,3.71%,3.72%,3.73%,3.8%,3.9%,3.95%,4.02%,4.16%,4.31%,4.32%,4.39%,4.44%,4.5%,4.57%,4.59%,4.59%,4.6%,4.66%,4.76%,4.92%,5.2%,5.44%,5.5%,5.52%,5.8%,6.03%,6.18%,6.32%,6.53%,6.67%,6.71%,6.83%,6.96%,7.08%,7.19%,7.3%,7.33%,7.35%,7.46%,7.56%,7.72%,7.83%,7.87%,7.9%,7.91%,8.23%,8.63%,8.99%,9.17%,9.35%,9.39%,9.41%,9.64%,10.27%,11.5%,12.99%,14.32%,15.46%,16.14%,16.28%,18.8%,21.1%,22.4%,23.33%,23.62%,23.78%,26.44%,28.63%,30.07%,30.97%,32.34%,32.73%,32.88%,34.26%,35.84%,37.48%,38.93%,40.62%,41.2%,41.45%,42.78%,43.83%,44.42%,44.92%,45.64%,45.73%,45.8%,46.28%,46.62%,46.93%,47.17%,47.51%,47.51%,47.52%,47.62%,47.73%,47.91%,48.04%,48.23%,48.26%,48.26%,48.45%,48.6%
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.27%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.87%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,0.96%,6.6%,10.37%,11.8%,14.22%,14.22%,14.22%,14.22%,14.22%,14.26%,14.27%,14.27%,14.34%,14.36%,14.36%,14.36%,14.36%,14.36%,14.82%,15.27%,15.27%,15.27%,15.33%,15.42%,15.43%,15.43%,15.54%,15.64%,15.64%,15.76%,15.78%,15.82%,15.84%,17.54%,17.8%,18%,18.08%,18.11%,18.11%,18.11%,18.11%,18.11%,18.11%,22.61%,25.9%,26.52%,26.52%,29.65%,34.8%,34.8%,34.8%,34.8%,40.74%,48.15%,52.21%,55.99%,55.99%,56.96%,57.77%,58.46%,58.5%,58.68%,58.82%,58.83%,59.78%,61.14%,61.14%,61.14%,61.43%,61.79%,61.79%,61.79%,61.79%,61.79%,62.79%,63.15%,63.15%,63.15%,63.15%,63.82%,64.34%,64.87%,64.87%,64.93%,64.93%,64.93%,65.07%,65.21%,66.29%,66.5%,66.53%,66.53%,66.55%,66.71%,66.71%,66.71%,66.71%,66.75%,66.75%,66.78%,66.8%,67.21%,67.21%,67.22%,67.22%,67.22%,67.22%,67.24%,67.3%,67.35%,67.36%,67.36%,67.36%,67.56%,67.72%,67.77%,67.78%,68.37%,68.54%,68.54%,68.59%,69.46%,69.46%,69.86%,69.9%,69.9%,69.9%,69.9%,70.15%,71.33%,71.37%,71.73%,71.73%,71.73%,72.64%,72.64%,72.64%,72.64%,73.39%,73.39%,73.39%,73.47%,75.95%,77.33%,77.45%,77.47%,77.47%,77.47%,77.47%,77.52%,77.52%,77.52%,77.52%,77.52%,77.52%,77.67%,77.7%,77.71%,77.73%,77.73%,77.73%,77.73%,77.76%,77.76%,77.76%,77.82%,77.28%,77.28%,77.28%,77.28%,77.34%
Guayas,4387434,-2.183333000000000,-79.88333299999999,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.04%,0.09%,0.1%,0.1%,0.1%,0.11%,0.11%,0.11%,0.19%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.28%,0.34%,0.34%,0.34%,0.37%,0.37%,0.37%,0.46%,0.46%,0.46%,0.46%,0.51%,0.52%,0.54%,0.55%,0.56%,0.56%,0.56%,0.59%,0.6%,0.6%,0.72%,0.74%,0.74%,0.74%,0.76%,0.8%,0.85%,0.88%,0.88%,0.9%,0.9%,0.96%,1.04%,1.12%,1.12%,1.13%,1.13%,1.14%,1.14%,1.15%,1.16%,1.19%,1.22%,1.24%,1.24%,1.25%,1.3%,1.4%,1.51%,1.64%,1.73%,1.74%,1.83%,1.95%,2.11%,2.28%,2.51%,2.6%,2.63%,2.63%,2.64%,2.92%,3.14%,3.33%,3.39%,3.42%,3.59%,3.8%,4.03%,4.28%,4.51%,4.58%,4.6%,4.72%,4.8%,4.91%,5.12%,5.36%,5.44%,5.46%,5.58%,5.7%,5.79%,5.94%,6.04%,6.08%,6.09%,6.17%,6.28%,6.39%,6.58%,6.69%,6.72%,6.75%,6.88%,6.96%,7.09%,7.25%,7.45%,7.56%,7.6%,7.78%,7.97%,8.16%,8.34%,8.54%,8.61%,8.64%,8.81%,9.04%,9.32%,9.43%,9.53%,9.59%,9.66%,9.74%,9.81%,9.88%,9.99%,10.12%,10.17%,10.2%,10.3%,10.62%,11.07%,11.42%,11.73%,11.93%,12.35%,12.98%,13.6%,14.27%,15%,15.9%,16.66%,17.16%,17.16%,18.92%,20.53%,22.1%,23.19%,23.71%,24.01%,25.76%,27.86%,30.02%,32%,33.78%,35.04%,35.78%,36.71%,38.04%,39.39%,40.84%,42.37%,43.64%,44.12%,45.02%,45.9%,46.74%,47.74%,48.47%,48.99%,49.34%,49.87%,50.33%,50.68%,51.01%,51.36%,51.45%,51.45%,51.61%,51.78%,51.94%,52.07%,51.99%,52.03%,52.03%,52.18%,52.3%
