provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,249.38%,249.4%,249.4%,249.81%,250.9%,251.31%,251.31%,251.31%,126.3%,126.55%,127.03%,127.41%,127.51%,128.2%,128.31%,128.31%,128.58%,128.94%,129.1%,129.35%,129.43%,129.47%,129.74%,129.87%,129.94%,130.02%,130.13%,130.35%
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,256.89%,257%,257.29%,257.71%,258.24%,258.76%,259.36%,259.36%,129.8%,130.28%,130.46%,130.57%,130.65%,130.73%,130.73%,130.79%,131.02%,131.08%,131.11%,131.15%,131.21%,131.21%,131.27%,131.39%,131.44%,131.5%,131.62%,131.7%
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,317.74%,317.77%,318.11%,318.66%,319.23%,319.44%,319.9%,319.99%,160.79%,161.06%,161.32%,161.57%,161.78%,161.95%,162.02%,162.05%,162.23%,162.35%,162.45%,162.52%,162.59%,162.62%,162.64%,162.69%,162.75%,162.8%,162.85%,162.9%
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,262.63%,262.63%,262.63%,262.7%,262.96%,262.96%,262.96%,262.96%,126.85%,126.85%,126.85%,127.11%,127.11%,127.27%,127.31%,127.31%,127.37%,127.43%,127.79%,127.82%,127.82%,127.82%,127.82%,127.86%,127.86%,127.86%,127.89%,127.89%
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,336.99%,337.15%,337.49%,337.79%,338.93%,339.69%,339.69%,339.69%,172.23%,172.35%,172.78%,173.54%,173.68%,173.82%,173.82%,173.91%,173.94%,174%,174.02%,174.23%,174.45%,174.45%,174.45%,174.62%,174.83%,174.97%,175.06%,175.06%
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,243.48%,243.48%,243.48%,243.48%,243.48%,243.48%,243.48%,243.48%,121.79%,121.92%,121.95%,122.03%,122.03%,122.05%,122.05%,122.05%,122.08%,122.08%,122.18%,122.23%,122.23%,122.23%,122.23%,122.29%,122.29%,122.29%,122.29%,122.34%
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,289.65%,289.7%,290.08%,290.71%,291.29%,292.11%,292.59%,292.85%,146.47%,147%,147.44%,147.79%,148.08%,148.4%,148.48%,148.48%,148.67%,148.87%,149.03%,149.1%,149.19%,149.21%,149.21%,149.36%,149.43%,149.53%,149.68%,149.86%
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,264.76%,264.76%,264.78%,264.85%,264.95%,265.86%,265.86%,265.86%,133.01%,133.02%,133.02%,133.7%,133.7%,133.92%,133.95%,133.97%,133.98%,134.05%,134.13%,134.36%,134.48%,134.48%,134.57%,134.57%,134.59%,134.59%,134.91%,134.91%
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,283.48%,283.82%,283.82%,283.82%,283.82%,284.59%,284.59%,284.59%,142.42%,142.61%,142.61%,142.64%,142.64%,142.66%,142.66%,142.73%,142.73%,142.78%,142.78%,143.17%,143.27%,143.27%,143.41%,143.41%,143.41%,143.46%,143.53%,143.6%
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,349.39%,349.41%,349.63%,349.88%,350.1%,350.57%,350.57%,350.63%,176.6%,176.92%,177.08%,177.21%,177.41%,177.57%,177.61%,177.77%,177.9%,178.04%,178.15%,178.18%,178.26%,178.28%,178.34%,178.4%,178.46%,178.5%,178.58%,178.62%
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,260.02%,260.13%,260.13%,260.13%,260.19%,260.22%,260.22%,260.22%,131.25%,131.25%,132.59%,133.07%,133.37%,133.47%,133.5%,133.61%,133.67%,133.78%,133.8%,133.93%,133.94%,133.94%,134.05%,134.05%,134.07%,134.5%,134.58%,134.58%
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,319.63%,319.63%,319.68%,319.68%,319.68%,319.73%,319.73%,319.73%,159.94%,159.94%,160.97%,161.62%,161.81%,161.91%,161.91%,161.91%,162.03%,162.56%,162.63%,162.63%,162.63%,162.63%,162.66%,162.85%,162.87%,162.95%,162.99%,162.99%
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,394.84%,395.18%,395.38%,395.96%,396.67%,398.12%,398.12%,398.12%,199.71%,200.16%,200.56%,200.95%,201.18%,201.44%,201.49%,201.6%,201.82%,202%,202.14%,202.27%,202.48%,202.59%,202.66%,202.75%,202.81%,202.97%,203.13%,203.13%
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,185.25%,185.28%,185.28%,185.34%,185.34%,185.34%,185.34%,185.34%,90.22%,90.22%,90.23%,90.23%,90.48%,90.51%,90.51%,90.55%,90.57%,90.58%,90.65%,90.65%,90.67%,90.68%,90.68%,90.7%,90.7%,90.7%,90.7%,90.7%
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,272.22%,272.24%,272.6%,272.97%,273.42%,273.82%,273.82%,273.82%,137.81%,138.08%,138.46%,138.83%,139.3%,139.7%,139.79%,140.03%,140.17%,140.31%,140.45%,140.51%,140.57%,140.59%,140.72%,140.85%,140.95%,141.11%,141.19%,141.22%
