provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,1351570,1351850,1353648,1356472,1359658,1361806,1363918,1364478,687817,689450,691152,692802,694098,695310,695747,696099,697120,697953,698556,699089,699557,699741,699987,700348,700732,701147,701576,701978
Bolívar,209933,-1.605556000000000,-79.00305600000000,295558,295568,296472,297510,298798,300198,301380,301654,150858,151391,152104,153059,153775,154270,154394,154435,154757,155147,155659,155954,156180,156216,156238,156462,156702,157108,157343,157576
Carchi,186869,0.8121800000000000,-77.71633000000000,313404,313416,313866,314240,314708,315138,315630,315676,157845,158162,158507,158830,159208,159608,159624,159638,159924,160128,160303,160498,160674,160693,160705,160918,161053,161207,161328,161439
Cañar,281396,-2.733333000000000,-78.83333300000000,355306,355326,356000,356956,357466,358316,359254,359544,180408,181129,181854,182546,183204,183764,183948,184111,184576,184950,185273,185647,185958,186083,186220,186525,186785,187066,187306,187503
Chimborazo,524004,-1.674347000000000,-78.64829400000001,713634,714038,715932,718218,719934,721732,723256,723624,362097,363094,364530,365751,366995,368074,368668,369394,370526,371255,371657,371984,372499,372704,373069,373729,374118,374446,374834,375239
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,735480,735558,736860,738836,742256,745444,748734,749050,374784,376115,378076,379230,380359,381182,381530,381656,382301,383608,384859,385588,386079,386263,386338,386840,387212,387621,387907,388218
El Oro,715751,-3.266667000000000,-79.96666700000000,1107738,1107796,1109786,1112226,1114968,1117440,1120176,1121308,561210,562746,564450,566150,567679,569165,569663,570048,571172,572182,573048,573841,574599,574918,575213,576124,576911,577553,578167,578806
Esmeraldas,591083,1.050000000000000,-79.20000000000000,789524,789548,790524,792022,793566,795918,798160,799304,400564,402460,404492,406208,408016,409233,409908,410150,411160,412626,413715,414598,415288,415519,415786,416435,417205,418073,419003,419868
Galápagos,33042,-0.8000000000000000,-89.40000000000001,57058,57058,57064,57086,57108,57188,57242,57242,28580,28584,28621,28626,28644,28655,28655,28655,28658,28662,28678,28726,28749,28749,28749,28759,28774,28777,28778,28808
Guayas,4387434,-2.183333000000000,-79.88333299999999,5874464,5874924,5890172,5907686,5925098,5942006,5957712,5963388,2983474,2992981,3002838,3012693,3022307,3031563,3034015,3035554,3042888,3049750,3055790,3062097,3068310,3069822,3070624,3074980,3078999,3082794,3086903,3090944
Imbabura,476257,0.3626780000000000,-78.13066700000000,764230,764268,765582,767008,768498,770236,772042,772570,386452,387413,388662,389735,390719,391522,391844,392063,392852,393526,393903,394262,394539,394624,394717,394995,395602,396164,396681,397102
Loja,521154,-3.983333000000000,-79.20000000000000,808188,808232,809456,810666,812142,813618,815046,815414,407870,408902,410185,411631,412886,413993,414442,414838,415580,416293,416823,417309,417662,417790,417903,418355,418697,419038,419334,419594
Los Ríos,921763,-1.800000000000000,-79.53333300000000,1118908,1118926,1122582,1126940,1132952,1139040,1143752,1145170,573082,575996,579861,583471,586262,588451,589015,589325,591003,592690,594231,595900,598634,599352,599717,601198,602932,604402,606132,607648
Manabí,1562079,-1.056181000000000,-80.45521700000000,2376964,2377308,2381498,2387552,2395230,2403578,2410906,2412678,1206999,1212487,1217405,1221501,1225263,1228337,1228881,1229203,1231514,1234008,1236252,1238413,1240525,1241033,1241303,1243150,1244867,1246584,1247942,1249117
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,202946,203006,203582,204284,204668,205574,205634,205634,104029,104693,105371,106101,106562,106989,107086,107263,107712,108069,108330,108610,108718,108793,108840,109076,109325,109508,109669,109699
Napo,133705,-0.9890000000000000,-77.81590000000000,193150,193186,193492,194060,194658,195102,195396,195686,97929,98300,98343,98748,98903,99394,99507,99625,99833,99852,100025,100240,100355,100397,100445,100457,100596,100718,100864,100864
Orellana,161338,-0.4666670000000000,-76.96666700000000,221822,221822,222262,222768,223278,223784,224470,224620,111384,111967,112617,113303,113310,113832,114064,114196,114615,114628,114845,115173,115541,115609,115643,115781,115913,116076,116261,116526
Pastaza,114202,-1.066667000000000,-78.00111099999999,138286,138344,138666,139026,139372,139714,139988,140200,70240,70431,70662,70929,71140,71322,71399,71461,71650,71906,72086,72261,72408,72479,72536,72655,72743,72807,72883,72966
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,5417490,5418120,5425540,5433690,5441766,5450640,5459750,5462834,2727539,2732273,2737643,2742732,2746433,2750935,2752402,2753259,2756321,2758678,2760531,2762396,2762942,2763197,2763671,2765275,2766667,2768091,2769468,2770491
Santa Elena,401178,-2.226700000000000,-80.85830000000000,497600,497648,499350,502456,504542,507374,510016,510554,255509,256554,257496,258453,259244,259992,260526,260948,261679,262314,262537,263092,263727,264060,264128,264736,265382,265880,266378,266851
