provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,1093,1093,1093,1145,1261,1330,1330,1330,1473,1478,1665,1721,1787,2022,2111,2111,2156,2252,2318,2391,2463,2531,2535,2566,2595,2620,2695,2891
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,1010,1034,1097,1173,1247,1291,1342,1342,1401,1478,1547,1612,1657,1719,1719,1744,1795,1827,1864,1879,1925,1925,1941,1952,1966,2024,2051,2077
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,61060,61224,63602,67438,71539,72943,76813,77567,81226,84940,88475,91978,94551,97260,99743,102651,107270,112288,117895,122823,127117,128244,129050,130274,131616,132809,134282,137220
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,544,544,553,582,590,591,591,591,601,601,611,618,618,647,666,666,676,686,798,887,887,917,917,917,917,929,929,932
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,1104,1130,1187,1264,1348,1469,1469,1469,1620,1725,1823,1908,1979,2026,2026,2033,2080,2134,2180,2217,2256,2256,2258,2284,2326,2344,2370,2370
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,505,505,505,505,505,505,505,505,505,505,524,550,571,591,601,609,620,626,676,688,699,716,716,727,739,745,751,763
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,3690,3697,3809,4039,4368,4543,4725,4828,4832,5062,5333,5553,5715,5891,5943,5943,6084,6230,6328,6417,6535,6551,6551,6648,6784,6891,7051,7224
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,1535,1535,1535,1535,1567,1668,1668,1668,1690,1690,1690,1762,1762,1810,1810,1810,1810,1817,1855,1999,2044,2044,2108,2108,2113,2114,2252,2252
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,418,421,421,421,421,436,436,436,458,504,508,515,515,521,521,523,532,533,551,573,593,593,594,612,612,626,656,683
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,2849,2872,2968,3091,3226,3402,3402,3462,3735,3946,4123,4254,4395,4482,4518,4640,4817,5114,5256,5424,5519,5569,5645,5750,5841,5931,6034,6256
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,694,694,694,694,701,714,714,714,789,789,840,977,1031,1065,1085,1152,1170,1198,1207,1253,1256,1256,1268,1277,1286,1319,1337,1337
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,455,455,455,455,455,460,460,460,470,512,512,630,669,686,689,689,702,714,734,747,747,747,750,758,765,770,788,788
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,2083,2161,2204,2321,2416,2679,2679,2679,3052,3219,3277,3425,3525,3662,3696,3773,3873,4047,4155,4211,4251,4279,4305,4373,4416,4447,4489,4489
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,538,538,540,548,559,560,560,560,560,560,560,560,675,752,752,757,757,759,832,842,847,852,855,857,866,868,972,982
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,2364,2376,2445,2510,2586,2658,2658,2658,2960,3086,3190,3299,3446,3543,3597,3673,3766,3866,3916,3958,3996,4022,4064,4130,4193,4225,4275,4313
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,1532,1532,1571,1613,1662,1707,1770,1787,1809,1849,1868,1876,1885,1909,1909,1909,1946,1993,2039,2063,2086,2088,2090,2122,2156,2176,2200,2226
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,1454,1454,1463,1483,1509,1551,1620,1620,1620,1778,1827,1893,1943,2010,2010,2010,2085,2190,2287,2389,2513,2513,2522,2631,2725,2790,2878,2935
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,1778,1778,1848,1932,1978,2059,2125,2144,2145,2246,2336,2462,2602,2671,2693,2693,2788,2852,2952,3034,3090,3128,3128,3170,3204,3232,3256,3301
