provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,48526,48530,48530,48662,48983,49134,49134,49134,49531,49635,50007,50217,50331,50830,50967,50967,51122,51357,51492,51661,51774,51857,51960,52040,52096,52162,52277,52556
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,20791,20824,20915,21025,21143,21231,21334,21334,21415,21568,21664,21748,21805,21879,21879,21914,22002,22043,22086,22107,22162,22162,22186,22216,22238,22304,22349,22388
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,1083199,1083467,1087007,1092654,1098643,1100830,1106236,1107331,1116135,1121744,1127084,1132263,1136323,1140190,1143165,1146345,1152230,1158105,1164362,1169819,1174550,1175896,1176829,1178400,1180142,1181684,1183472,1186792
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,4642,4642,4651,4681,4693,4694,4694,4694,4561,4561,4571,4586,4586,4620,4640,4640,4652,4664,4787,4878,4879,4909,4909,4910,4910,4923,4924,4927
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,23194,23230,23312,23410,23574,23755,23755,23755,24231,24359,24525,24731,24826,24896,24896,24914,24969,25037,25093,25159,25230,25230,25232,25284,25355,25394,25432,25432
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,5224,5224,5224,5224,5224,5224,5224,5224,5226,5231,5251,5280,5301,5322,5332,5340,5352,5358,5412,5426,5437,5454,5454,5467,5479,5485,5491,5505
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,75963,75981,76186,76570,77045,77424,77724,77891,77916,78410,78900,79297,79601,79936,80028,80028,80260,80507,80681,80808,80972,80998,80998,81173,81342,81498,81732,81993
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,24766,24766,24776,24786,24835,25016,25016,25016,25065,25070,25075,25269,25269,25361,25369,25375,25376,25397,25451,25637,25704,25704,25791,25791,25801,25802,26000,26000
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,6358,6368,6368,6368,6368,6399,6399,6399,6426,6481,6485,6494,6494,6501,6501,6506,6515,6518,6537,6576,6604,6604,6613,6631,6631,6648,6683,6713
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,54280,54306,54437,54597,54766,55012,55012,55083,55742,56049,56275,56444,56647,56781,56829,57006,57224,57562,57737,57916,58037,58094,58188,58314,58426,58531,58659,58892
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,14598,14605,14605,14605,14616,14631,14631,14631,14834,14834,15043,15246,15332,15378,15402,15480,15505,15546,15557,15620,15626,15626,15652,15661,15674,15754,15781,15781
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,7103,7103,7105,7105,7105,7111,7111,7111,7124,7166,7209,7356,7404,7425,7428,7428,7446,7482,7505,7518,7518,7518,7522,7538,7546,7554,7574,7574
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,44175,44292,44359,44541,44710,45132,45132,45132,45695,45957,46105,46345,46500,46699,46746,46852,47003,47215,47351,47435,47519,47571,47613,47701,47756,47822,47897,47897
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,6955,6956,6958,6968,6979,6981,6981,6981,6812,6812,6814,6814,6952,7031,7031,7039,7040,7043,7121,7131,7137,7143,7146,7149,7158,7160,7264,7274
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,44429,44449,44574,44695,44840,44974,44974,44974,45584,45824,46062,46304,46608,46841,46930,47100,47253,47404,47499,47562,47623,47656,47753,47865,47965,48050,48126,48177
