provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,724578,724654,725289,726234,727314,727953,728687,728868
Bolívar,209933,-1.605556000000000,-79.00305600000000,177849,177855,178106,178397,178766,179238,179576,179668
Carchi,186869,0.8121800000000000,-77.71633000000000,181601,181614,181782,181934,182109,182235,182393,182402
Cañar,281396,-2.733333000000000,-78.83333300000000,199730,199737,200000,200295,200533,200916,201183,201331
Chimborazo,524004,-1.674347000000000,-78.64829400000001,409403,409500,410003,410618,411094,411601,412102,412223
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,414699,414734,415214,415745,416400,417069,417776,417915
El Oro,715751,-3.266667000000000,-79.96666700000000,616039,616077,616679,617427,618279,619097,619910,620230
Esmeraldas,591083,1.050000000000000,-79.20000000000000,462968,462972,463386,464011,464656,465432,466218,466842
Galápagos,33042,-0.8000000000000000,-89.40000000000001,29823,29823,29824,29824,29828,29853,29909,29909
Guayas,4387434,-2.183333000000000,-79.88333299999999,3392036,3392293,3398032,3404378,3411459,3418482,3424731,3426903
Imbabura,476257,0.3626780000000000,-78.13066700000000,400719,400739,401232,401729,402245,402849,403452,403683
Loja,521154,-3.983333000000000,-79.20000000000000,434600,434609,434884,435210,435551,435906,436237,436304
Los Ríos,921763,-1.800000000000000,-79.53333300000000,691377,691386,692699,694444,696556,698653,700535,701080
Manabí,1562079,-1.056181000000000,-80.45521700000000,1343192,1343280,1344458,1346177,1348506,1350683,1352696,1353313
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,119929,119951,120283,120764,121209,121869,121908,121908
Napo,133705,-0.9890000000000000,-77.81590000000000,112784,112795,112884,113013,113139,113273,113379,113441
Orellana,161338,-0.4666670000000000,-76.96666700000000,133265,133265,133429,133624,133792,134040,134337,134399
Pastaza,114202,-1.066667000000000,-78.00111099999999,79280,79297,79431,79571,79757,79966,80138,80227
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,2827594,2827802,2829831,2832112,2834439,2836853,2839046,2839895
Santa Elena,401178,-2.226700000000000,-80.85830000000000,309271,309291,309738,310278,310859,311606,312275,312371
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,395138,395266,396008,396804,397609,398564,399464,399743
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,174804,174888,175047,175238,175491,175753,175960,176260
Tungurahua,590600,-1.241667000000000,-78.61972200000000,502479,502502,502875,503339,503839,504351,504846,505004
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,91732,91744,91836,91958,92084,92203,92361,92448
