inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,84.37%,84.37%,84.63%,85.2%,85.54%,86.05%,86.05%,86.05%
14,Morona Santiago,196535,1407,Huamboya,12382,-1.785000000000000,-78.23194400000000,49.22%,49.37%,49.38%,49.54%,49.54%,49.54%,49.54%,49.54%
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,53.87%,53.87%,54.05%,54.05%,54.05%,54.48%,54.48%,54.48%
14,Morona Santiago,196535,1410,Logroño,7643,-2.624800000000000,-78.18960000000000,39.91%,39.98%,40.09%,40.28%,40.49%,40.66%,40.7%,40.7%
14,Morona Santiago,196535,1401,Morona,58281,-2.300000000000000,-78.11666700000001,66.4%,66.4%,66.69%,66.92%,67.19%,67.6%,67.6%,67.6%
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,55.52%,55.59%,55.59%,55.99%,55.99%,55.99%,55.99%,55.99%
14,Morona Santiago,196535,1404,Palora,7719,-1.700000000000000,-77.94000000000000,98.1%,98.13%,98.13%,98.5%,98.5%,98.5%,98.5%,98.5%
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,43.86%,43.88%,44.05%,44.2%,44.41%,44.7%,44.7%,44.7%
14,Morona Santiago,196535,1405,Santiago,11087,-3.429800000000000,-78.56560000000000,68.29%,68.29%,68.4%,68.4%,68.4%,68.92%,68.92%,68.92%
14,Morona Santiago,196535,1406,Sucúa,23823,-2.460000000000000,-78.17000000000000,62.69%,62.69%,62.99%,63.41%,63.77%,64.14%,64.28%,64.28%
14,Morona Santiago,196535,1409,Taisha,26773,-2.339950000000000,-77.45808000000000,13.52%,13.52%,13.64%,13.87%,14.17%,14.54%,14.54%,14.54%
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.917670000000000,-77.80170000000000,24.03%,24.03%,24.13%,24.13%,24.13%,24.57%,24.57%,24.57%
15,Napo,133705,1503,Archidona,33068,-0.9166670000000000,-77.78333300000000,76.15%,76.17%,76.33%,76.53%,76.71%,76.92%,77.07%,77.15%
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,69.23%,69.28%,69.35%,69.5%,70.23%,70.35%,70.45%,70.45%
15,Napo,133705,1504,El Chaco,10142,-0.3402780000000000,-77.80888899999999,84.59%,84.59%,84.59%,84.6%,84.92%,85%,85.15%,85.16%
15,Napo,133705,1507,Quijos,6847,-0.4636110000000000,-77.89277800000001,101.76%,101.76%,101.79%,102.14%,102.36%,102.49%,102.79%,102.8%
15,Napo,133705,1501,Tena,79182,-0.9890000000000000,-77.81590000000000,78.49%,78.5%,78.67%,78.98%,79.24%,79.46%,79.65%,79.79%
22,Orellana,161338,2202,Aguarico,3629,-0.9211110000000000,-75.39916700000001,172.29%,172.31%,172.64%,172.94%,173.05%,173.06%,173.15%,174.01%
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,91.56%,91.56%,91.75%,91.96%,92.1%,92.38%,92.58%,92.65%
22,Orellana,161338,2204,Loreto,24579,-0.6904000000000000,-77.30830000000000,56.4%,56.4%,56.54%,56.66%,56.76%,56.86%,57.12%,57.17%
22,Orellana,161338,2201,Orellana,93778,-0.4666670000000000,-76.96666700000000,70.95%,70.95%,71.09%,71.29%,71.59%,71.78%,72.07%,72.13%
16,Pastaza,114202,1604,Arajuno,8128,-1.234370000000000,-77.68750000000000,53.09%,53.12%,53.22%,53.34%,53.9%,54.14%,54.27%,54.34%
16,Pastaza,114202,1602,Mera,17547,-1.460000000000000,-78.09000000000000,75.51%,75.53%,75.7%,76%,76.33%,76.61%,76.96%,77.11%
16,Pastaza,114202,1601,Pastaza,84377,-1.066667000000000,-78.00111099999999,63.04%,63.07%,63.29%,63.57%,63.89%,64.21%,64.47%,64.63%
16,Pastaza,114202,1603,Santa Clara,4150,-1.267100000000000,-77.88820000000000,89.76%,89.77%,89.8%,89.86%,89.89%,90.1%,90.51%,90.59%
17,Pichincha,3228233,1702,Cayambe,107660,0.04388900000000000,-78.15610000000000,97.11%,97.12%,97.27%,97.48%,97.8%,98.29%,98.61%,98.68%
17,Pichincha,3228233,1703,Mejía,108167,-0.5101000000000000,-78.56980000000000,79.97%,79.98%,80.18%,80.47%,80.75%,81.07%,81.38%,81.43%
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,105.14%,105.17%,105.35%,105.52%,105.71%,105.94%,106.16%,106.29%
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,77.17%,77.17%,77.56%,77.78%,78.16%,78.5%,78.73%,78.98%
17,Pichincha,3228233,1709,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,72.26%,72.27%,72.4%,72.59%,72.82%,73.15%,73.34%,73.45%
17,Pichincha,3228233,1701,Quito,2781641,-0.2186110000000000,-78.50972200000000,89.1%,89.13%,89.47%,89.88%,90.29%,90.71%,91.18%,91.42%
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,121.54%,121.54%,121.78%,122.18%,122.55%,122.86%,123.25%,123.33%
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,53.19%,53.25%,53.47%,53.63%,53.84%,53.99%,54.24%,54.39%
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333000000000,-80.90000000000001,67.52%,67.52%,67.71%,68.22%,68.56%,69.01%,69.4%,69.45%
24,Santa Elena,401178,2403,Salinas,94590,-2.216667000000000,-80.95000000000000,70.31%,70.31%,70.55%,70.8%,71.19%,71.58%,71.97%,72.05%
24,Santa Elena,401178,2401,Santa Elena,188821,-2.226700000000000,-80.85830000000000,72.83%,72.84%,73.05%,73.33%,73.55%,73.95%,74.3%,74.38%
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.002300000000000000,-79.38460000000001,94.65%,94.65%,94.98%,95.37%,95.73%,96.13%,96.59%,96.59%
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,67.68%,67.71%,67.93%,68.18%,68.44%,68.75%,69.02%,69.15%
21,Sucumbíos,230503,2106,Cascales,15882,-0.06750000000000000,-77.21694400000000,46.65%,46.65%,46.74%,46.81%,47.01%,47.08%,47.3%,47.46%
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,103.83%,103.97%,104.32%,104.42%,104.51%,104.75%,104.91%,105.19%
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,101.54%,101.67%,102.32%,102.67%,103.01%,103.31%,103.7%,104.08%
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,67.87%,67.93%,68.1%,68.3%,68.54%,68.77%,69.01%,69.23%
21,Sucumbíos,230503,2103,Putumayo,16106,0.1000000000000000,-75.84999999999999,39.08%,39.17%,39.25%,39.37%,39.45%,39.52%,39.66%,39.78%
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,78.72%,78.82%,78.89%,78.98%,79.16%,79.31%,79.49%,79.81%
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,70.98%,70.98%,71.46%,71.9%,72.36%,72.75%,73.01%,73.72%
18,Tungurahua,590600,1801,Ambato,387309,-1.241667000000000,-78.61972200000000,86.01%,86.02%,86.3%,86.66%,87.01%,87.4%,87.9%,88.01%
18,Tungurahua,590600,1802,Baños,25043,-1.396389000000000,-78.42472200000000,88.7%,88.79%,89.14%,89.43%,89.77%,90.06%,90.36%,90.39%
18,Tungurahua,590600,1803,Cevallos,9936,-1.350000000000000,-78.61666700000001,110.7%,110.7%,111.1%,111.59%,112.09%,112.54%,113.07%,113.07%
18,Tungurahua,590600,1804,Mocha,7336,-1.416667000000000,-78.66666700000000,84.94%,84.94%,85.11%,85.73%,86.38%,86.64%,87%,87.08%
18,Tungurahua,590600,1805,Patate,15825,-1.316667000000000,-78.51666700000000,75.41%,75.41%,75.57%,76.08%,76.44%,76.72%,76.97%,76.97%
18,Tungurahua,590600,1807,Pelileo,66836,-1.327500000000000,-78.54083300000001,78.01%,78.01%,78.27%,78.58%,79%,79.52%,79.76%,79.86%
18,Tungurahua,590600,1808,Píllaro,43371,-1.175833000000000,-78.55527800000000,72.09%,72.09%,72.45%,72.87%,73.28%,73.56%,73.96%,74.11%
18,Tungurahua,590600,1806,Quero,20627,-1.379300000000000,-78.60700000000000,72.99%,73.18%,73.43%,73.68%,74%,74.27%,74.57%,74.67%
18,Tungurahua,590600,1809,Tisaleo,14317,-1.350000000000000,-78.66666700000000,57.78%,58.03%,58.17%,58.64%,58.99%,59.29%,59.75%,59.92%
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,61.37%,61.37%,61.51%,61.63%,61.98%,62.29%,62.45%,62.45%
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,-4.862800000000000,-79.13280000000000,85.93%,85.93%,86.13%,86.55%,86.89%,87.31%,87.31%,87.42%
19,Zamora Chinchipe,120416,1906,El Pangui,10945,-3.624900000000000,-78.58710000000001,94.66%,94.66%,94.88%,95.61%,96.03%,96.93%,97.99%,97.99%
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,-4.048333000000000,-78.68222200000000,48.35%,48.35%,48.48%,48.88%,49.05%,49.31%,49.82%,50.02%
19,Zamora Chinchipe,120416,1908,Palanda,10144,-4.649800000000000,-79.13209999999999,66.63%,66.63%,66.74%,66.92%,67.12%,67.27%,67.66%,67.66%
19,Zamora Chinchipe,120416,1909,Paquisha,5992,-3.932750000000000,-78.67426000000000,78.05%,78.05%,78.21%,78.85%,79.35%,79.9%,80.34%,80.34%
19,Zamora Chinchipe,120416,1904,Yacuambi,7121,-3.634440000000000,-78.92810000000000,55.83%,55.87%,55.93%,56.03%,56.15%,56.19%,56.19%,56.19%
19,Zamora Chinchipe,120416,1905,Yantzaza,26447,-3.850000000000000,-78.75000000000000,72.29%,72.29%,72.46%,72.69%,73.03%,73.31%,73.94%,74.27%
19,Zamora Chinchipe,120416,1901,Zamora,32761,-4.120000000000000,-78.80000000000000,71.25%,71.36%,71.54%,71.89%,72.21%,72.69%,73.08%,73.29%
